Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Chaarat Kapan CJSC,Private,9416902,Mining,Metal Mining,,,6775005208.74,Armenia,ARM,2018,2018-01-01,2018-12-31
“AT-Metals” LLC,Private,118721,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Agarak Copper Molybdenum Combine” CJSC,Private,9700039,Mining,Metal Mining,,https://iravunk.com/news/87720,5415722424.0,Armenia,ARM,2018,2018-01-01,2018-12-31
“Akhtala Mining and Processing Enterprise” CJSC,Private,6602309,Mining,Metal Mining,,,997332766.0,Armenia,ARM,2018,2018-01-01,2018-12-31
“Aktiv Lernagorts” LLC,Private,1544838,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Assat” LLC,Private,3807664,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Baktek Eco” LLC,Private,870494,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Fortune Resources” LLC,Private,2806526,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Geghi Gold” LLC,Private,9423012,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Geopromining Gold” LLC,Private,2700773,Mining,Metal Mining,,Gortsyntats newspaper 26.06.2019 N259,15703552992.0,Armenia,ARM,2018,2018-01-01,2018-12-31
“Gharagulyanner” CJSC,Private,2583292,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Ler-Ex” LLC,Private,9412188,Mining,Metal Mining,,https://www.azdarar.am/announcments/cat/129/00512834,188712577.0,Armenia,ARM,2018,2018-01-01,2018-12-31
“Lichkvaz” CJSC,Private,2710054,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Lydian Armenia” CJSC,Private,91919,Mining,Metal Mining,,https://www.lydianarmenia.am/img/uploadFiles/57b118e212f420036ae1FS_LydianArmeniaCJSC_2018_arm.pdf,5379989080.33,Armenia,ARM,2018,2018-01-01,2018-12-31
“Marjan Mining Company” LLC,Private,1569837,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Meghradzor Gold” LLC,Private,2709666,Mining,Metal Mining,,"In 2018 an external financial audit was not conducted, and the Financial reports were published without an audit opinion in “Republic of Armenia” daily, No 115(7099), 26-06-2019",374675247.0,Armenia,ARM,2018,2018-01-01,2018-12-31
“Mego-Gold” LLC,Private,4213127,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Molibdeni Ashkharh” LLC,Private,2580107,Mining,Metal Mining,,"In 2018 an external financial audit was not conducted, and the Financial reports were published without an audit opinion, “Novoye Vremya” newspaper 19/06/2019",,Armenia,ARM,2018,2018-01-01,2018-12-31
“Multi Group Concern” LLC,Private,3516447,Mining,Metal Mining,,"In 2018 an external financial audit was not conducted, and the Financial reports were published on Azdarar.am website without audit opinion, https://www.azdarar.am/announcments/org/129/00513573/",,Armenia,ARM,2018,2018-01-01,2018-12-31
“Paramount Gold Mining” CJSC,Private,4219371,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Sagamar” CJSC,Private,410036,Mining,Metal Mining,,"In 2018 an external financial audit was not conducted, and the Financial reports were published without an audit opinion in the “Novoe Vremya” newspaper, 19/06/2019.",,Armenia,ARM,2018,2018-01-01,2018-12-31
“Tatstone” LLC`,Private,79433,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Teghout” CJSC,Private,2700773,Mining,Metal Mining,,http://vallexgroup.am/vm-about-us/,1824727005.6,Armenia,ARM,2018,2018-01-01,2018-12-31
“Vardani Zartonk” LLC,Private,9414399,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Vayk Gold” LLC,Private,114369,Mining,Metal Mining,,,,Armenia,ARM,2018,2018-01-01,2018-12-31
“Zangezur Copper-Molybdenum Combine” CJSC,Private,9400818,Mining,Metal Mining,,https://www.azdarar.am/announcments/cat/261/00512844/,42869111057.96,Armenia,ARM,2018,2018-01-01,2018-12-31
