Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
BISSA GOLD SA,Private,00030276N,Mining,Gold,https://www.nordgold.com/operations/production/bissa/,,32128722085.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Private,00006204X,Mining,Gold,,,10185873018.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
ESSAKANE SA,Private,00016079H,Mining,Gold,https://www.iamgold.com/English/home/default.aspx,,38788057240.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
HOUNDE EXPLORATION BF SARL,Private,00064526S,Mining,Gold,https://www.endeavourmining.com/our-portfolio/hounde-project/default.aspx,,13130988.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
HOUNDE GOLD OPERATION SA,Private,00064526S,Mining,Gold,,,23547281989.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
NANTOU MINING BURKINA FASO SA,Private,00010790T,Mining,Zinc,https://www.zonebourse.com/cours/action/TREVALI-MINING-CORPORATIO-6714470/societe/,,1297726020.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
NETIANA MINING COMPANY (NMC),Private,00084771R,Mining,Gold,https://avesoro.com/corporate/structure/,,7649328786.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
RIVERSTONE KARMA SA,Private,00037904A,Mining,Gold,,,4659868446.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
ROXGOLD SANU SA,Private,00060700T,Mining,Gold,https://www.roxgold.com/home/default.aspx,,3265253412.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
SEMAFO BOUNGOU SA,Private,00079626A,Mining,Gold,https://www.semafo.com/home/default.aspx,,4469571039.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
SEMAFO BURKINA FASO SA,Private,00009763S,Mining,Gold,https://www.semafo.com/home/default.aspx,,12841661664.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
SOMITA SA,Private,00007047V,Mining,Gold,,,3860320266.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
Société d'Exploitation des Phosphates du Burkina (SEPB),State-owned enterprises & public corporations,00143751E,Mining,Phosphate,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
WAHGNION GOLD OPERATIONS SA,Private,00055782Y,Mining,Gold,https://www.zonebourse.com/cours/action/TERANGA-GOLD-CORPORATION-6864864/societe/,,4180127151.0,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
