Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AFRICAN PETROLEUM CI,Private,1210388N,Oil & Gas,"Oil, gas, condensate",No,,3755612.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AGBAOU GOLD OPERATIONS,Private,1273929 F,Mining,Gold,Yes (TORONTO et Londres),Yes,10946521207.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
AMARA Mining CI,Private,0548280Y,Mining,Gold,No,Yes,49575670.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
ANADARKO,Private,0912213 V 0921047 T 1416076 K 1416075 J,Oil & Gas,"Oil, gas, condensate",Yes (USA),No,1859616274.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
BONDOUKOU MANGANESE SA (INDE),Private,1103308 Q,Mining,Manganese,No,,214723041.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
CADERAC. SA,Private,9910850 P,Mining,Granite,No,Yes,332444641.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
CNR INTERNATIONAL,Private,9725886-S,Oil & Gas,"Oil, gas, condensate","Yes (TORONTO, Canada)",Yes,7612435457.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
COLAS-CI,Private,1331921 R,Mining,Granite,No,Yes,100000.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
COMPAGNIE MINIERE DU LITTORAL (CML),Private,1020202 H,Mining,Manganese,No,Yes,397498416.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
Compagnie Ivoirienne du Pétrole et des Mines (CIPEM),Private,0810438D,Oil & Gas,"Oil, gas, condensate",No,,1243243.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
ENERGIE DE Cote d'Ivoire,Private,,Oil & Gas,"Oil, gas, condensate",No,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
ENI IVORY COAST LIMITED,Private,,Oil & Gas,"Oil, gas, condensate",No,,2807961535.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
EXXON MOBIL,Private,,Oil & Gas,"Oil, gas, condensate",No,,697026000.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
FOXTROT INTERNATIONAL,Private,95 03 181 S,Oil & Gas,"Oil, gas, condensate",No,No,73468477937.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
HALLA CORPORATION,Private,,Mining,Carrière,No,,120000.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
LA MAN/AHA CI (FraN/Ae),Private,9906920 E,Mining,Gold,No,Yes,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
LGL Mines CI SA,Private,0715379V,Mining,Gold,No,Yes,728393254.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
LGL Resource CI,Private,9704052L,Mining,Gold,No,Yes,16885933.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
NEWCREST HIRE,Private,1447543 T,Mining,Gold,No,Yes,3750466772.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
OPHIR Cote d'Ivoire,Private,,Oil & Gas,"Oil, gas, condensate",No,,900000.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
PERSEUS Mining CI,Private,1335316 W,Mining,Gold,Yes (Australie ASX/TSX),Yes,847626755.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
PETROCI CI-11,State-owned enterprises & public corporations,9326533 X,Oil & Gas,"Oil, gas, condensate",No,Yes,32357114.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
RANDGOLD (TONGON SA),Private,9720766 X,Mining,Gold,No,Yes,371943568.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
SADEM (SOLIBRA),Private,0101168L,Mining,Mineral Water,No,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
SAUR ENERGIE CI (SECI),Private,9504212 H,Oil & Gas,"Oil, gas, condensate",No,Yes,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
SOCIETE DES MINES D'ITY (S M I),Private,85 00064 P,Mining,Gold,No,Yes,7069017463.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
SVENSKA PETROL AKTIEBOLAG,Private,,Oil & Gas,"Oil, gas, condensate",No,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
Société Nationale d'Opérations Petrolière de Cote d'Ivoire (PETROCI),State-owned enterprises & public corporations,7602349 S,Oil & Gas,"Oil, gas, condensate",No,Yes,73584503514.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
Société des Mines de TONGON,Private,0913981 R,Mining,Gold,Yes (LSE/NYSE),Yes,29615695848.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
Société pour le Devéloppement Minier de la cote d'ivoire (SODEMI),State-owned enterprises & public corporations,6103805 Y,Mining,Phosphate,No,Yes,104175253.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
TOTAL E & P,Private,1218746 Q 1110267 G,Oil & Gas,"Oil, gas, condensate",Yes (Bourse à Paris),Yes,3227783756.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
TULLOW CI,Private,1647352 K,Oil & Gas,"Oil, gas, condensate",No,No,819375000.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
VITOL CDI LIMITED,Private,1547900 A,Oil & Gas,"Oil, gas, condensate",No,,1096799888.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
societe ivoiro-suisse abidjanaise de granit (SISAG),Private,7901987 P,Mining,Granite,Yes (Genève),Yes,1155577837.0,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
