Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
BEB Erdgas und Erdöl GmbH & Co. KG,,HRA 202415,Oil & Gas,Crude oil and natural gas,http://www.beb.de/default.html,https://www.bundesanzeiger.de/pub/de/start?13,60237910.31,Germany,DEU,2019,2019-01-01,2019-12-31
DEA Deutsche Erdöl AG (now: Wintershall DEA International AG),,HRB 6882,Oil & Gas,Crude oil and natural gas,https://wintershalldea.com/de,https://www.bundesanzeiger.de/pub/de/start?13,72634802.89,Germany,DEU,2019,2019-01-01,2019-12-31
Dyckerhoff-Gruppe,,HRB 27594,Mining,Quarried natural resources,https://www.dyckerhoff.com/,https://www.bundesanzeiger.de/pub/de/start?13,4569529.65,Germany,DEU,2019,2019-01-01,2019-12-31
ExxonMobil Central Europe Holding GmbH,,HRB 73169,Oil & Gas,Crude oil and natural gas,https://corporate.exxonmobil.de/,https://www.bundesanzeiger.de/pub/de/start?13,211388740.0,Germany,DEU,2019,2019-01-01,2019-12-31
Heidelberger Sand und Kies GmbH,,HRB 330082,Mining,Quarried natural resources,https://www.heidelbergcement.de/de,https://www.bundesanzeiger.de/pub/de/start?13,585372.0,Germany,DEU,2019,2019-01-01,2019-12-31
Holcim (Deutschland) GmbH,,HRB 66680,Mining,Quarried natural resources,https://www.holcim.de/de,https://www.bundesanzeiger.de/pub/de/start?13,1116217.12,Germany,DEU,2019,2019-01-01,2019-12-31
Hülskens Holding GmbH & Co. KG,,HRB 10881,Other,Quarried natural resources,https://huelskens.de/de/startseite.html,https://www.bundesanzeiger.de/pub/de/start?13,3435758.52,Germany,DEU,2019,2019-01-01,2019-12-31
JTSD-Braunkohlebergbau GmbH / MIBRAG,,HRB 9374,Mining,Lignite,https://www.mibrag.de/,https://www.bundesanzeiger.de/pub/de/start?0,10025365.17,Germany,DEU,2019,2019-01-01,2019-12-31
K+S Minerals and Agriculture GmbH,,HRB 7452,Other,Potash and salts,https://www.kpluss.com/de-de/,https://www.bundesanzeiger.de/pub/de/start?13,4404504.0,Germany,DEU,2019,2019-01-01,2019-12-31
LEAG Lausitzer Energie Bergbau AG,,HRB 3326,Mining,Lignite,https://www.leag.de/de/,https://www.bundesanzeiger.de/pub/de/start?13,7629806.85,Germany,DEU,2019,2019-01-01,2019-12-31
Neptune Energy Deutschland GmbH (former: Engie E&P Holding Germany GmbH),,HRB 100364,Oil & Gas,Crude oil and natural gas,https://www.neptuneenergy.de/,https://www.bundesanzeiger.de/pub/de/start?13,11571186.9,Germany,DEU,2019,2019-01-01,2019-12-31
Quarzwerke GmbH,,HRB 42138,Mining,Quarried natural resources,https://www.quarzwerke.com/,https://www.bundesanzeiger.de/pub/de/start?13,12336000.0,Germany,DEU,2019,2019-01-01,2019-12-31
RWE-Gruppe / RWE Power AG,,HRB 17420,Mining,Lignite,https://www.rwe.com/,https://www.bundesanzeiger.de/pub/de/start?13,24689479.0,Germany,DEU,2019,2019-01-01,2019-12-31
RWE-Gruppe / Rheinische Baustoffwerke GmbH,,HRB 41027,Mining,Quarried natural resources,https://www.rwe.com/,https://www.rwe.com/investor-relations/corporate-governance/zahlungsberichte,616613.68,Germany,DEU,2019,2019-01-01,2019-12-31
Sibelco Gruppe,,HRB 1581,Mining,Quarried natural resources,https://www.sibelco.com/,https://www.bundesanzeiger.de/pub/de/start?0,1701329.0,Germany,DEU,2019,2019-01-01,2019-12-31
Südwestdeutsche Salzwerke AG,,HRB 100644,Other,Potash and salts,https://www.salzwerke.de/de/startseite.html,https://www.bundesanzeiger.de/pub/de/start?13,16065479.02,Germany,DEU,2019,2019-01-01,2019-12-31
Vermilion Energy Germany GmbH & Co. KG,,HRA 2868,Oil & Gas,Crude oil and natural gas,http://www.vermilionenergy.de/,https://www.bundesanzeiger.de/pub/de/start?13,3077628.58,Germany,DEU,2019,2019-01-01,2019-12-31
Wacker Chemie AG,,HRB 159705,Other,Potash and salts,https://www.wacker.com/cms/de-de/home/home.html,https://www.bundesanzeiger.de/pub/de/start?13,672743.26,Germany,DEU,2019,2019-01-01,2019-12-31
Wintershall GmbH (now: Wintershall DEA Deutschland GmbH),,HRB 200519,Oil & Gas,Crude oil and natural gas,https://wintershalldea.de/de,https://www.bundesanzeiger.de/pub/de/start?13,52788204.88,Germany,DEU,2019,2019-01-01,2019-12-31
