Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Abosso GoldFields Ltd,Private,C0003278263,Mining,Gold,https://www.goldfields.com,Not available,10170424.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Adamus Resources Ltd,Private,C0003278484,Mining,Gold,https://www.adamusresource.com,Not available,6418766.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Anadarko,Private,C0003168417,Oil & Gas,"Oil, Gas, Condensates",Not available,Not available,,Ghana,GHA,2019,2019-01-01,2019-12-31
AngloGold Ashanti (Ghana) Ltd,Private,C0003278271,Mining,Gold,https://www.anglogoldashanti.com,Not available,258318.0,Ghana,GHA,2019,2019-01-01,2019-12-31
AngloGold Ashanti (Iduapriem) Ltd,Private,C000327828X,Mining,Gold,https://www.anglogoldashanti.com,Not available,15284360.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Asanko Gold Ghana Ltd,Private,C0004524764,Mining,Gold,www.asanko.com,Not available,258318.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Chirano Gold Mines Ltd,Private,C000366497X,Mining,Gold,https://www.kinross.com,Not available,33812580.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Eni Ghana Exploration & Production Limited,Private,C0003664996,Oil & Gas,"Oil, Gas, Condensates",https://www.eni.com,Not available,2310146.26,Ghana,GHA,2019,2019-01-01,2019-12-31
Ghana Bauxite Company Ltd,Private,C0002862646,Mining,Bauxite,Not available,Not available,,Ghana,GHA,2019,2019-01-01,2019-12-31
Ghana Manganese Co. Ltd,Private,C0004056450,Mining,Manganese,https://www.ghamang.com.gh,Not available,34825814.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Ghana National Petroleum Company,State-owned enterprises & public corporations,V0003107108,Oil & Gas,"Oil, Gas, Condensates",www.gnpcghana.com,www.gnpcghana.com/speeches/2018_financial.pdf · PDF file,744944230.0,Ghana,GHA,2019,2019-01-01,2019-12-31
GoldFields Ghana Ltd,Private,C0003136973,Mining,Gold,https://www.goldfields.com,Not available,99551412.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Golden Star (Bogoso/Prestea) Ltd,Private,C0003165493,Mining,Gold,https://gsr.com,Not available,3521684.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Golden Star (Wassa) Ltd,Private,C0003137007,Mining,Gold,https://gsr.com,Not available,,Ghana,GHA,2019,2019-01-01,2019-12-31
Kosmos Energy Ghana HC,Private,C0003831426,Oil & Gas,"Oil, Gas, Condensates",https://www.kosmosenergy.com/ghana,Not available,41552176.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Newmont Ghana Gold Limited,Private,C0003268071,Mining,Gold,https://newmont.com,Not available,100158458.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Newmont Golden Ridge Ltd,Private,C0003257630,Mining,Gold,https://newmont.com,Not available,89633441.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Perseus Mining Ghana Ltd,Private,C0003257673,Mining,Gold,https://www.perseusmining.com,Not available,28573216.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Petro SA Ghana Limited,State-owned enterprises & public corporations,C0021485674,Oil & Gas,"Oil, Gas, Condensates",http://www.petrosa.co.za,Not available,,Ghana,GHA,2019,2019-01-01,2019-12-31
Tullow Ghana Limited,Private,C0002551888,Oil & Gas,"Oil, Gas, Condensates",https://www.TullowOilGhana.com,Not available,75302615.0,Ghana,GHA,2019,2019-01-01,2019-12-31
Vitol,Private,C0004743520,Oil & Gas,"Oil, Gas, Condensates",Not available,Not available,,Ghana,GHA,2019,2019-01-01,2019-12-31
