Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
City Peten S. de R. L.,Private,,Oil & Gas,,www.citypeten.com,,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Empresa Petrolea del Itsmo S.A.,Private,,Oil & Gas,,,,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Entre Mares de Guatemala S.A.,Private,<Use Legal Entity Identifier if available>,Mining,"Oil, Gas, Condensates",www.bluestoneresources.ca,https://bluestoneresources.ca/_resources/financials/2017-Q4-FS-Final.pdf?v=0.246,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Guaxilan S. A.,Private,<Use Legal Entity Identifier if available>,Mining,,www.cunicoresources.com/Guaxilan,<URL>,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Maya Tradición,Private,<Use Legal Entity Identifier if available>,Mining,,www.facebook.com/shopmayatreasures,<URL>,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Mayaníquel S.A.,Private,<Use Legal Entity Identifier if available>,Mining,,www.mnsaguatemala.com,<URL>,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Minera San Rafael S.A.,Private,<Use Legal Entity Identifier if available>,Mining,,www.tahoeresourcesinc.com,<URL>,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Montana Exploradora de Guatemala S.A.,Private,,Mining,,,,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Perenco Guatemala Limited,Private,,Oil & Gas,,https://www.perenco.com/,,,Guatemala,GTM,2017,2017-01-01,2017-12-01
Peña Rubia S.A.,Private,,Mining,,,,,Guatemala,GTM,2017,2017-01-01,2017-12-01
"Procesamiento de Materias Primas, Sílice y Derivados de Centroamérica S.A.",Private,,Mining,,https://grupovical.com/,,,Guatemala,GTM,2017,2017-01-01,2017-12-01
