Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AGRINEQ - SA,,,Mining,Quartz,http://www.agrineq.com/,,1887653810.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
AURA ENERGY LIMITED,,ABN 62115927681,Mining,NC,,,12182056.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
BP,,409136,Oil & Gas,Gas,https://www.bp.com/en/global/corporate/what-we-do/bp-worldwide/bp-in-mauritania.html,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
CURVE CAPITAL VENTURE,,20300067,Mining,Quartz,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
EL Aouj Mining Company SA,,30300497,Mining,Fer,,,27110903.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
Exoon Mobil,,"510651
510669
510677",Oil & Gas,Gas,,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Ferroquartz Mauritania,,336453,Mining,Quartz,,,21903545.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
Kosmos Energy,,90300133,Oil & Gas,Gas,https://www.kosmosenergy.com/mauritania/,,6286087041.03,Mauritania,MRT,2017,1/1/2017,12/31/2017
MCM,,30300067,Mining,"Cuivre, Or",https://www.mcmnews.com/English/Home/default.aspx,,6694157538.9,Mauritania,MRT,2017,1/1/2017,12/31/2017
Mauritanie Ressources Limited Sarl,,,Mining,Fer,,,9280000.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
Mauritano-Saoudeinne pour le Phosphate,,,Mining,NC,http://msphosphate.com/,,,Mauritania,MRT,2017,1/1/2017,12/31/2017
Petronas,,50500018,Oil & Gas,Oil,,,1025916808.51,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Mauritanienne des Hydrocarbures et du Patrimoine Minier (SMHPM),,82859,Oil & Gas,"Oil, Gas, Condensates",http://w3.smhpm.mr/fr2/,http://w3.smhpm.mr/fr2/index.php/etats-financiers,4508588732.55,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société Nationale Industrielle et Minière (SNIM),,30300075,Mining,Fer,www.snim.com,https://www.snim.com/index.php/news-a-media/publications.html,24472072909.03,Mauritania,MRT,2017,1/1/2017,12/31/2017
Société d’Extraction du Nord d’Inchiri SA (SENI Sa),,30300023,Mining,Or,,,66968124.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sonatrach (SIPEX),,,Oil & Gas,"Oil, Gas, Condensates",,,83339685.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
Sphere Mauritania sa,,30300158,Mining,Fer et substance connexes,,,49541822.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
TAFOLI MINERALS,,62901,Mining,NC,,,59940000.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
TIREX SA,,,Mining,NC,,,41846459.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
Tasiast Mauritanie LTD SA,,30300026,Mining,Or,https://www.kinrosstasiast.mr/tasiast-mauritanie/default.aspx,,14098844494.82,Mauritania,MRT,2017,1/1/2017,12/31/2017
Total E&P,,"90300075
90300067
492751
455386
30300059",Oil & Gas,Gas,https://www.total.com/en/mauritania,,4185282217.08,Mauritania,MRT,2017,1/1/2017,12/31/2017
Tullow Oil,,20300398,Oil & Gas,Gas,https://www.tullowoil.com/operations/new-ventures/mauritania,,5017457737.24,Mauritania,MRT,2017,1/1/2017,12/31/2017
Wafa Mining & Petroleum SA,,641639,Mining,NC,http://www.wmp.mr/,,25916000.0,Mauritania,MRT,2017,1/1/2017,12/31/2017
