Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
ADAE LLC,Private,5098564,Mining,"Oil, Gas, Condensates",Not available,Not available,731158407.2,Mongolia,MNG,2019,1/1/2019,12/31/2019
AGM Mining LLC,Private,5176727,Mining,"Oil, Gas, Condensates",Not available,Not available,1684124539.24,Mongolia,MNG,2019,1/1/2019,12/31/2019
ALGT LLC,State-owned enterprises & public corporations,5130662,Mining,"Oil, Gas, Condensates",Not available,Not available,525903053.42,Mongolia,MNG,2019,1/1/2019,12/31/2019
AQSora LLC,Private,5586119,Mining,"Oil, Gas, Condensates",Not available,Not available,334292146.89,Mongolia,MNG,2019,1/1/2019,12/31/2019
AREVA Mongol LLC,Private,5022398,Mining,"Oil, Gas, Condensates",Not available,Not available,2764568.04,Mongolia,MNG,2019,1/1/2019,12/31/2019
Achir LLC,State-owned enterprises & public corporations,6191614,Mining,"Oil, Gas, Condensates",Not available,Not available,26388726.0,Mongolia,MNG,2019,1/1/2019,12/31/2019
Achit Ikht LLC,Private,2788705,Mining,"Oil, Gas, Condensates",Not available,Not available,35548018571.0,Mongolia,MNG,2019,1/1/2019,12/31/2019
Aduunchuluun LLC,Private,2011239,Mining,"Oil, Gas, Condensates",Not available,Not available,1041779542.82,Mongolia,MNG,2019,1/1/2019,12/31/2019
Altain Khuder LLC,Private,5095549,Mining,"Oil, Gas, Condensates",Not available,Not available,12944711665.48,Mongolia,MNG,2019,1/1/2019,12/31/2019
Altan Dornod Mongolia LLC,Private,2112868,Mining,"Oil, Gas, Condensates",Not available,Not available,425297691.98,Mongolia,MNG,2019,1/1/2019,12/31/2019
Anand Bayan Tal LLC,Private,5218624,Mining,"Oil, Gas, Condensates",Not available,Not available,340326157.1,Mongolia,MNG,2019,1/1/2019,12/31/2019
Argatai LLC,Private,2012677,Mining,"Oil, Gas, Condensates",Not available,Not available,472635282.21,Mongolia,MNG,2019,1/1/2019,12/31/2019
Arvijikh Energy LLC,Private,6172768,Mining,"Oil, Gas, Condensates",Not available,Not available,313300259.81,Mongolia,MNG,2019,1/1/2019,12/31/2019
Aurum Aurug LLC,Private,5024323,Mining,"Oil, Gas, Condensates",Not available,Not available,311509656.42,Mongolia,MNG,2019,1/1/2019,12/31/2019
Aurum Metals LLC,Private,5005094,Mining,"Oil, Gas, Condensates",Not available,Not available,324477732.79,Mongolia,MNG,2019,1/1/2019,12/31/2019
Badmaarag Khash LLC,Private,5215919,Mining,"Oil, Gas, Condensates",Not available,Not available,1018215005.45,Mongolia,MNG,2019,1/1/2019,12/31/2019
Badrakh Energy LLC,State-owned enterprises & public corporations,5502977,Mining,"Oil, Gas, Condensates",Not available,Not available,2668448872.17,Mongolia,MNG,2019,1/1/2019,12/31/2019
Baganuur JSC,Private,2008572,Mining,"Oil, Gas, Condensates",http://mse.mn/mn,http://www.baganuurmine.mn/?p=6612,12822546233.02,Mongolia,MNG,2019,1/1/2019,12/31/2019
Barilga Ord LLC,Private,2640635,Mining,"Oil, Gas, Condensates",Not available,Not available,695091892.52,Mongolia,MNG,2019,1/1/2019,12/31/2019
Bayan Airag Exploration LLC,Private,2708701,Mining,"Oil, Gas, Condensates",Not available,Not available,9793216575.45,Mongolia,MNG,2019,1/1/2019,12/31/2019
Bayangol eco zaamar LLC,Private,5906865,Mining,"Oil, Gas, Condensates",Not available,Not available,636404356.14,Mongolia,MNG,2019,1/1/2019,12/31/2019
Bayanteeg LLC,Private,2014491,Mining,"Oil, Gas, Condensates",Not available,http://mse.mn/uploads/finance/44520192report.pdf,1388075931.14,Mongolia,MNG,2019,1/1/2019,12/31/2019
Berkh Uul LLC,Private,2643928,Mining,"Oil, Gas, Condensates",Not available,Not available,309360326.9,Mongolia,MNG,2019,1/1/2019,12/31/2019
Bilegt Bayalag LLC,Private,5294088,Mining,"Oil, Gas, Condensates",Not available,Not available,1743924232.23,Mongolia,MNG,2019,1/1/2019,12/31/2019
Bilegt Khairkhan Uul LLC,State-owned enterprises & public corporations,5376467,Mining,"Oil, Gas, Condensates",Not available,Not available,468469419.82,Mongolia,MNG,2019,1/1/2019,12/31/2019
