Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
1 1 1,Private,121174545,Mining,"Gem, Jade",,,2503175078.51,Myanmar,MMR,2018,4/1/2017,3/31/2018
24 HOUR MINING & INDUSTRY COMPANY LIMITED,Private,103687241,Mining,"Limestone, Gypsum",,,75485600.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
80000,Private,"2302,2011-2012",Mining,"Gem, Jade",,,880629460.44,Myanmar,MMR,2018,4/1/2017,3/31/2018
"A & A NATURAL RESOURCES DEVELOPMENT CO., LTD",Private,104959474,Mining,"Tin, Tungsten",,,518802.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
A K N K,Private,,Mining,"Gem, Jade",,,43957340.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
A-1 Mining Company .Ltd.,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
"A-Lister Services Co., Ltd.",Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
ARS Gems [ARS],Private,105949642,Mining,"Gem, Jade",,,281266991.81,Myanmar,MMR,2018,4/1/2017,3/31/2018
ASIA PHYO MINING COMPANY LIMITED,Private,108410094,Mining,Limestone,,,18516803.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
AUNG HTUN LINN SHEIN WIN MINING & REFINERY COMPANY LIMITED,Private,103580234,Mining,Gold,,,76479561.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Agga Yadanar Jade Gems & Jewellery Co., LTD",Private,117141772,Mining,"Gem, Jade",,,1786650815.72,Myanmar,MMR,2018,4/1/2017,3/31/2018
All Right Company,Private,113781203,Mining,"Gem, Jade",,,179843720.86,Myanmar,MMR,2018,4/1/2017,3/31/2018
Anadaman Transportation Limited(Yangon Branch)(ATL),Private,13 FC,Not applicable,,,,61961096023.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Annawar Pearl Co., Ltd (Marine Pearl Company)",Private,109604496,Mining,Pearl,,,84445906.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Apex Geo Services Co.,",Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Aquagold Myanmar Co., Ltd",Private,110185464,Mining,Pearl,,,55159000.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Asia Orient International Ltd. (CJs Oc Nobel Oil),Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Asia Petroleum Investment Company (APIC),Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Aung Hein Minn,Private,102150392,Mining,"Gem, Jade",,,572038052.56,Myanmar,MMR,2018,4/1/2017,3/31/2018
Aung Hlaing Kyawlwa,Private,100251507,Mining,"Gem, Jade",,,98338.22,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Aung Myin Thu Gems & Jewellery Co.,Ltd",Private,108425016,Mining,"Gem, Jade",,,403039857.39,Myanmar,MMR,2018,4/1/2017,3/31/2018
