Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
A/S Norske Shell,Private,914807077,Oil & Gas,"Oil, Gas, Condensates",,,8691879000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Aker BP AS,Private,930459321,Oil & Gas,"Oil, Gas, Condensates",,,-13071849000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Aker BP ASA,Private,989795848,Oil & Gas,"Oil, Gas, Condensates",,,5456397000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Andre selskap - ikke rettighetshaver,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Norway,NOR,2018,1/1/2018,12/31/2018
CapeOmega AS,Private,913776712,Oil & Gas,"Oil, Gas, Condensates",,,-465480000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Capricorn Norge AS,Private,994434403,Oil & Gas,"Oil, Gas, Condensates",,,-316941000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Centrica Resources Norge AS,Private,990089655,Oil & Gas,"Oil, Gas, Condensates",,,-4110000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Chevron Norge AS,Private,930322784,Oil & Gas,"Oil, Gas, Condensates",,,-110803000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Concedo ASA,Private,988217867,Oil & Gas,"Oil, Gas, Condensates",,,-116860000.0,Norway,NOR,2018,1/1/2018,12/31/2018
ConocoPhillips Skandinavia AS,Private,918110127,Oil & Gas,"Oil, Gas, Condensates",,,7035908000.0,Norway,NOR,2018,1/1/2018,12/31/2018
DEA Norge AS,Private,926620207,Oil & Gas,"Oil, Gas, Condensates",,,65325000.0,Norway,NOR,2018,1/1/2018,12/31/2018
DNO Norge AS,Private,913905881,Oil & Gas,"Oil, Gas, Condensates",,,-278001000.0,Norway,NOR,2018,1/1/2018,12/31/2018
DNO North Sea (Norge) AS,Private,989399071,Oil & Gas,"Oil, Gas, Condensates",,,-393938000.0,Norway,NOR,2018,1/1/2018,12/31/2018
DNOILCO AS,Private,918466452,Oil & Gas,"Oil, Gas, Condensates",,,-6945000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Edison Norge AS,Private,914515300,Oil & Gas,"Oil, Gas, Condensates",,,-150856000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Engie E&P Norge AS,Private,983426417,Oil & Gas,"Oil, Gas, Condensates",,,26600000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Eni Norge AS,Private,919160675,Oil & Gas,"Oil, Gas, Condensates",,,98311000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Equinor Energy AS,State-owned enterprises & public corporations,990888213,Oil & Gas,"Oil, Gas, Condensates",,,87120311000.0,Norway,NOR,2018,1/1/2018,12/31/2018
ExxonMobil Expl. and Prod. Norway AS,Private,914048990,Oil & Gas,"Oil, Gas, Condensates",,,13645530000.0,Norway,NOR,2018,1/1/2018,12/31/2018
ExxonMobil Production Norway Inc.,Private,924956917,Oil & Gas,"Oil, Gas, Condensates",,,-320000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Faroe Petroleum Norge AS,Private,989399071,Oil & Gas,"Oil, Gas, Condensates",,,11403000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Fortis Petroleum Norway AS,Private,990554382,Oil & Gas,"Oil, Gas, Condensates",,,-8328000.0,Norway,NOR,2018,1/1/2018,12/31/2018
INEOS E&P Norge AS,Private,931713671,Oil & Gas,"Oil, Gas, Condensates",,,3486742000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Idemitsu Petroleum Norge AS,Private,953133210,Oil & Gas,"Oil, Gas, Condensates",,,1665172000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Infragas Norge AS,Private,997229088,Oil & Gas,"Oil, Gas, Condensates",,,570860000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Inpex Norge AS,Private,913120981,Oil & Gas,"Oil, Gas, Condensates",,,-84339000.0,Norway,NOR,2018,1/1/2018,12/31/2018
KUFPEC Norway AS,Private,946680591,Oil & Gas,"Oil, Gas, Condensates",,,-50964000.0,Norway,NOR,2018,1/1/2018,12/31/2018
LOTOS Expl. and Prod. Norge AS,Private,991735194,Oil & Gas,"Oil, Gas, Condensates",,,494384000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Lime Petroleum AS,Private,998726441,Oil & Gas,"Oil, Gas, Condensates",,,-60860000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Lukoil Overseas North Shelf AS,Private,998152550,Oil & Gas,"Oil, Gas, Condensates",,,-99659000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Lundin Norway AS,Private,986209409,Oil & Gas,"Oil, Gas, Condensates",,,510942000.0,Norway,NOR,2018,1/1/2018,12/31/2018
M Vest Energy AS,Private,916358857,Oil & Gas,"Oil, Gas, Condensates",,,-69967000.0,Norway,NOR,2018,1/1/2018,12/31/2018
MOL Norge AS,Private,988120545,Oil & Gas,"Oil, Gas, Condensates",,,-91563000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Maersk Oil Norway AS,Private,986478434,Oil & Gas,"Oil, Gas, Condensates",,,-52423000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Moeco Oil & Gas Norge AS,Private,998516048,Oil & Gas,"Oil, Gas, Condensates",,,-64813000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Neptune E&P Norge AS,Private,983426417,Oil & Gas,"Oil, Gas, Condensates",,,-101982000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Neptune Energy Norge AS,Private,983426417,Oil & Gas,"Oil, Gas, Condensates",,,5350390000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Norpipe Oil AS,Private,975871932,Oil & Gas,"Oil, Gas, Condensates",,,72036000.0,Norway,NOR,2018,1/1/2018,12/31/2018
Norsea Gas AS,Private,918352074,Oil & Gas,"Oil, Gas, Condensates",,,-1572000.0,Norway,NOR,2018,1/1/2018,12/31/2018
North E&P AS,Private,997295684,Oil & Gas,"Oil, Gas, Condensates",,,-234285000.0,Norway,NOR,2018,1/1/2018,12/31/2018
