Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
ArcelorMittal Kryviy Rih PJSC,Private,24432974,Mining,Iron Ore,,https://smida.gov.ua/db/emitent/report/year/xml/show/113069,946015358.69,Ukraine,UKR,2017,2017-01-01,2017-12-31
Central Iron Ore Enrichment Works PrJSC,Private,190977,Mining,Iron Ore,,https://cgok.metinvestholding.com/upload/cgok/shareholders/cgok_otchet-auditora-za-2017-god.pdf,349520545.27,Ukraine,UKR,2017,2017-01-01,2017-12-31
Cub-Gaz LLC,Private,30694895,Oil & Gas,"Oil, Gas",,,621863123.82,Ukraine,UKR,2017,2017-01-01,2017-12-31
DTEK Dobropolyeugol LLC,Private,37014600,Mining,Coal,,https://dtek.com/investors_and_partners/asset/dobropolye/,329712085.91,Ukraine,UKR,2017,2017-01-01,2017-12-31
DTEK Pavlogradugol PrJSC,Private,178353,Mining,Coal,,,2905262103.39,Ukraine,UKR,2017,2017-01-01,2017-12-31
Energy & Service company Esco-Pivnich LLC,Private,30732144,Oil & Gas,"Oil, Gas",,,2200080925.29,Ukraine,UKR,2017,2017-01-01,2017-12-31
Energy-95 LLC,Private,24186185,Oil & Gas,"Oil, Gas",,,263280087.55,Ukraine,UKR,2017,2017-01-01,2017-12-31
Ferrexpo Poltava mining PrJSC,Private,191282,Mining,Iron Ore,,,-649851897.67,Ukraine,UKR,2017,2017-01-01,2017-12-31
Ferrexpo Yeristovo mining LLC,Private,35713283,Mining,Iron Ore,,http://ferrexpoyeristovomine.com/wp-content/uploads/2015/09/%D0%A3%D0%BA%D1%80.%D0%BC%D0%BE%D0%B2%D0%B0.pdf,-373788625.98,Ukraine,UKR,2017,2017-01-01,2017-12-31
Ingulets Iron Ore Enrichment Works PrJSC,Private,190905,Mining,Iron Ore,,,1314663003.83,Ukraine,UKR,2017,2017-01-01,2017-12-31
JV Ukrcarpatoil LTD LLC,State-owned enterprises & public corporations,23152126,Oil & Gas,"Oil, Gas",,,165011154.82,Ukraine,UKR,2017,2017-01-01,2017-12-31
Kashtan Petroleum LTD JV,Private,23703371,Oil & Gas,"Oil, Gas",,,142935792.41,Ukraine,UKR,2017,2017-01-01,2017-12-31
Krivoj Rog`s Iron-Ore Combine PJSC,Private,191307,Mining,Iron Ore,,,1045068355.06,Ukraine,UKR,2017,2017-01-01,2017-12-31
