Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Albanian Customs Administrate,Central goverment,,4716289388.0,Albania,ALB,2017,2017/01/01,2017/12/31
Albpetrol,State-owned enterprises & public corporations,,2318883540.32,Albania,ALB,2017,2017/01/01,2017/12/31
Electric energy distribution system operator (OSHEE),State-owned enterprises & public corporations,,,Albania,ALB,2017,2017/01/01,2017/12/31
Energy Regulatory Authority (ERE),Other,,24700000.0,Albania,ALB,2017,2017/01/01,2017/12/31
General Directorate of Taxes,Central goverment,,27440036308.0,Albania,ALB,2017,2017/01/01,2017/12/31
Municipality of Bulqizë,Local government,,5600000.0,Albania,ALB,2017,2017/01/01,2017/12/31
Municipality of Krujë,Local government,,107357802.0,Albania,ALB,2017,2017/01/01,2017/12/31
Municipality of Lushnjë,Local government,,3500000.0,Albania,ALB,2017,2017/01/01,2017/12/31
Municipality of Patos,Local government,,36313288.0,Albania,ALB,2017,2017/01/01,2017/12/31
Municipality of Rroskovec,Local government,,146868292.0,Albania,ALB,2017,2017/01/01,2017/12/31
National Agency of Natural Resouces (AKBN),Central goverment,,11904735.77,Albania,ALB,2017,2017/01/01,2017/12/31
