Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Agence Nationale d’Encadrement des Exploitations Minières Artisanales et Semi-mécanisées (ANEEMAS),State-owned enterprises & public corporations,,2021196442.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Agence de l'eau,State-owned enterprises & public corporations,,2007363783.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Agence nationale des évaluations environnementales (ANEVE),State-owned enterprises & public corporations,,136270436.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Autres bénéficiaires (Paiements sociaux),Other,,4869734388.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Bureau des Mines et de la Géologie du Burkina (BUMIGEB),State-owned enterprises & public corporations,,38183378.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Direction Générale des Douanes (DGD),Central goverment,,67000662298.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Direction Générale des Impôts (DGI),Central goverment,,139009756479.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,,56739697798.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Fonds d'Intervention pour l'Environnement (FIE),Other,,19234237714.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Office National de Sécurisation des Sites Miniers (ONASSIM),State-owned enterprises & public corporations,,408000000.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Société d'Exploitation des Phosphates du Burkina (SEPB),State-owned enterprises & public corporations,,236511688.0,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
