Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Autorité de Régulation du Secteur pétrolier Aval du Tchad (ARSAT),Central goverment,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Caisse Nationale de Prévoyance Sociale (CNPS),Central goverment,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Commune de Doba,Local government,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Commune de Koudalwa,Local government,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Direction Générale Technique de Pétrole (DGTP),Central goverment,Non applicable,5440559.0,Chad,TCD,2018,2018/01/01,2018/12/31
Direction Générale Technique des Mines (DGTM),Central goverment,Non applicable,96283.0,Chad,TCD,2018,2018/01/01,2018/12/31
Direction Générale des Services de Douanes et des Droits Indirects (DGSDDI),Central goverment,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,Non applicable,316949335.62,Chad,TCD,2018,2018/01/01,2018/12/31
Ministère des Finances,Central goverment,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Société Nationale des Mines et de la Géologie (SONAMIG),State-owned enterprises & public corporations,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Société des Hydrocarbures du Tchad (SHT),State-owned enterprises & public corporations,Non applicable,680650556.22,Chad,TCD,2018,2018/01/01,2018/12/31
