Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Direction Générale des Douanes (DGD),Central goverment,Non applicable,13425615733.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction Générale des Hydrocarbures (DGH),Central goverment,Non applicable,2674420060.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction Générale des Impôts (DGI),Central goverment,Non applicable,97972786388.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction Générale des Mines et de la Géologie (DGMG),Central goverment,Non applicable,5097681772.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,Non applicable,16900563354.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction des Participations et de la Privatisation (DPP),Central goverment,Non applicable,,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité de Bondoukou,Local government,Non applicable,19449399.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité de Lauzoua Divo,Local government,Non applicable,70479706.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité d’Agbaou-Divo,Local government,Non applicable,636531600.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité d’Hiré,Local government,Non applicable,501830662.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité d’Ity-Zouhan-Hounien,Local government,Non applicable,220037096.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Société Nationale d'Opérations Pétrolières de Côte d'Ivoire (PETROCI),State-owned enterprises & public corporations,7602349 S,57696675052.0,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Société pour le Développement Minier de la Côte d'Ivoire (SODEMI),State-owned enterprises & public corporations,6103805 Y,,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
