Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Amansie South District Assemly,Local government,,241900.0,Ghana,GHA,2018,2018/01/01,2018/12/31
Asutifi District Assembly,Local government,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Birim North Assembly,Local government,,434500.0,Ghana,GHA,2018,2018/01/01,2018/12/31
Denkyira District Assembly,Local government,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Ellembelle,Local government,,50000.0,Ghana,GHA,2018,2018/01/01,2018/12/31
Environmental Protection Agency,Central goverment,,15778843.06,Ghana,GHA,2018,2018/01/01,2018/12/31
Ghana National Petroleum Company,Central goverment,,23128519.17,Ghana,GHA,2018,2018/01/01,2018/12/31
Ghana Railway Authority,Central goverment,,17864451.13,Ghana,GHA,2018,2018/01/01,2018/12/31
Ghana Revenue Authority,Central goverment,,5986043296.91,Ghana,GHA,2018,2018/01/01,2018/12/31
"Metropolitan, Municipal and District Assemblies",Local government,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Minerals Commission,Central goverment,,48065684.81,Ghana,GHA,2018,2018/01/01,2018/12/31
Ministry of Energy,Central goverment,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Ministry of Finance,Central goverment,,112070960.0,Ghana,GHA,2018,2018/01/01,2018/12/31
Ministry of Lands and Natural Resources,Central goverment,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Mpohor Wassa East,Local government,,44206.0,Ghana,GHA,2018,2018/01/01,2018/12/31
Office of the Administrator of Stool Lands,Central goverment,,7809541.0,Ghana,GHA,2018,2018/01/01,2018/12/31
Petroleum Commission,Central goverment,,22375915.06,Ghana,GHA,2018,2018/01/01,2018/12/31
Prestea Huni Valley,Local government,,126556.0,Ghana,GHA,2018,2018/01/01,2018/12/31
Sefwi District Assembly,Local government,,130563.0,Ghana,GHA,2018,2018/01/01,2018/12/31
Tarkwa Nsuaem,Local government,,470801.82,Ghana,GHA,2018,2018/01/01,2018/12/31
Yilo Krobo District Assembly,Local government,,,Ghana,GHA,2018,2018/01/01,2018/12/31
