Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
APL-EP-57,,Jabul Siraj Consortium,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-58,,Core Drillers,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-59,,Amin Karimzai Campany,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-60,,Afghan Talc Limited,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-61,,Nabi Afghan Company,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-62,,Core Drillers,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-63,,Ghazanfar Group,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-65,,Habib Shahab Talc and Marble exploitation and process company,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-66,,Sardar Mustafa Limited company,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-67,,Natural Stone Company,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-68,,Natural Stone Company,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXP 1/2008,Mining Exploration License,MCC Consortium,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXP 1/2014,Mining Exploration License,North Coal Enterprise (NCE),,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2006,Mining Exploration License,Khoshak Brothers Co,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2009,Mining Exploration License,Misaq-E Sharq Company,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2012,Mining Exploration License,شرکت تجارتی آریا پوپل لمتید,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2014,Mining Exploration License,شرکت استانه بابا,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2015,Mining Exploration License,Zar Jan,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 2/2012,Mining Exploration License,Khoshak Brothers Co,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 2/2013,Mining Exploration License,WESTCO INTERNATIONAL,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 2/2015,Mining Exploration License,شرکت برادران عادل,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 4/2014,Mining Exploration License,Zar Jan,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 5/2012,Mining Exploration License,شرکت برادران مهمند شمال,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 5/2013,Mining Exploration License,Amania Mining Company,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 5/2014,Mining Exploration License,Ehsan Aziz Construction Company,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 6/2012,Mining Exploration License,Madan Karan,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 7/2012,Mining Exploration License,Hashimy Group,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 8/2012,Mining Exploration License,Metal Mining UK,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
P-EXP 1/2011,Petroleum Exploitation License,CNPCI Watan Oil and Gas Afghanistan limited,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
P-EXPL 1/2013,Petroleum Exploration License,TP Afghanistan limited,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
P-EXPL 2/2013,Petroleum Exploration License,Dragon Oil sanduqli limited,,,,Not applicable,,Not applicable,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 1/2008,Small-scale mining license,شرکت تکنالوجست,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 1/2015,Small-scale mining license,شرکت اعتماد قره باغ,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 1/2016,Small-scale mining license,شرکت سپتی اوغلوایس مات دستی,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 10/2016,Small-scale mining license,Hakim Jan,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 10/2016,Small-scale mining license,Hakim Jan,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 11/2015,Small-scale mining license,Abdul Fatah,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 12/2016,Small-scale mining license,Zabih Ullah,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 13/2012,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 13/2012,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 13/2012,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 13/2016,Small-scale mining license,Mohammad Edris,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 14/2016,Small-scale mining license,"دوست محمد فرزند محمد شاه, دوست محمد",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 15/2016,Small-scale mining license,Haji Mohammad Eshan,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 16/2014,Small-scale mining license,شرکت تولید سنگ تزیناتی وتعمیراتی هلال,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 16/2015,Small-scale mining license,"فقیر حسین, محمد حسین",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 16/2016,Small-scale mining license,"محمد هاشم فرزند عبدالله, محمد هاشم",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 17/2016,Small-scale mining license,Hakim Jan,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 18/2015,Small-scale mining license,Haji Mohammad Eshan,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 18/2016,Small-scale mining license,"محمدی فرزند مسجدی, محمد دل",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 19/2016,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 19/2016,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 2/2008,Small-scale mining license,شرکت تکنالوجست,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 2/2008,Small-scale mining license,شرکت تکنالوجست,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 22/2016,Small-scale mining license,"نصرالله فرزند اول الدین, نصرالله",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 23/2016,Small-scale mining license,"احمد علی ولد خداداد, احمدعلی",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 24/2014,Small-scale mining license,Hassan Aqa,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 3/2013,Small-scale mining license,شرکت ریگریشن کابل گلدره,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 3/2015,Small-scale mining license,Sefat Ullah,,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 3/2016,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",,,,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-20
