Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
CI-100,,TOTAL E & P,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-101,,ENI IVORY COAST LTD,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-11,,PETROCI CI-11,Crude oil (2709),Production,111520.0,Barrels,7856638.0,USD,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-11,,PETROCI CI-11,Natural gas (2711),Production,3825238.0,MMBTU,16358914.0,USD,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-12,,FOXTROT INTERNATIONAL,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-202,,VITOL CDI LIMITED,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-205,,ENI IVORY COAST LTD,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-24,,Dragon Oil and Gas S.A,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-26,,CNR INTERNATIONAL,Crude oil (2709),Production,3107408.0,Barrels,221306046.0,USD,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-26,,CNR INTERNATIONAL,Natural gas (2711),Production,13766202.0,MMBTU,70343007.0,USD,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-27,,FOXTROT INTERNATIONAL,Crude oil (2709),Production,599128.0,Barrels,40562372.0,USD,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-27,,FOXTROT INTERNATIONAL,Natural gas (2711),Production,48108304.0,MMBTU,312837721.0,USD,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-301,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-302,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-40,,CNR INTERNATIONAL,Crude oil (2709),Production,7966585.0,Barrels,557093790.0,USD,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-40,,CNR INTERNATIONAL,Natural gas (2711),Production,3391483.0,MMBTU,8817856.0,USD,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-500,,Société Nationale d'Opérations Pétrolières de Côte d'Ivoire (PETROCI),Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-502,,FOXTROT INTERNATIONAL,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-518,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-519,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-520,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-521,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-522,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-523,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-524,,TULLOW CI,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-525,,VITOL CDI LIMITED,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-526,,KOSMOS,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-526,,KOSMOS,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-602,,KOSMOS,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-603,,KOSMOS,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-605,,TOTAL E & P,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-707,,KOSMOS,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CI-708,,KOSMOS,Natural gas (2711),Development,,,,,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
