Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Cape Three Points Block 4,Not applicable,ENI;Vitol;Woodfields;GNPC;Exploroco,Crude oil (2709),Exploration,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
DeepWater Tano,Not applicable,Tullow Ghana Ltd;Kosmos Energy HC;Anadarko;PetroSA;Ghana National Petroleum Company,Crude oil (2709),Production,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
Jubilee Fields,Not applicable,Tullow Ghana Ltd;Kosmos Energy HC;Anadarko;PetroSA;Ghana National Petroleum Company,Crude oil (2709),Production,5206838.85,Sm3,1221971302.0,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
Jubilee Fields,Not applicable,Tullow Ghana Ltd;Kosmos Energy HC;Anadarko;PetroSA;Ghana National Petroleum Company,Natural gas (2711),Production,7527068.0,Sm3 o.e.,99733.0,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
MC-113 (Hotopo),Not applicable,Ghana Manganese Co. Ltd,Manganese (2602),Production,3021633.0,Tonnes,739284082.0,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
MC-113/Vol.4,Not applicable,Ghana Manganese Co. Ltd,Manganese (2602),Not applicable,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
MC-7/SF8 (Awaso),Not applicable,Ghana Bauxite Company Ltd,Other (2617),Production,1476966.0,Tonnes,209548620.0,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
MC-9/SF2 (Fiankuma 1),Not applicable,AngloGold Ashanti (Ghana) Ltd,Gold (7108),Not applicable,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
MC-9/SF2 (Fiankuma 2),Not applicable,AngloGold Ashanti (Ghana) Ltd,Gold (7108),Production,0.05,Tonnes,281.25,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
MC-9/SF2 (Fiankuma 3),Not applicable,AngloGold Ashanti (Ghana) Ltd,Gold (7108),Not applicable,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
ML-GH/152,Not applicable,AngloGold Ashanti (Iduapriem) Ltd,Gold (7108),Production,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
ML-GH/153,Not applicable,AngloGold Ashanti (Iduapriem) Ltd,Gold (7108),Production,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
ML-GH/154,Not applicable,AngloGold Ashanti (Iduapriem) Ltd,Gold (7108),Production,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
ML-GH/155,Not applicable,AngloGold Ashanti (Iduapriem) Ltd,Gold (7108),Production,6.36,Tonnes,38562.84,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
ML-GH/166,Not applicable,Golden Star (Wassa) Ltd,Gold (7108),Production,3.83,Tonnes,23228.16,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
ML6/7,Not applicable,Kibi GoldFields Ltd,Gold (7108),Production,,Tonnes,,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
ML6/8,Not applicable,Asanko Gold Ghana Ltd,Gold (7108),Production,5.72,Tonnes,34706.17,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
ML6/9,Not applicable,Asanko Gold Ghana Ltd,Gold (7108),Production,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
Offshore Cape Three Points,Not applicable,ENI;VITOL;Ghana National Petroleum Company,Crude oil (2709),Production,,,,,Ghana,GHA,2017,2017-01-01,2017-12-31
PL-2/12 (Prestea),Not applicable,Golden Star (Bogoso/Prestea) Ltd,Gold (7108),Production,3.67,Tonnes,22263.17,GHS,Ghana,GHA,2017,2017-01-01,2017-12-31
