Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Ahdeb,Not available,Al Waha Petroleum CO. LTD,Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Badra,Not available,"TP BADRA LTD., Petronas Badra, KOGAS BADRA B.V., Gasprom Neft Badra B.V.",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Faihaa (Block 9),Not available,"Kuwait Energy Co, Dragon Oil Limited (Block 9), THE EGYPTIAN / TSC",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Garraf,Not available,"Petronas Garraf, JAPEX",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Halfaya,Not available,"PetroChina Halfaya, TOTSA TOTAL Halfaya Contract, Petronas Halfaya",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Majnoon,Not available,"Shell Majnoon, Petronas Majnoon",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Missan Oil Fields,Not available,"CNOOCI, TPAO",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Rumaila Field,Not available,"BP, PetroChina",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
West Qurna 1,Not available,"Exxonmobil Iraq LTD, Shell West Qurna, PetroChina West Qurna, Pertamina Iraq",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
West Qurna 2,Not available,LukOil,Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
Zubair,Not available,"ENI IRAQ B.V., Basra Oil Company, Kogas Zubair",Crude oil (2709),Production,,,,,Iraq,IRQ,2017,1/1/2017,12/31/2017
