Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Ailt,14-13-05,IKh Undarga Mining LLC,Other (2617),Production,15.65,Tonnes,67640000.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Ar Naimgan,т/16-16-04,MJJEC LLC,Other (2617),Production,8.3,Tonnes,,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Ar naimgan,т/102,Ulz Gol LLC,Other (2617),Production,186.36,Tonnes,,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Artamsag,Т/19-12-14,Hos-Has LLC,Other (2617),Production,8.44,Tonnes,1793000000.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Dojir,15-11-02,Khanshashir LLC,Other (2617),Production,2220.08,Tonnes,1992540000.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Feasibility study for Baganuur coal mine expansion,ТС/01-01,Baganuur JSC,Coal (2701),Production,4100300.0,Tonnes,24982999100.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Kharganat,т/18-01-01,ALGT LLC,Other (2617),Production,53.0,Tonnes,,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Khotgor,т/18-13-13,Gobi coal and energy LLC,Coal (2701),Production,377.0,Tonnes,495260000.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Khuren tolgoi,СТР/18-01-02,Khuren Tolgoi Coal Mining LLC,Coal (2701),Production,314000.0,Tonnes,1235763900.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Shuluun am,т/18-03-05,Khukh Burdnii Ekh LLC,Other (2617),Production,6725.0,Tonnes,,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Uguumur,1314-06,Hos-Has LLC,Other (2617),Production,94.39,Tonnes,12947500000.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Zeegt,т/19-10-10,Gobi coal and energy LLC,Coal (2701),Production,1610.4,Tonnes,586220000.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
