Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
AL9,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Admiralty Quarries,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 106/400, North Dowsing",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 127, SW Needles",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 137, Area A",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 197, Protector Overfalls",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 212, Norfolk",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 228, Off Great Yarmouth",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 240, Cross Sands",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 242/361, Lowestoft",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 254, Off Great Yarmouth",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 340, Nab",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 351, SE Isle of Wight",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 372/1, North Nab",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 392, Hilbre Swash",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 393, Hilbre Swash",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 395/1-2, Off Selsey Bill",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 396/488, Inner Owers",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 401/2, Yarmouth",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 407, St Catherine's",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 430, Southwold East",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 435, Inner Owers",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 451, St Catherine's",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 453, Owers Extension",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 457, Liverpool Bay",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 458/464, West Bassurelle",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 460, South Hastings",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Area 461, Median Deep",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
