GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Contribution payment to the Environmental protection fund,Ministry of Environment,307671700.6,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Social obligations envisaged by the Contract,Ministry of Territorial Administration and Development,19330000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Customs and other import duties (1151E),Mining,Custom duties,Tax Revenue Authority,1471747490.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Emission and pollution taxes (114522E),Mining,Environmental assessment fee,Ministry of Environment,500000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Emission and pollution taxes (114522E),Mining,Environmental fees for goods imported from EEU member states,Tax Revenue Authority,7107411.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Emission and pollution taxes (114522E),Mining,Environmental fees for goods imported from non EEU member states,Tax Revenue Authority,23580953.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Emission and pollution taxes (114522E),Mining,Environmental payments (taxes),Tax Revenue Authority,54258439.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Emission and pollution taxes (114522E),Mining,Monitoring payment,Ministry of Environment,32610785.5,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Emission and pollution taxes (114522E),Mining,Nature utilisation fee,Tax Revenue Authority,60064386.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Excise taxes (1142E),Mining,Excise taxes,Tax Revenue Authority,,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Excise taxes (1142E),Mining,Import Excise taxes,Tax Revenue Authority,285546864.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
"Fines, penalties, and forfeits (143E)",Mining,Penalties,Ministry of Environment,1250000.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Import VAT,Tax Revenue Authority,5626338328.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,VAT,Tax Revenue Authority,,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Licence fees (114521E),Mining,State duty for mining permit,Tax Revenue Authority,314892323.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Income tax,Tax Revenue Authority,19059199838.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Profit tax,Tax Revenue Authority,17975927113.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Profit tax for non-residents,Tax Revenue Authority,2348971301.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Other rent payments (1415E5),Mining,Rent fee,Ministry of Territorial Administration and Development,910227845.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Other taxes payable by natural resource companies (116E),Mining,Land disposal,Ministry of Territorial Administration and Development,,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Royalties (1415E1),Mining,Mining Royalties,Tax Revenue Authority,37426583083.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Land tax,Ministry of Territorial Administration and Development,21638707.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
Taxes on property (113E),Mining,Property tax,Ministry of Territorial Administration and Development,68204327.0,AMD,Armenia,ARM,2019,2019-01-01,2019-12-31
