GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Bonuses (1415E2),Oil & Gas,Bonus de signature,Direction Générale des Impôts (DGI),6038626780.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Contribution Budget Formation Mines,Direction Générale des Mines et de la Géologie (DGMG),210000000.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Versements au fonds de financement des actions de développement socio-économique local,Localité de Bondoukou,19449399.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Versements au fonds de financement des actions de développement socio-économique local,Localité de Lauzoua Divo,70479706.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Versements au fonds de financement des actions de développement socio-économique local,Localité d’Agbaou-Divo,636531600.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Versements au fonds de financement des actions de développement socio-économique local,Localité d’Hiré,501830662.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Versements au fonds de financement des actions de développement socio-économique local,Localité d’Ity-Zouhan-Hounien,220037096.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Contribution à la formation,Direction Générale des Hydrocarbures (DGH),1311172726.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Mining,Droits de Douane et taxes assimilées,Direction Générale des Douanes (DGD),7845154830.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Mining,Pénalités DGD,Direction Générale des Douanes (DGD),156363767.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Oil & Gas,Droits de Douane et taxes assimilées,Direction Générale des Douanes (DGD),5424097136.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Delivered/paid directly to government (1415E31),Oil & Gas,Profit Oil Etat Puissance Publique,Direction Générale des Impôts (DGI),29342953218.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Delivered/paid directly to government (1415E31),Oil & Gas,Taxe d’Exploitation Pétrolière (TEP),Direction Générale des Impôts (DGI),12575551379.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
