GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Gravamen,Direccion Genreral de Aduanas (DGA),54344201.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Administrative fees for government services (1422E),Mining,Otros (Servicios al Publico General),Dirección General de Minería (DGM),683720.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Administrative fees for government services (1422E),Mining,Pagos por Servicios verificación a destino,Direccion Genreral de Aduanas (DGA),1179400.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Administrative fees for government services (1422E),Mining,SER-COBROS POR SERVICIOS,Dirección General de Impuestos Internos (DGII),14568491.93,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Administrative fees for government services (1422E),Mining,Tasa por Servicios,Ministerio de Energía y Minas (MEM),179000.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Administrative fees for government services (1422E),Mining,Tasas por Servicios,Direccion Genreral de Aduanas (DGA),1651426.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Mining,Declaración Unica Aduanera,Direccion Genreral de Aduanas (DGA),374800.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Customs and other import duties (1151E),Mining,Penalidades y Recargos,Direccion Genreral de Aduanas (DGA),1515161.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,IMPUESTO SOBRE UTILIDADES NETA MINERA EN US$,Dirección General de Impuestos Internos (DGII),2550523735.71,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,JTE-IMPUESTO POR JUEGOS TELEFONICOS,Dirección General de Impuestos Internos (DGII),2440.58,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,IMPUESTO MÍNIMO ANUAL MINERO EN US$,Dirección General de Impuestos Internos (DGII),264592939.17,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Licence fees (114521E),Mining,IMPUESTO REGALÍA NETAS DE FUNDICIÓN MINERA EN US$,Dirección General de Impuestos Internos (DGII),2245151146.45,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,1110030-312-IMPUESTO S/RENTA ORIGINADAS EN LA PRESTACION DE SERVICIOS GENERALES LEY 11-92,Dirección General de Impuestos Internos (DGII),13888.89,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,IMPUESTO POR INTERESES PAGADOS O ACREDITADOS EN EL EXTERIOR,Dirección General de Impuestos Internos (DGII),158071877.88,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,IMPUESTO POR PAGO AL EXTERIOR EN GENERAL,Dirección General de Impuestos Internos (DGII),330335248.92,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,IMPUESTO S/LA RENTA DE LAS EMPRESAS EN US$,Dirección General de Impuestos Internos (DGII),3671563274.91,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,IMPUESTO S/RENTA PROVENIENTE DE ALQUILERES Y ARRENDAMIENTOS,Dirección General de Impuestos Internos (DGII),6000.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,IMPUESTO SOBRE RETRIBUCIONES COMPLEMENTARIAS,Dirección General de Impuestos Internos (DGII),25177999.81,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,INTERESES INDEMNIZATORIOS SOBRE LA TENENCIA DEL PATRIMONIO,Dirección General de Impuestos Internos (DGII),35942.89,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Royalties (1415E1),Mining,50% EXPLOTACION YACIMIENTOS MINEROS (LEY 123-71),Dirección General de Impuestos Internos (DGII),857.3,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Royalties (1415E1),Mining,Regalía del 5% de las exportaciones,Direccion Genreral de Aduanas (DGA),437691048.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Taxes on exports (1152E),Mining,Formulario DUA Exportaciones,Direccion Genreral de Aduanas (DGA),197100.0,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
Taxes on exports (1152E),Mining,RECARGOS EN PERMISOS PARA EXPLOTAR YACIMIENTOS MINEROS (ART. 186 Y 115 LEY DE MINERIA),Dirección General de Impuestos Internos (DGII),561.6,DOP,Dominican Republic,DOM,2018,2018-01-01,2018-12-31
