GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Admin fees,Guyana Gold Board (GGB),96130564.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Customs and other import duties (1151E),Not applicable,Customs duty,Guyana Revenue Authority (GRA),610981251.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Customs and other import duties (1151E),Not applicable,Excise Tax,Guyana Revenue Authority (GRA),442645633.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Customs and other import duties (1151E),Not applicable,Stamp Duty (collected by customs),Guyana Revenue Authority (GRA),1433391.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Emission and pollution taxes (114522E),Not applicable,Construction Permit Fees,Environmental Protection Agency (EPA),10431076.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Emission and pollution taxes (114522E),Not applicable,Environmental Permit fees,Environmental Protection Agency (EPA),56917141.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Emission and pollution taxes (114522E),Not applicable,Licence Fees,Environmental Protection Agency (EPA),645231.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"Extraordinary taxes on income, profits and capital gains (1112E2)",Not applicable,Individual Property Tax,Guyana Revenue Authority (GRA),73122304.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Not applicable,Value Added Tax,Guyana Revenue Authority (GRA),363777694.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Annual Licence Rental Charge,Guyana Geology and Mines Commission (GGMC),1066377464.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Annual Training Fees,Guyana Geology and Mines Commission (GGMC),144031186.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Licence fees (114521E),Mining,Licence fees,Guyana Geology and Mines Commission (GGMC),256825420.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"Ordinary taxes on income, profits and capital gains (1112E1)",Not applicable,Capital Gains Tax,Guyana Revenue Authority (GRA),67645293.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"Ordinary taxes on income, profits and capital gains (1112E1)",Not applicable,Corporation Tax,Guyana Revenue Authority (GRA),1389569291.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
"Ordinary taxes on income, profits and capital gains (1112E1)",Not applicable,Individual Income Tax,Guyana Revenue Authority (GRA),129244281.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Other taxes payable by natural resource companies (116E),Mining,"Other material payment flows > GYD 1,000,000 (GGB)",Guyana Gold Board (GGB),5223660.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Other taxes payable by natural resource companies (116E),Mining,"Other material payment flows > GYD 1,000,000 (GGMC)",Guyana Geology and Mines Commission (GGMC),280556526.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Other taxes payable by natural resource companies (116E),Not applicable,"Other material payment flows > GYD 1,000,000 (GRA)",Guyana Revenue Authority (GRA),15623833.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Other taxes payable by natural resource companies (116E),Not applicable,"Other material payment flows > GYD 1,000,000- (EPA)",Environmental Protection Agency (EPA),1439498.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Royalties (1415E1),Mining,Annual assignment Fees,Guyana Geology and Mines Commission (GGMC),67748783.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Royalties (1415E1),Mining,Application fees (Licence),Guyana Geology and Mines Commission (GGMC),1992880.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Royalties (1415E1),Mining,Royalties,Guyana Geology and Mines Commission (GGMC),38430990.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Royalties (1415E1),Mining,Royalties (MoF),Ministry of Finance (MoF),4277842911.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Royalties (1415E1),Mining,Royalties-,Guyana Gold Board (GGB),4441580638.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
Taxes on property (113E),Not applicable,Company Property Tax,Guyana Revenue Authority (GRA),421547440.0,GYD,Guyana,GUY,2018,1/1/2018,12/31/2018
