GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Agriculture/Forestry,Block Inspection Fees,Liberia Revenue Authority -LRA,2100.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Administrative fees for government services (1422E),All sectors,Aircraft Inspection Fees,Liberia Civil Aviation Authority -LCAA,8680.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Administrative fees for government services (1422E),All sectors,Other administrative fees,Liberia Revenue Authority -LRA,534823.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Bonuses (1415E2),All sectors,Signature Fees/Signing Bonus,Liberia Revenue Authority -LRA,900.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,Customs User Fees,Liberia Revenue Authority -LRA,1725097.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,ECOWAS Trade Levy (ETL),Liberia Revenue Authority -LRA,903247.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,Import Levy,Liberia Revenue Authority -LRA,1291039.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,Research Vessels Tonnage Tax,Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,Supply Vessel Annual Tonnage Tax,Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Delivered/paid to state-owned enterprise(s) (1415E32),All sectors,Fees & charges paid to NPA,National Port Authority -NPA,1987696.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Annual Training,National Oil Company of Liberia -NOCAL,125000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,NOCAL / GOL Production shares under PSA,National Oil Company of Liberia -NOCAL,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Social Welfare Contribution,National Oil Company of Liberia -NOCAL,150000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Emission and pollution taxes (114522E),Oil & Gas,Hydrocarbon Development Fund,National Oil Company of Liberia -NOCAL,100000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
"Fines, penalties, and forfeits (143E)",All sectors,GOL Fines,Liberia Revenue Authority -LRA,59223.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
From state-owned enterprises (1412E1),All sectors,Dividends to GOL,Liberia Revenue Authority -LRA,31387.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
