GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Droit de conformité (DGM),Direction Générale des Mines,674218725.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Mining,Frais d’administration minière,Bureau du Cadastre Minier de Madagascar,13210950985.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Oil & Gas,Frais de formation payé à l'OMNIS,Office des Mines Nationales et des Industries Stratégiques,1001098885.63,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Oil & Gas,Frais d’administration payé à l'OMNIS,Office des Mines Nationales et des Industries Stratégiques,1302787406.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Droit de timbres douaniers,Direction Générale des Douanes,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Droit d’inspection,Direction Générale des Douanes,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Droits d’enregistrement bail,Direction Générale des Impôts,31675404.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Droits d’enregistrement des actes,Direction Générale des Impôts,98274293.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Frais d'instruction (BCMM),Bureau du Cadastre Minier de Madagascar,48331620.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Frais de mise à disposition de permis (Centre Immatriculation),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Frais de test (ARTEC),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Frais d’évaluation et de suivi de l’impact environnemental,Office Nationale pour l'Environnement,282766719.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Taxe additionnelle aux droits d’enregistrement,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Taxe de régulation (ARTEC),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Taxes administratives : Carte d’identité étrangère (Tresor Public),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Taxes administratives : Droit de visa,Direction Générale des Impôts,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Taxes administratives : Permis de conduire (Centre Immatriculation),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Taxes administratives : Permis de travail (Ministère de l'Intérieure),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Administrative fees for government services (1422E),Other,Taxes administratives : Vignette automobile,Direction Générale des Impôts,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Bonuses (1415E2),Other,Primes de découverte payée à l'Etat (Tresor Public),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Bonuses (1415E2),Other,Primes de production payée à l'Etat (Tresor Public),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Bonuses (1415E2),Other,Primes de signature payée à l'Etat (Tresor Public),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Dépenses sociales Programme d'investissement public (PIP),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Compulsory transfers to government (infrastructure and other) (1415E4),Other,Dépenses sociales en nature (Evaluation expert ou sur justificatifs),Autres,2960543200.54,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Compulsory transfers to government (infrastructure and other) (1415E4),Other,Dépenses sociales en numéraire,Autres,4349863000.03,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Customs and other import duties (1151E),Other,Droit de port sur les marchandises importées,Direction Générale des Douanes,113100274.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Customs and other import duties (1151E),Other,Droits de douanes et Taxes sur les produits pétroliers (TPP),Direction Générale des Douanes,15573905932.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Delivered/paid directly to government (1415E31),Oil & Gas,Revenus sur la part de production de l'Entreprise d'Etat,Office des Mines Nationales et des Industries Stratégiques,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Delivered/paid directly to government (1415E31),Oil & Gas,Revenus sur la part de production du gouvernement,Office des Mines Nationales et des Industries Stratégiques,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Excise taxes (1142E),Other,Droit d’accises,Direction Générale des Douanes,82060104.5,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
"Fines, penalties, and forfeits (143E)",Other,Pénalités,Direction Générale des Impôts,6219255.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
From government participation (equity) (1412E2),Other,Dividendes payés à l'Etat (Tresor Public),Autres,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA ayant fait l'objet d'un refus de remboursement,Direction Générale des Impôts,16689379219.32,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA intermittente,Direction Générale des Impôts,1810238293.23,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA nette (Montant réellement payée à l'Administration Fiscale - le cas échéant),Direction Générale des Impôts,9130811080.21,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA non remboursée,Direction Générale des Impôts,17467166494.42,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,TVA à l’importation et TVA sur les produits pétroliers (TVP),Direction Générale des Douanes,14244324734.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other,Taxe sur la publicité,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Licence fees (114521E),Mining,Taxe de sous-traitance,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Licence fees (114521E),Oil & Gas,Montant de paiement effectuer au titre de la garantie bancaire valide au 31.12.2017 pour les engagements minimaux de travaux et de budget,Office des Mines Nationales et des Industries Stratégiques,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Licence fees (114521E),Oil & Gas,Participation auprès des CTDs (cf : Article 45 - code pétrolier) 1/2.500ème du montant global des engagements minimum,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Licence fees (114521E),Other,Centime additionnelle à la TP,Direction Générale des Impôts,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Licence fees (114521E),Other,Droits de voiries,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Licence fees (114521E),Other,Droits d’entrée et redevances pour usage infrastructures : Autres droits d'entrée et redevances pour usage infrastructures,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Licence fees (114521E),Other,Droits d’entrée et redevances pour usage infrastructures : Chemin de fer,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Licence fees (114521E),Other,Droits d’entrée et redevances pour usage infrastructures : Electricité,Collectivités territoriales décentralisées (Régions et/ou communes),,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
