GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Droits d’enregistrement,Commissariat des Impots (CI),55254851.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Administrative fees for government services (1422E),Mining,Frais d'etude et de visa des reglements interieurs,Direction Generale du Travail et de Lois Sociales (DGTLS),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Mining,Droit de Douane,Commissariat des Douanes et Droits Indirects (CDDI),1920170984.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Other,Penalites douanieres,Commissariat des Douanes et Droits Indirects (CDDI),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Other,Taxe sur la commercialisation des pierres et substances precieuses,Commissariat des Douanes et Droits Indirects (CDDI),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Emission and pollution taxes (114522E),Mining,Certificat de regularisation environnementale,Agence Nationale de Gestion de l'Environnement (ANGE),418275.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Emission and pollution taxes (114522E),Mining,Taxe d'enlevement d'ordure,Commissariat des Impots (CI),1176676.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Emission and pollution taxes (114522E),Mining,Taxe sur la delivrance de conformite environnementale,Agence Nationale de Gestion de l'Environnement (ANGE),8173375.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Excise taxes (1142E),Mining,Taxe sur la Fabrication et la commercialisation des boissons,Commissariat des Impots (CI),229200.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Avances sur dividendes,Direction Generale du Tresor et de la Comptabilite Publique (DGTCP),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Mining,Taxe professionnelle unique,Commissariat des Impots (CI),1046000.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
From government participation (equity) (1412E2),Mining,Dividendes,Direction Generale du Tresor et de la Comptabilite Publique (DGTCP),332700000.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Droits Fixes,Direction Generale des Mines et de la Geologie (DGMG),49500000.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Frais d’instruction du dossier,Direction Generale des Mines et de la Geologie (DGMG),18850000.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Redevances Superficiaires,Direction Generale des Mines et de la Geologie (DGMG),19025225.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Motor vehicle taxes (11451E),Mining,Taxes sur les vehicules,Commissariat des Impots (CI),20070000.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impot Minimum Forfaitaire,Commissariat des Impots (CI),123370211.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impot sur le Revenu des Capitaux Mobiliers,Commissariat des Impots (CI),1047238304.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impot sur les Societes,Commissariat des Impots (CI),581528084.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Redressements fiscaux et penalites payes au CI,Commissariat des Impots (CI),287418373.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Retenue sur prestation de services,Commissariat des Impots (CI),631908831.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Taxe professionnelle,Commissariat des Impots (CI),154802532.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Taxe sur la Valeur Ajoutee,Commissariat des Impots (CI),4722243716.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Other,Taxe sur la Valeur Ajoutee au cordon douanier,Commissariat des Douanes et Droits Indirects (CDDI),936212175.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Paiements directs aux communes et aux prefectures,Les delegations speciales des communes et prefectures de 15 localites minieres,,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Royalties (1415E1),Mining,Penalites aux infractions minieres,Direction Generale des Mines et de la Geologie (DGMG),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Royalties (1415E1),Mining,Redevances Minieres,Direction Generale des Mines et de la Geologie (DGMG),1872080516.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Royalties (1415E1),Other,Taxe de prelevement d’eau dans la nappe,Societe Togolaise des Eaux (TdE),82600.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Social security employer contributions (1212E),Other,Cotisations sociales,Caisse Nationale de Securite Sociale (CNSS),1561220340.0,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Taxes on payroll and workforce (112E),Mining,Frais de certification de la qualite de documents,Direction Generale du Travail et de Lois Sociales (DGTLS),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Taxes on payroll and workforce (112E),Other,Frais d'attestation de paiement de creance de salaire,Direction Generale du Travail et de Lois Sociales (DGTLS),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Taxes on payroll and workforce (112E),Other,Taxe de visa des contrats d'apprentissage,Direction Generale du Travail et de Lois Sociales (DGTLS),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
Taxes on payroll and workforce (112E),Other,Taxes d'autorisation d'embauche,Direction Generale du Travail et de Lois Sociales (DGTLS),,XOF,Togo,TGO,2017,2017-01-01,2017-12-31
