GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,Annual Mining Licence Fee,Ministry on Energy and Energy Industries,6223.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Administrative fees for government services (1422E),Mining,Application for Renewal of Licence,Ministry on Energy and Energy Industries,2000.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Administrative fees for government services (1422E),Oil & Gas,Administration Fees,Ministry on Energy and Energy Industries,71139547.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Administrative fees for government services (1422E),Oil & Gas,Petroleum Impost,Ministry on Energy and Energy Industries,93434641.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Bonuses (1415E2),Oil & Gas,PSC signature bonuses,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Bonuses (1415E2),Oil & Gas,Transfer fees,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Abandonment Provision – Payments into Environmental Escrow Account,Ministry on Energy and Energy Industries,144089372.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,PSC Bidding fees,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,PSC’s Holding Fee,Ministry on Energy and Energy Industries,27082473.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Production Bonus,Ministry on Energy and Energy Industries,,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,R&D Fees,Ministry on Energy and Energy Industries,37229920.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Scholarships,Ministry on Energy and Energy Industries,13341660.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Technical assistance,Ministry on Energy and Energy Industries,20257100.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Training Fees,Ministry on Energy and Energy Industries,37402123.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Delivered/paid directly to government (1415E31),Oil & Gas,Production Sharing Contract (PSC) share of profits,Ministry on Energy and Energy Industries,1106912601.0,TTD,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
