GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Mining,CEC - Dividends,Zambia Consolidated Copper Mines – Investment Holdings Plc (ZCCM- IH),33978808.01,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Customs and other import duties (1151E),Mining,Import/Customs Duty,Zambian Revenue Authority (ZRA),518187657.5,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Emission and pollution taxes (114522E),Mining,Payments to EPF,Environmental Protection Fund,2276581.33,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Excise taxes (1142E),Mining,Excise Duty - Electrical Energy,Zambian Revenue Authority (ZRA),49047247.27,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
From state-owned enterprises (1412E1),Mining,Price participation fees,Zambia Consolidated Copper Mines – Investment Holdings Plc (ZCCM- IH),662195642.18,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Import VAT,Zambian Revenue Authority (ZRA),1884894275.0,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Turnover Tax,Zambian Revenue Authority (ZRA),321883.9,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,VAT,Zambian Revenue Authority (ZRA),3577727839.31,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Annual Business Fees,Local Councils,418176.54,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Application Fees,Ministry of Mines and Minerals Development,7500.0,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Manganese Levy,Local Councils,58550.0,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Licence fees (114521E),Mining,Presumptive Tax,Zambian Revenue Authority (ZRA),917.4,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Licence fees (114521E),Oil & Gas,ANNUAL LICENCE FEES,Ministry of Mines and Minerals Development,180000.0,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Company Income Tax (including Provisional Tax),Zambian Revenue Authority (ZRA),1243332903.24,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Other rent payments (1415E5),Mining,Area Charges,Ministry of Mines and Minerals Development,5016931.08,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Other rent payments (1415E5),Mining,Ground Rent,Ministry of Lands,497380.71,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Other rent payments (1415E5),Oil & Gas,AREA CHARGES,Ministry of Mines and Minerals Development,1168799.5,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Royalties (1415E1),Mining,Mineral Royalty,Zambian Revenue Authority (ZRA),2459526547.72,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Taxes on property (113E),Mining,Property Rates,Local Councils,100034638.26,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
Taxes on property (113E),Mining,Property Transfer Tax,Zambian Revenue Authority (ZRA),99955298.03,ZMW,Zambia,ZMB,2017,2017-01-01,2017-12-31
