Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
CERRO VANGUARDIA S.A.,Administración Federal de Ingresos Públicos (AFIP),Aportes a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CERRO VANGUARDIA S.A.,Administración Federal de Ingresos Públicos (AFIP),Contribuciones a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CERRO VANGUARDIA S.A.,Administración Federal de Ingresos Públicos (AFIP),Derechos de Exportación,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CERRO VANGUARDIA S.A.,Administración Federal de Ingresos Públicos (AFIP),Impuesto a las Ganancias Sociedades,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CERRO VANGUARDIA S.A.,Secretaría de Medio Ambiente,Tasa Ambiental Anual,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CHEVRON ARGENTINA S.R.L.,Administración Federal de Ingresos Públicos (AFIP),Aportes a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CHEVRON ARGENTINA S.R.L.,Administración Federal de Ingresos Públicos (AFIP),Contribuciones a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CHEVRON ARGENTINA S.R.L.,Administración Federal de Ingresos Públicos (AFIP),Impuesto a las Ganancias Sociedades,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CHEVRON ARGENTINA S.R.L.,Administración Federal de Ingresos Públicos (AFIP),Impuesto a los Créditos y Débitos Bancarios,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
CHEVRON ARGENTINA S.R.L.,Administración Federal de Ingresos Públicos (AFIP),Impuesto al Valor Agregado (IVA),No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
COMPAÑIA MINERA AGUILAR S.A.,Administración Federal de Ingresos Públicos (AFIP),Aportes a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
COMPAÑIA MINERA AGUILAR S.A.,Administración Federal de Ingresos Públicos (AFIP),Contribuciones a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
COMPAÑIA MINERA AGUILAR S.A.,Administración Federal de Ingresos Públicos (AFIP),Derechos de Exportación,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
COMPAÑIA MINERA AGUILAR S.A.,Administración Federal de Ingresos Públicos (AFIP),Impuesto a las Ganancias Sociedades,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
COMPAÑIA MINERA AGUILAR S.A.,Administración Federal de Ingresos Públicos (AFIP),Impuesto a los Créditos y Débitos Bancarios,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
ESTELAR RESOURCES LIMITED  S.A,Administración Federal de Ingresos Públicos (AFIP),Aportes a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
ESTELAR RESOURCES LIMITED  S.A,Administración Federal de Ingresos Públicos (AFIP),Contribuciones a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
ESTELAR RESOURCES LIMITED  S.A,Administración Federal de Ingresos Públicos (AFIP),Derechos de Exportación,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
ESTELAR RESOURCES LIMITED  S.A,Administración Federal de Ingresos Públicos (AFIP),Impuesto a los Créditos y Débitos Bancarios,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
ESTELAR RESOURCES LIMITED  S.A,Secretaría de Medio Ambiente,Tasa Ambiental Anual,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,Administración Federal de Ingresos Públicos (AFIP),Aportes a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,Administración Federal de Ingresos Públicos (AFIP),Contribuciones a la Seguridad Social,No,No,,ARS,,No,,,,Argentina,ARG,2018,2018-01-01,2018-12-31
