Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
BISSA GOLD  SA,Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale des Impôts (DGI),Acomptes Provisionnels sur IS (AP - IS),Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale des Impôts (DGI),Contribution des patentes,Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale des Impôts (DGI),Impôt sur le Revenu des Valeurs Mobilières (IRVM),Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale des Impôts (DGI),Impôt sur les Sociétés (IS),Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale des Impôts (DGI),Remboursements de crédit de TVA (remboursement effectif),Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale des Impôts (DGI),Taxe de bien de mainmorte (TBMM) / Taxe Foncière sur les Sociétés (TFS),Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale des Impôts (DGI),Taxe sur la Valeur Ajoutée (TVA),Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Dividendes,Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevances proportionnelles (Royalties),Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BISSA GOLD  SA,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe Superficiaire,Yes,Yes,Bissa Gold SA,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Agence nationale des évaluations environnementales (ANEVE),Frais de prestation BUNEE,Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Douanes (DGD),Droits de Douane et taxes assimilées,Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Acomptes Provisionnels sur IS (AP - IS),Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Contribution des patentes,Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Impôt sur le Revenu des Valeurs Mobilières (IRVM),Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Impôt sur les Revenus Fonciers (IRF),Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Impôt sur les Sociétés (IS),Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Remboursements de crédit de TVA (remboursement effectif),Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Taxe Patronale d'Apprentissage (TPA),Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Taxe de bien de mainmorte (TBMM) / Taxe Foncière sur les Sociétés (TFS),Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale des Impôts (DGI),Taxe sur la Valeur Ajoutée (TVA),Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Dividendes,Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
BURKINA MINING COMPANY SA (BMC),Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Pénalités,Yes,Yes,BMC,XOF,,No,,,,Burkina Faso,BFA,2018,2018-01-01,2018-12-31
