Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
ABOURACHID Mining,Direction Générale Technique des Mines (DGTM),Contribution à la formation du personnel du MPME,No,No,Non applicable,USD,494458428.97,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CGCOC Group,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance superficiaire,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CGCOC Group,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe d’extraction,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Direction Générale Technique de Pétrole (DGTP),Contribution à la formation du personnel du MPME,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Direction Générale Technique de Pétrole (DGTP),Frais de présentation du rapport annuel,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Autres paiements significatifs,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance statistique à l'exportation,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance superficiaire,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redressements fiscaux,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe d’extraction,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Société des Hydrocarbures du Tchad (SHT),Profit Oil collecté par la SHT,No,No,Non applicable,USD,,Yes,594505,Barrels,State's share (Profit Oil SHT- 10%) in the consortium CNPCI,Chad,TCD,2017,2017-01-01,2017-12-31
CNPC,Société des Hydrocarbures du Tchad (SHT),Redevance sur production collecté par la SHT,No,No,Non applicable,USD,,Yes,2440186,Barrels,State's share in the consortium EEPCI,Chad,TCD,2017,2017-01-01,2017-12-31
COTCO,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Dividendes versés à l'Etat,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
DTP,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe d’extraction,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
ETEP,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Taxe d’extraction,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Esso,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Impôt direct sur les bénéfices,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Esso,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance statistique à l'exportation,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Esso,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance statistique à l'importation,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Esso,Société des Hydrocarbures du Tchad (SHT),Profil Oil collectés par la SHT PCCL,No,No,Non applicable,USD,,Yes,3426205,Barrels,State's share (Profit Oil SHT PCCL- 25%) in the consortium EEPCI,Chad,TCD,2017,2017-01-01,2017-12-31
Esso,Société des Hydrocarbures du Tchad (SHT),Redevance sur production collecté par la SHT,No,No,Non applicable,USD,,Yes,1979707,Barrels,State's share (Redevance sur production) in the consortium EEPCI,Chad,TCD,2017,2017-01-01,2017-12-31
Glencore Energy UK Limited,Société des Hydrocarbures du Tchad (SHT),Vente du pétrole collectés par SHT,No,No,Non applicable,USD,,Yes,2804861,Barrels,"Sales (export) of the state's share collected by the SHT (royalties on production, tax Oil, profit Oil)",Chad,TCD,2017,2017-01-01,2017-12-31
Glencore Energy UK Limited,Société des Hydrocarbures du Tchad (SHT),Vente du pétrole collectés par SHT PCCL,No,No,Non applicable,USD,,Yes,2803349,Barrels,Sales (export) of the state's share collected by SHT PCCL (Profit Oil SHTPCCL),Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy CHAD,Direction Générale Technique de Pétrole (DGTP),Contribution à la formation du personnel du MPME,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy CHAD,Direction Générale Technique de Pétrole (DGTP),Frais de présentation du rapport annuel,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy CHAD,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),IS libératoire,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy CHAD,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance superficiaire,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy CHAD,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redressements fiscaux,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy DOH,Direction Générale Technique de Pétrole (DGTP),Contribution à la formation du personnel du MPME,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy DOH,Direction Générale Technique de Pétrole (DGTP),Frais de présentation du rapport annuel,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy DOH,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance superficiaire,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Griffiths Energy DOH,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redressements fiscaux,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
MASHAK PETROLEUM,Direction Générale Technique de Pétrole (DGTP),Contribution à la formation du personnel du MPME,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Manejem Company Ltd,Direction Générale Technique des Mines (DGTM),Appui Institutionnel,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Meige International,Direction Générale Technique de Pétrole (DGTP),Frais de présentation du rapport annuel,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
Meige International,Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Redevance superficiaire,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
OPIC,Direction Générale Technique de Pétrole (DGTP),Frais de présentation du rapport annuel,No,No,Non applicable,USD,,No,,,,Chad,TCD,2017,2017-01-01,2017-12-31
