Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Dangote Industries (Ethiopia) Plc,Ethiopian Revenues and Customs Authority (ERCA),Penalities,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Dangote Industries (Ethiopia) Plc,Ethiopian Revenues and Customs Authority (ERCA),Value Add Tax (VAT),No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Dangote Industries (Ethiopia) Plc,Ministry of Mines and Petroleum (MoMP),Mining royalties,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Derba Midroc Cement Plc,Ethiopian Revenues and Customs Authority (ERCA),Value Add Tax (VAT),No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Derba Midroc Cement Plc,Ministry of Mines and Petroleum (MoMP),Mining royalties,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Derba Midroc Cement Plc,Ministry of Mines and Petroleum (MoMP),Other material payments,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
East Cement Sc,Ministry of Mines and Petroleum (MoMP),Mining royalties,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
East Cement Sc,Ministry of Mines and Petroleum (MoMP),Other material payments,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
MIDROC Gold Mine Plc,Ethiopian Revenues and Customs Authority (ERCA),Dividend Tax,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
MIDROC Gold Mine Plc,Ethiopian Revenues and Customs Authority (ERCA),Income tax : Schedule C (Mining),No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
MIDROC Gold Mine Plc,Ethiopian Revenues and Customs Authority (ERCA),Other material payments,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
MIDROC Gold Mine Plc,Ethiopian Revenues and Customs Authority (ERCA),Value Add Tax (VAT),No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
MIDROC Gold Mine Plc,Ministry of Mines and Petroleum (MoMP),Licence Fees,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
MIDROC Gold Mine Plc,Ministry of Mines and Petroleum (MoMP),Mining royalties,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
MIDROC Gold Mine Plc,Ministry of Mines and Petroleum (MoMP),Other material payments,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Messebo Cement Factory Plc,Ethiopian Revenues and Customs Authority (ERCA),Dividend Tax,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Messebo Cement Factory Plc,Ethiopian Revenues and Customs Authority (ERCA),Income tax : Schedule C (Normal),No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Messebo Cement Factory Plc,Ethiopian Revenues and Customs Authority (ERCA),Value Add Tax (VAT),No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
National Cement Sc.,Ethiopian Revenues and Customs Authority (ERCA),Dividend Tax,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
National Cement Sc.,Ethiopian Revenues and Customs Authority (ERCA),Value Add Tax (VAT),No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Pioneer Cement Manufacturing Plc,Ethiopian Revenues and Customs Authority (ERCA),Capital gains,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Pioneer Cement Manufacturing Plc,Ethiopian Revenues and Customs Authority (ERCA),Dividend Tax,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Pioneer Cement Manufacturing Plc,Ethiopian Revenues and Customs Authority (ERCA),Penalities,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
Pioneer Cement Manufacturing Plc,Ministry of Mines and Petroleum (MoMP),Mining royalties,No,No,,ETB,,,,,,Ethiopia,ETH,2017,2016-07-08,2017-07-07
