Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),ANNUAL VEHICLE REGISTRATION,Yes,No,FMC A,USD,4349863000.03,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Admin. Penalties,Yes,No,FMC A,USD,1466557207.74,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Admin.Interest,Yes,No,FMC A,USD,338994803.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),BIN - Other fees,Yes,No,FMC A,USD,1203623602.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),BIN - Resident permit,Yes,No,FMC A,USD,1886597360.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Business registration fees,Yes,No,FMC A,USD,24700000.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Company Income Tax,Yes,No,FMC A,USD,32300000.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Fees and charges (Ministry of Agriculture),Yes,No,FMC A,USD,100000000.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Fees and charges (Ministry of Labor),Yes,No,FMC A,USD,125000000.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Log and wood product export fee,Yes,No,FMC A,USD,3743527730.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Other vehicule fees,Yes,No,FMC A,USD,19480.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Stumpage fees,Yes,No,FMC A,USD,600659.75,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,Liberia Revenue Authority (LRA),Timber Export license fee (FDA regulation 107-7 section 42c) (Forestry - FMCs),Yes,No,FMC A,USD,216959.13,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ALPHA LOGGING & WOOD PROCESSING INC,National Port Authority (NPA),Fees & charges paid to NPA,Yes,No,FMC A,USD,885045.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),ANNUAL VEHICLE REGISTRATION,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),Admin. Penalties,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,2849497.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),Admin.Interest,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,78166.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),BIN - Other fees,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,11203.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),BIN - Resident permit,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,25804413.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),Business registration fees,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,29777696.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),Company Income Tax,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,232239717.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),Customs penalties and fines,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,267999263.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),Customs user fees,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,4640306.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),ECOWAS trade levy,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,190742815.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),Fees and charges (Ministry of Labor),Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,1118599109.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),GST on imported goods,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,21651151.0,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
ARCELOR MITTAL,Liberia Revenue Authority (LRA),Import duties,Yes,Yes,Mount Tokadeh deposit at Yekepa Nimba County,USD,,,,,,Liberia,LBR,2019,7/1/2018,6/30/2019
