Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Customs (BOC),Customs duties,No,Yes,Dinagat Chromite/Nickel Project,PHP,,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Customs (BOC),Excise tax on imported goods,No,Yes,Dinagat Chromite/Nickel Project,PHP,932159.0,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Customs (BOC),VAT on imported materials and equipment,No,Yes,Dinagat Chromite/Nickel Project,PHP,549900.0,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Internal Revenue (BIR),Corporate income tax,No,Yes,Dinagat Chromite/Nickel Project,PHP,37750.0,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Internal Revenue (BIR),Excise tax on minerals,No,Yes,Dinagat Chromite/Nickel Project,PHP,,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Internal Revenue (BIR),Final Withholding tax - Foreign shareholder dividends,No,Yes,Dinagat Chromite/Nickel Project,PHP,,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Internal Revenue (BIR),Final Withholding tax - Improperly accumulated retained earnings tax (IAET),No,Yes,Dinagat Chromite/Nickel Project,PHP,33.0,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Internal Revenue (BIR),Final Withholding tax - Others,No,Yes,Dinagat Chromite/Nickel Project,PHP,,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Internal Revenue (BIR),Final Withholding tax - Profit remittance to principal,No,Yes,Dinagat Chromite/Nickel Project,PHP,195141.0,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Internal Revenue (BIR),Final Withholding tax - Royalties to claim owners,No,Yes,Dinagat Chromite/Nickel Project,PHP,,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Local Government and Finance (BLGF),Community tax,No,Yes,Dinagat Chromite/Nickel Project,PHP,674875.0,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Local Government and Finance (BLGF),Local business tax,No,Yes,Dinagat Chromite/Nickel Project,PHP,,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
AAM-Phil Natural Resources Exploration and Development Corporation,Bureau of Local Government and Finance (BLGF),Mayor's permit,No,Yes,Dinagat Chromite/Nickel Project,PHP,37223486.0,No,,,,Philippines,PHL,2018,2018-01-01,2018-12-31
