Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
AFRIG SA,Direction Générale des Douanes (DGD),"Droits de douane, TVA douanière et taxes assimilées",No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
AFRIG SA,Direction Générale des Impôts et des Domaines (DGID),Impôt sur le revenu des valeurs mobilières,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
AFRIG SA,Direction Générale des Impôts et des Domaines (DGID),Impôt sur les sociétés,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
AFRIG SA,Direction Générale des Impôts et des Domaines (DGID),Redressements fiscaux,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
AFRIG SA,Direction des Mines et de la Géologie (DMG),Droits d'entrée/fixes,Yes,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
AFRIG SA,Direction des Mines et de la Géologie (DMG),Redevance superficiaire,Yes,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Agem Sénégal Exploration SUARL,Direction Générale des Douanes (DGD),"Droits de douane, TVA douanière et taxes assimilées",No,No,,XOF,2550000000.0,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Agem Sénégal Exploration SUARL,"Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",Taxes d'abattage,Yes,No,,XOF,850000000.0,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Agem Sénégal Exploration SUARL,Direction des Mines et de la Géologie (DMG),Appui institutionnel,Yes,No,,XOF,31387.0,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Agem Sénégal Exploration SUARL,Direction des Mines et de la Géologie (DMG),Droits d'entrée/fixes,Yes,No,,XOF,205288440.0,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Agem Sénégal Exploration SUARL,Direction des Mines et de la Géologie (DMG),Redevance superficiaire,Yes,No,,XOF,64790925000.0,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
BP Senegal Investments Limited,Direction Générale des Douanes (DGD),"Droits de douane, TVA douanière et taxes assimilées",No,Yes,GTA,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
BP Senegal Investments Limited,Société des Pétroles du Sénégal (PETROSEN),Appui à la formation et Appui à la promotion de la recherche et de l'exploitation,Yes,Yes,GTA,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
BP Senegal Investments Limited,Société des Pétroles du Sénégal (PETROSEN),Loyer superficiel,Yes,Yes,GTA,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Capricorn Senegal Limited (succursale),Direction Générale des Douanes (DGD),"Droits de douane, TVA douanière et taxes assimilées",No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Capricorn Senegal Limited (succursale),Société des Pétroles du Sénégal (PETROSEN),Appui à la formation et Appui à la promotion de la recherche et de l'exploitation,Yes,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Capricorn Senegal Limited (succursale),Société des Pétroles du Sénégal (PETROSEN),Loyer superficiel,Yes,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Ciments du Sahel - CDS,Direction Générale des Douanes (DGD),"Droits de douane, TVA douanière et taxes assimilées",No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Ciments du Sahel - CDS,Direction Générale des Impôts et des Domaines (DGID),Impôt sur le revenu des valeurs mobilières,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Ciments du Sahel - CDS,Direction Générale des Impôts et des Domaines (DGID),Taxe spéciale sur le ciment,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Ciments du Sahel - CDS,Direction Générale des Impôts et des Domaines (DGID),Taxe sur la valeur ajoutée reversée,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Ciments du Sahel - CDS,Direction de l'Environnement et des Etablissements Classés (DEEC),Taxe superficiaire,Yes,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Ciments du Sahel - CDS,Direction des Mines et de la Géologie (DMG),Redevance minière (y compris la taxe à l’extraction),Yes,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,Direction Générale de la Comptabilité Publique et du Trésor (DGCPT),Contribution économique locale Valeur Ajoutée (CEL-VA),No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,Direction Générale des Douanes (DGD),"Droits de douane, TVA douanière et taxes assimilées",No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,Direction Générale des Impôts et des Domaines (DGID),Contribution spéciale sur les produits des mines et des carrières (CSMC),No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,Direction Générale des Impôts et des Domaines (DGID),Impôt sur le revenu des valeurs mobilières,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,Direction Générale des Impôts et des Domaines (DGID),Impôt sur les sociétés,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,Direction Générale des Impôts et des Domaines (DGID),Taxe sur la valeur ajoutée reversée,No,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,Direction de l'Environnement et des Etablissements Classés (DEEC),Taxe superficiaire,Yes,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
Compagnie Générale d'Exploitation de Carrière - COGECA,Direction des Mines et de la Géologie (DMG),Redevance minière (y compris la taxe à l’extraction),Yes,No,,XOF,,No,Not applicable,,,Senegal,SEN,2018,2018-01-01,2018-12-31
