Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Amoco Trinidad Gas BVTrinidad Branch,Ministry of Finance - Inland Revenue Division,Green Fund Levy,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,83746961.0,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,Administration Fees,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,5848488900.0,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,Annual License acreage payments,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,100034638.26,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,PSC’s Holding Fee,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,29541437.58,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,R&D Fees,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,3709333.23,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,Technical assistance,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,241900.0,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
Amoco Trinidad Gas BVTrinidad Branch,Ministry on Energy and Energy Industries,Training Fees,Yes,Yes,Amoco Trinidad Gas BVTrinidad Branch,TTD,87352.0,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BG Central Block Limited,Ministry of Finance - Inland Revenue Division,Green Fund Levy,Yes,Yes,BG Central Block Limited,TTD,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BG Central Block Limited,Ministry of Finance - Inland Revenue Division,Interest,Yes,Yes,BG Central Block Limited,TTD,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
BG Central Block Limited,Ministry on Energy and Energy Industries,Abandonment Provision – Payments into Environmental Escrow Account,Yes,Yes,BG Central Block Limited,TTD,,,,,,Trinidad and Tobago,TTO,2017,2016-10-01,2017-09-30
