Full company name,Payments to Governments Report_x,Country,Year,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report_y,ISO Code,Start Date,End Date
ABAAN RAYAN LIMITED,10256884.0,Afghanistan,2018,Private,9004655032,Other,Coal,,Not available ,10256884,AFG,2017-12-21,2018-12-22
ABBAS GHAZNAVI LIMITED,36244514.0,Afghanistan,2018,,,,,,,,,,
ABDUL FATAH,139422.0,Afghanistan,2018,Private,9001846329,Other,Construction stone,Not applicable ,Not available ,139422,AFG,2017-12-21,2018-12-24
ABDUL RAOUF,50925.0,Afghanistan,2018,Private,9002825819,Other,Construction stone,Not applicable ,Not available ,50925,AFG,2017-12-21,2018-12-24
ABDUL WAHAB ARIOBWAL LIMITED,458871.0,Afghanistan,2018,Private,9004775335,Other,Talc,,Not available ,458871,AFG,2017-12-21,2018-12-24
ABID HASSAN ZADRAN LIMITED,1368092.0,Afghanistan,2018,,,,,,,,,,
AFGHAN GAS ENTERPRISE,59522037.0,Afghanistan,2018,Private,Not available,Other,Natural Gas,Not applicable ,Not available ,,AFG,2017-12-21,2018-12-24
AFGHAN SHININK MINES EXTRACTION AND PROCESSING COMPANY,163838.0,Afghanistan,2018,,,,,,,,,,
AFGHAN TALC LIMITED JOINT VENTURE,874463.0,Afghanistan,2018,,,,,,,,,,
AHMAD RAFI ORAAZ LIMITED,1124164.0,Afghanistan,2018,Private,9003746923,Other,Coal,,,1124164,AFG,2017-12-21,2018-12-24
ALI AHMAD SHINWARI LIMITED,539123.0,Afghanistan,2018,Private,9005713178,Other,Coal,,,539123,AFG,2017-12-21,2018-12-24
ALI MURADI AND IMRAN BAKHTIARI LIMITED,7121948.0,Afghanistan,2018,Private,9002719681,Other,Coal,,,7121948,AFG,2017-12-21,2018-12-24
AMEEN AZIM LIMITED,1994310.0,Afghanistan,2018,Private,1001396017,Other,Coal,Not applicable ,Not available ,1994310,AFG,2017-12-21,2018-12-24
ARIF SHAHAB LIMITED,1241150.0,Afghanistan,2018,,,,,,,,,,
