Full name of agency,Total reported,Country,Year
MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),1459912284.0,Afghanistan,2018
MINISTRY OF FINANCE (REVENUE DEPARTMENT),1089699173.29,Afghanistan,2018
MINISTRY OF INDUSTRY AND COMMERCE,0.0,Afghanistan,2018
MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),2285251490.52,Afghanistan,2018
NATIONAL ENVIRONMENTAL PROTECTION AGENCY,47000.0,Afghanistan,2018
MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),1367722942.0,Afghanistan,2019
MINISTRY OF FINANCE (REVENUE DEPARTMENT),1441453501.0,Afghanistan,2019
MINISTRY OF INDUSTRY AND COMMERCE,0.0,Afghanistan,2019
MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),1478934310.56,Afghanistan,2019
NATIONAL ENVIRONMENTAL PROTECTION AGENCY,34000.0,Afghanistan,2019
ALBANIAN CUSTOMS ADMINISTRATE,4716289388.0,Albania,2017
ALBPETROL,2318883540.32,Albania,2017
ELECTRIC ENERGY DISTRIBUTION SYSTEM OPERATOR (OSHEE),0.0,Albania,2017
ENERGY REGULATORY AUTHORITY (ERE),24700000.0,Albania,2017
GENERAL DIRECTORATE OF TAXES,27440036308.0,Albania,2017
MUNICIPALITY OF BULQIZË,5600000.0,Albania,2017
MUNICIPALITY OF KRUJË,107357802.0,Albania,2017
MUNICIPALITY OF LUSHNJË,3500000.0,Albania,2017
MUNICIPALITY OF PATOS,36313288.0,Albania,2017
MUNICIPALITY OF RROSKOVEC,146868292.0,Albania,2017
NATIONAL AGENCY OF NATURAL RESOUCES (AKBN),11904735.77,Albania,2017
ALBANIAN CUSTOMS ADMINISTRATE,4572240832.0,Albania,2018
ALBPETROL,2030861900.0,Albania,2018
ELECTRIC ENERGY DISTRIBUTION SYSTEM OPERATOR (OSHEE),0.0,Albania,2018
ENERGY REGULATORY AUTHORITY (ERE),32300000.0,Albania,2018
GENERAL DIRECTORATE OF TAXES,30704450150.0,Albania,2018
MUNICIPALITY OF BULQIZË,9360000.0,Albania,2018
MUNICIPALITY OF KRUJË,94160577.0,Albania,2018
MUNICIPALITY OF LUSHNJË,3579840.0,Albania,2018
MUNICIPALITY OF PATOS,39139780.0,Albania,2018
MUNICIPALITY OF RROSKOVEC,86868292.0,Albania,2018
NATIONAL AGENCY OF NATURAL RESOUCES (AKBN),162015000.0,Albania,2018
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),87774983735.8,Argentina,2018
"SECRETARÍA DE CONTROL Y MONITOREO AMBIENTAL, MINISTERIO DE AMBIENTE Y DESARROLLO SUSTENTABLE",1103957.42,Argentina,2018
"SECRETARÍA DE ENERGÍA (SEN), MINISTERIO DE ECONOMÍA",3425335494.0,Argentina,2018
"SECRETARÍA DE MINERÍA (SEMIN), MINISTERIO DE DESARROLLO PRODUCTIVO",0.0,Argentina,2018
MINISTRY OF ENVIRONMENT,309029953.6,Armenia,2018
MINISTRY OF TERRITORIAL ADMINISTRATION AND DEVELOPMENT,1171866939.0,Armenia,2018
TAX REVENUE AUTHORITY,78263884227.0,Armenia,2018
MINISTRY OF ENVIRONMENT,342032486.1,Armenia,2019
MINISTRY OF TERRITORIAL ADMINISTRATION AND DEVELOPMENT,1019400879.0,Armenia,2019
TAX REVENUE AUTHORITY,84654217529.0,Armenia,2019
BUREAU DES MINES ET DE LA GÉOLOGIE DU BURKINA (BUMIGEB),26481384.0,Burkina Faso,2017
BUREAU NATIONAL DES EVALUATIONS ENVIRONNEMENTALES (BUNEE),31122488.0,Burkina Faso,2017
DIRECTION GÉNÉRALE DE LA DOUANE (DGD),50858288082.0,Burkina Faso,2017
DIRECTION GÉNÉRALE DES IMPÔTS (DGI),41764716178.0,Burkina Faso,2017
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),56387000541.0,Burkina Faso,2017
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),104049534.0,Burkina Faso,2018
AGENCE NATIONALE D’ENCADREMENT DES EXPLOITATIONS MINIÈRES ARTISANALES ET SEMI-MÉCANISÉES (ANEEMAS),45917878.0,Burkina Faso,2018
AUTRES BÉNÉFICIAIRES (PAIEMENTS SOCIAUX),2066615353.0,Burkina Faso,2018
BUREAU DES MINES ET DE LA GÉOLOGIE DU BURKINA (BUMIGEB),9132004.0,Burkina Faso,2018
DIRECTION GÉNÉRALE DES DOUANES (DGD),58304215265.0,Burkina Faso,2018
DIRECTION GÉNÉRALE DES IMPÔTS (DGI),-13580034737.0,Burkina Faso,2018
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),70480197702.0,Burkina Faso,2018
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE) (PAIEMENTS ENVIRONNEMENTAUX),4422649722.0,Burkina Faso,2018
OFFICE NATIONAL DE SÉCURISATION DES SITES MINIERS (ONASSIM),304500000.0,Burkina Faso,2018
SOCIÉTÉ D'EXPLOITATION DES PHOSPHATES DU BURKINA (SEPB),8370000.0,Burkina Faso,2018
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),24360362.0,Burkina Faso,2019
AGENCE NATIONALE D’ENCADREMENT DES EXPLOITATIONS MINIÈRES ARTISANALES ET SEMI-MÉCANISÉES (ANEEMAS),330797354.0,Burkina Faso,2019
AUTRES BÉNÉFICIAIRES (PAIEMENTS SOCIAUX),1144562241.0,Burkina Faso,2019
BUREAU DES MINES ET DE LA GÉOLOGIE DU BURKINA (BUMIGEB),12960835.0,Burkina Faso,2019
