Full company name,Payments to Governments Report,Country,Year
ABAAN RAYAN LIMITED,10256884.0,Afghanistan,2018
ABAS GHAZNAVI LIMITED,36244514.0,Afghanistan,2018
ABDUL FATAH,139422.0,Afghanistan,2018
ABDUL RAOUF,50925.0,Afghanistan,2018
ABDUL WAHAB ARIOBWAL LIMITED,458871.0,Afghanistan,2018
ABED HASAN ZADRAN LIMITED,0.0,Afghanistan,2018
ABID HASSAN ZADRAN LIMITED,1368092.0,Afghanistan,2018
AFGHAN GAS ENTERPRISE,59522037.0,Afghanistan,2018
"AFGHAN SHIININK, MINES EXTRACTION AND PROCESSING",52721.0,Afghanistan,2018
AFGHAN SHININK MINES EXTRACTION AND PROCESSING,0.0,Afghanistan,2018
"AFGHAN SHININK, MINES EXTRACTION AND PROCESSING",111117.0,Afghanistan,2018
AFGHAN TALC LIMITED,366791.0,Afghanistan,2018
AFGHAN TALC LIMITED JOINT VENTURE,507672.0,Afghanistan,2018
AHMAD RAFI ORAAZ LIMITED,1124164.0,Afghanistan,2018
ALI AHMAD SHINWARI LIMITED,539123.0,Afghanistan,2018
ALI MURADI AND IMRAN BAKHTIARI LIMITED,7121948.0,Afghanistan,2018
AMANIA MINING COMPANY,10612599.0,Afghanistan,2018
AMEEN AZIM LIMITED,1994310.0,Afghanistan,2018
AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,12943037.0,Afghanistan,2018
AMIN KARIMZAI CAMPANY,365746.0,Afghanistan,2018
ARIF SHAHAAB LIMITED,1241150.0,Afghanistan,2018
ARIFI BROTHERS LIMITED,16994.0,Afghanistan,2018
AZIZ ULLAH,15498.0,Afghanistan,2018
BAKHTAR AFGHAN MARBLE COMPANY,210111.0,Afghanistan,2018
BILAL MUSAZAI COMPANY LIMITED,12467181.0,Afghanistan,2018
CNPCI WATAN OIL AND GAS AFGHANISTAN LIMITED,21003890.0,Afghanistan,2018
CORE DRILLERS,1019257.0,Afghanistan,2018
DAWA JAN TAREEN LIMITED,32576054.0,Afghanistan,2018
DAWLATZAI BALKHYAAN LIMITED,3388151.0,Afghanistan,2018
DOST MOHAMMAD SHERZAD LIMITED,352622.0,Afghanistan,2018
DRAGON OIL SANDUQLI LIMITED,66741767.0,Afghanistan,2018
EHSAN AZIZ CONSTRUCTION COMPANY,28820055.0,Afghanistan,2018
FARHAN ZADRAN LIMITED,47280887.0,Afghanistan,2018
FARSHAD MOHIDI LIMITED,39297631.0,Afghanistan,2018
GHAZANFAR GROUP,360148.0,Afghanistan,2018
GHULAM SARWAR STANIKZAI LIMITED,235136291.0,Afghanistan,2018
HABIB SHAHAB TALC AND MARBLE EXPLOITATION AND PROCESS COMPANY,427491.0,Afghanistan,2018
HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,6624456.0,Afghanistan,2018
HAIDAR WARIS GHAZNAVI LIMITED,28748820.0,Afghanistan,2018
HAJI MOHAMMAD ESHAN,91050.0,Afghanistan,2018
HAJI NABI JAN LIMITED,12979915.0,Afghanistan,2018
HAKEEM TAREEN LIMITED,104078049.0,Afghanistan,2018
HAKIM JAN,156485.0,Afghanistan,2018
HAMRAAZ LIMITED,60038.0,Afghanistan,2018
HASHIMY GROUP,22814244.0,Afghanistan,2018
HASK ROKHAAN LIMITED,8746.0,Afghanistan,2018
HASSAN AQA,138299.0,Afghanistan,2018
HAYAT KHAN,114902.0,Afghanistan,2018
HIKMAT MOHAMMAD SHERZAD LIMITED,53147665.0,Afghanistan,2018
HILAL SABA TALC MINES EXTRACTION & PROCESSING LTD,728746.0,Afghanistan,2018
ITTIFAQ AZRAHWAL LIMITED,2258228.0,Afghanistan,2018
JABUL SIRAJ CONSORTIUM,378109.0,Afghanistan,2018
JAVED LIAQAT ALI LIMITED,39393630.0,Afghanistan,2018
KAMRAN BILAL TALC MINES EXTRACTION AND PROCESSING COMPANY,152574.0,Afghanistan,2018
KANDAHAR AKHEER MINERALS,602182.0,Afghanistan,2018
KHALID ANWAR NAUMAN SHERZAD LIMITED,16281467.0,Afghanistan,2018
KHOSHAK BROTHERS CO,89773684.0,Afghanistan,2018
MADAN KARAN,9290595.0,Afghanistan,2018
MADINA HUSSAINKHAIL LIMITED,763596.0,Afghanistan,2018
MATI SAMI LIMITED,1324284.0,Afghanistan,2018
MCC CONSORTIUM,14027424.0,Afghanistan,2018
METAL MINING UK,2647538.0,Afghanistan,2018
MIR AFZALYAR LIMITED,2834820.0,Afghanistan,2018
MISAQ-E SHARQ COMPANY,47263121.0,Afghanistan,2018
MOHAMMAD EDRIS,98609.0,Afghanistan,2018
MOHAMMAD OMAR NOORZAI LIMITED,118680403.0,Afghanistan,2018
MOHIB NAJIB LIMITED,12163.0,Afghanistan,2018
MOHIBULLAH SAFI BROTHERS LIMITED,518779.0,Afghanistan,2018
NABI AFGHAN COMPANY,365746.0,Afghanistan,2018
NABI AFGHAN MINES EXTRACTION AND PROCESSING COMPANY,2694609.0,Afghanistan,2018
NADEEM AHMAD ARABZAI LIMITED,8221610.0,Afghanistan,2018
NAJIB FAHIM LIMITED,503965.0,Afghanistan,2018
"NANGARHAR AFGHAN TALC, MINES EXTRACTION AND PROESSING COMPANY",1033720.0,Afghanistan,2018
NASIB USMAAN LIMITED,69022756.0,Afghanistan,2018
NATURAL STONE COMPANY,873383.0,Afghanistan,2018
NEK HAKIMZADA LIMITED,55552900.0,Afghanistan,2018
NEMLA MINERAL EXTRACTION AND PROCESSING COMPANY,81150.0,Afghanistan,2018
NEW ABASEEN LIMITED,393122.0,Afghanistan,2018
NEW RAHMAT INSAAF TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,1456229.0,Afghanistan,2018
NOOR ABAS KHOSHIWAL LIMITED,19873630.0,Afghanistan,2018
NORTH COAL ENTERPRISE (NCE),2831996365.0,Afghanistan,2018
OMAR FAROOQ TALC PROCESSING COMPANY,2022882.0,Afghanistan,2018
PAIGHAM IRSHAAD LIMITED,9810230.0,Afghanistan,2018
PAYAM RAH FARDA LIMITED,1839111.0,Afghanistan,2018
QUDRAT SAMIM LIMITED,19502616.0,Afghanistan,2018
RAHIMI NEKKA BROTHERS LIMITED,890045.0,Afghanistan,2018
RIZWAN NIAZI LIMITED,2712050.0,Afghanistan,2018
SAHIL BILAL LIMITED,6578834.0,Afghanistan,2018
SAID LAIQ HUSSAIN,56925.0,Afghanistan,2018
SAJJAD HASHIMI LIMITED,38602819.0,Afghanistan,2018
SALMAN SHERZAD TALC COMPANY,323456.0,Afghanistan,2018
SANG SIYA AFGHANISTAN LIMITED,162095060.0,Afghanistan,2018
SARDAR MUSTAFA LIMITED COMPANY,371205.0,Afghanistan,2018
SAYAM BEHRAM LIMITED,26323384.0,Afghanistan,2018
SAYED HASHIM MOSAVI,8156508.0,Afghanistan,2018
SEFAT ULLAH,50005.0,Afghanistan,2018
SHAHAB MAHBOOB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,64325.0,Afghanistan,2018
SHAHAR ROYA LIMITED,668149.0,Afghanistan,2018
SHAIKH SAKHI KAMRAN LIMITED,159928.0,Afghanistan,2018
SHAMS UDDIN,33680.0,Afghanistan,2018
SHAMSHAD TOOFAN LIMITED,8719006.0,Afghanistan,2018
STANDARD TALC EXTRACTION AND PROCESSING COMPANY,2509326.0,Afghanistan,2018
TALC AND NAGEEN LIMITED,2634.0,Afghanistan,2018
TARAAJ MINES MINERAL EXTRACTION AND PROCESSING COMPANY,90857.0,Afghanistan,2018
TARIQ SHERZAD MARBLE EXTRACTION,4245634.0,Afghanistan,2018
TP AFGHANISTAN LIMITED,59750196.0,Afghanistan,2018
TURAB KHAN,42809.0,Afghanistan,2018
UMEED BAKHTIAR LIMITED,118770.0,Afghanistan,2018
USMAN IZZAT LIMITED,50160489.0,Afghanistan,2018
VESTA CONSTRUCTION & CONSTRUCTION MATERIALS CO,217878.0,Afghanistan,2018
WESTCO INTERNATIONAL,1822519.0,Afghanistan,2018
YASIR MOHMAND LIMITED,11956188.0,Afghanistan,2018
YUSUFI QAZIZADA SOAP AND TOMATO KETCHUP PRODUCTION COMPANY,155343.0,Afghanistan,2018
ZABIH ULLAH,31436.0,Afghanistan,2018
ZAKIR FAREED LIMITED,79167047.0,Afghanistan,2018
ZAR JAN,925810.0,Afghanistan,2018
"احمد علی ولد خداداد, احمدعلی",15722.0,Afghanistan,2018
"احمد علی ولد خداداد, احمدعلی AHAMD ALI SON OF KHODAIDAD",0.0,Afghanistan,2018
استخراج 10000مترمکعب ریگ وجغل توسط شرکت ساختمانی احداث EHDAS CONSTRUCTION AND GRAVEL COMPANY,1000.0,Afghanistan,2018
استخراج جغل خاکدار صالح ایجاز SALEH EJAZ GRAVEL EXTRACTION,1000.0,Afghanistan,2018
استخراج ریگ وجغل توسط شرکت ساختمانی افغان بتن AFGHAN BATN GRAVEL EXTRACTION COMPANY,1000.0,Afghanistan,2018
استخراج ریگ وجغل متین افغان MATEEN AFGHAN GRAVEL EXTRACTION,1000.0,Afghanistan,2018
استخراج معادن آریاوایت ARYA WHITE MINING CO,2400.0,Afghanistan,2018
استخراج معادن آمو AMO MINING CO,5000.0,Afghanistan,2018
استخراج معادن سمیرریلانس SAMEER RELANCE MINING CO,600.0,Afghanistan,2018
استخراج معادن سپین زر مایننگ SPENZAR MININING,5.0,Afghanistan,2018
استخراج معادن میرگروپ MIR GROUP MINING CO,5915.0,Afghanistan,2018
استخراج معادن یاسمین YASAMEEN MINING CO,220936.0,Afghanistan,2018
استخراج معدن افغان گولد ومینرال AFGHAN GOLD MINERAL,68760.0,Afghanistan,2018
استخراج معدن امتیاز EMTYAZ MINING CO,6000.0,Afghanistan,2018
استخراج معدن قاسمی QASEMI MINING CO,31291.0,Afghanistan,2018
اغا احمدی منرالز استخراج اوپروسس AGHA AHMADI MINERALS PRO.CO,200.0,Afghanistan,2018
افغا ن کرستال نچرل ریسورسز AFGHAN CRISTAL NATURAL RESOUCE,49160.0,Afghanistan,2018
بلال موسی زی دمعدنی ډبرو استخراج او پروسس شرکت BILAL MOSAZAI MINING CO,367503.0,Afghanistan,2018
بی جی پی انترنشنل افغانستان لمتد BGP,89100.0,Afghanistan,2018
تصدی سمنت جبل السراج JABALSARAJ CEMENT,746950.0,Afghanistan,2018
تصدی کود برق بلخ KOD-E-BARQ BALK,66873499.0,Afghanistan,2018
تولید وپروسس سنگ مرمرالیوسف پوپل AL YOSUF POPAL MARBLE PROCESSING COMPANY,1000.0,Afghanistan,2018
جرنیل زاده تالک اومعدن داستخراج اوپروسس شرکت JARNAILZADA TALC PRO.CO,4650.0,Afghanistan,2018
حاجی ملنګ خوګیانی دمعدن استخراج HAJI MALANG KHOGYANI MINING CO,56770.0,Afghanistan,2018
حبیب شهاب تا لک اومر مرواستخراج او پروسس شر کت HABIB SHAHAB TALC PRO.CO,25459.0,Afghanistan,2018
د امین کریمزی د شوکانو او مرمرو داستخراج اوپروسس شرکت AMIN KARIMZAI TALK PRO.CO,76451.0,Afghanistan,2018
"دوست محمد فرزند محمد شاه, دوست محمد",74048.0,Afghanistan,2018
سادات غوث مایننگ کمپنی SADAT GHAWS MINING CO,1600.0,Afghanistan,2018
