Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
ABED HASAN ZADRAN LIMITED,Private,9005801197,Other,Coal,,Not available ,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
AFGHAN SHININK MINES EXTRACTION AND PROCESSING,Private,9002202316,Other,Talc,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
"احمد علی ولد خداداد, احمدعلی AHAMD ALI SON OF KHODAIDAD",Private,9001263814,Other,Construction stone,Not applicable ,Not available ,- ,Afghanistan,AFG,2018,2017-12-21,2018-12-24
شرکت استخراج معادن افغان اکتیف لمیتد AFGHAN ACTIVE MINING LTD,Private,9001353375,Other,Chromite,Not applicable ,Not available ,- ,Afghanistan,AFG,2018,2017-12-21,2018-12-24
شرکت استخراج معادن ذغال سنک افراسیاب AFRASYAB COAL MINING CO,Private,9001505461,Other,Coal,Not applicable ,Not available ,- ,Afghanistan,AFG,2018,2017-12-21,2018-12-24
شرکت تصفیه نفت سلیم کاروان SALEEM KARWAN MINING CO,Private,9000851866,Mining,,Not applicable ,Not available ,- ,Afghanistan,AFG,2018,2017-12-21,2018-12-24
سین جیانگ جنگ تونگ افغانستان تکنالوژی سرویس کو ال تی دی SEIN JHONG JHENG TONG,Private,9003013324,Mining,,,,20920,Afghanistan,AFG,2019,2018-12-21,2019-12-20
شرکت استخراج معادن کابل KABUL MINING EXTRACTION COMPANY,Private,7007883015,Mining,,,,50,Afghanistan,AFG,2019,2018-12-21,2019-12-20
شرکت استخراج معادن افغان اکتیف لمیتد AFGHAN ACTIVE MININIG LTD,Private,9001353375,Other,Chromite,,,-,Afghanistan,AFG,2019,2018-12-21,2019-12-20
شرکت استخراج معادن گولدن گیت GOLDEN GATE MINING CO,Private,9001150078,Mining,,,,-,Afghanistan,AFG,2019,2018-12-21,2019-12-20
شرکت استخراج معادن ممتاز کوثر لمتید MOMTAZ KAWSAR LTD,Private,9001678474,Other,onyx,Not applicable,Not available,-,Afghanistan,AFG,2019,2018-12-21,2019-12-20
شرکت استخراج معادن هیواد برادرز HEWAD BROTHERS MINING CO,Private,9000036856,Other,Chromite,,,-,Afghanistan,AFG,2019,2018-12-21,2019-12-20
شرکت استخراج و پروسس معادن بیتا یونایتد BITA UNITED MINING CO,Private,7008637014,Other,Gypsum,Not applicable,Not available,-,Afghanistan,AFG,2019,2018-12-21,2019-12-20
شرکت تصفیه نفت سلیم کاروان SALEEM KARWAN MINING CO,Private,9000851866,Mining,,,,-,Afghanistan,AFG,2019,2018-12-21,2019-12-20
شرکت تولید سنګ مرمر شمشاد رحمن SHAMSHAD RAHMAN TALC PRO.CO,Private,1040288019,Mining,,,,312117,Afghanistan,AFG,2019,2018-12-21,2019-12-20
SAUR ENERGIE CI (SECI),Private,9504212 H,Oil & Gas,"Oil, gas, condensate",No,Yes,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
ENERGIE DE COTE D'IVOIRE,Private,,Oil & Gas,"Oil, gas, condensate",No,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
SVENSKA PETROL AKTIEBOLAG,Private,,Oil & Gas,"Oil, gas, condensate",No,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
SADEM (SOLIBRA),Private,0101168L,Mining,Mineral Water,No,,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
LA MAN/AHA CI (FRAN/AE),Private,9906920 E,Mining,Gold,No,Yes,,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
BONIKRO GOLD MINE (EX LGL MINES CI SA),Private,0715379V,Mining,Or,Not available,Not available,1789144973,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CNMC CONGO COMPAGNIE MINIERE SARL(CNMC SARL),Private,A1507008K,Mining,,,,2797258.14,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
ENERGULF,Private,A0909587G,Oil,Oil,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
EPPM,Private,,Oil,Gaz Naturel,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
HUA YING TRADING COMPAGNY,Private,A1106512R,Mining,Alliage rouge,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MINING MINERAL RESSOURCE SARL (MMR),Private,A0802327P,Mining,Coltan; Sn; W,,,2908636.85,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE DE DEVELOPPEMENT INDUSTRIEL ET MINIER DU KATANGA SA (SODIMIKA),Private,A1007484X,Mining,Cu; Co,,,338321.59,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
STE BRAVUKA CONGO SA,Private,Q1478529K,Mining,,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SURESTREAM,Private,A0706875G,Oil,Oil,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
