index,Company,Revenue value,original_company_name,OpenCorporatesID,company_relation,Project name,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Reporting currency,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,iso_code2,Year,Start Date,End Date,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country2,ISO Code 2,Year2,Start Date 2,End Date 2
1_part3,AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1007815085,Other,Talc,Not applicable,Not available,"365,746.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-20"
2_part3,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1013655012,Other,"Talc, Construction stone",Not applicable,Not available,"427,491.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-21"
3_part3,ABAAN RAYAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9004655032,Other,Coal,,Not available,"10,256,884.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-22"
4_part3,ABBAS GHAZNAVI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9001935742,Other,Coal,,Not available,"36,244,514.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-23"
5_part3,ABDUL FATAH,,,,,,,,,,,,,,,,,,,,,Private,9001846329,Other,Construction stone,Not applicable,Not available,"139,422.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
6_part3,ABDUL RAOUF,,,,,,,,,,,,,,,,,,,,,Private,9002825819,Other,Construction stone,Not applicable,Not available,"50,925.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
7_part3,ABDUL WAHAB ARIOBWAL LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9004775335,Other,Talc,,Not available,"458,871.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
8_part3,ABID HASSAN ZADRAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9005801197,Other,Coal,,Not available,,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
9_part3,AFGHAN GAS ENTERPRISE,,,,,,,,,,,,,,,,,,,,,Private,Not available,Other,Natural Gas,Not applicable,Not available,,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
10_part3,AFGHAN SHININK MINES EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,9002202316,Other,Talc,,,,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
11_part3,AFGHAN TALC LIMITED JOINT VENTURE,,,,,,,,,,,,,,,,,,,,,Private,9002057785,Other,Talc,Not applicable,Not available,"366,791.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
12_part3,AHMAD RAFI ORAAZ LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9003746923,Other,Coal,,,"1,124,164.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
13_part3,ALI AHMAD SHINWARI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9005713178,Other,Coal,,,"539,123.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
14_part3,ALI MURADI AND IMRAN BAKHTIARI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9002719681,Other,Coal,,,"7,121,948.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
15_part3,AMANIA MINING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,9000197187,Other,Fluoride,Not applicable,Not available,"10,612,599.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
16_part3,AMEEN AZIM LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1001396017,Other,Coal,Not applicable,Not available,"1,994,310.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
17_part3,ARIFI BROTHERS LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1000033165,Other,Talc,Not applicable,Not applicable,"16,994.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
18_part3,BAKHTAR AFGHAN MARBLE COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1003112081,Other,Talc,Not applicable,Not available,"210,111.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
19_part3,BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1009592088,Other,Talc,Not applicable,Not available,"12,467,181.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
20_part3,CNPCI WATAN OIL AND GAS AFGHANISTAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9000525965,Other,Talc,Not applicable,Not available,"21,003,890.51",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
21_part3,CORE DRILLERS,,,,,,,,,,,,,,,,,,,,,Private,9003861482,Other,Talc,Not applicable,Not available,"1,019,257.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
22_part3,DAWAJAN TAREEN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9005533139,Other,Coal,Not applicable,Not available,"32,576,054.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
23_part3,DAWLATZAI BALKHYAAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9003446243,Other,Coal,Not applicable,Not available,"3,388,151.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
24_part3,DOST MOHAMMAD SHERZAD LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9002292119,Other,Talc,Not applicable,Not available,"352,622.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
25_part3,DRAGON OIL SANDUQLI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9001209627,Other,"Oil, Gas, Condensates",https://www.enoc.com/en/,Not available,"66,741,767.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
26_part3,EHSAN AZIZ CONSTRUCTION COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1008636019,Other,Onyx,Not applicable,Not available,"28,820,055.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
27_part3,FARHAN ZADRAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9002051663,Other,Coal,Not applicable,Not available,"47,280,887.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
28_part3,FARSHAD MOHIDI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9003329522,Other,Coal,Not applicable,Not available,"39,297,631.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
29_part3,GHAZANFAR GROUP,,,,,,,,,,,,,,,,,,,,,Private,1037512017,Other,Cement,Not applicable,Not available,"360,148.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
30_part3,GHULAM SARWAR STANIKZAI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1009979087,Other,Coal,Not applicable,Not available,"235,136,291.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
31_part3,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1013655012,Other,Talc,Not applicable,Not available,"6,624,456.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
32_part3,HAIDAR WARIS GHAZNAVI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9000758723,Other,Coal,Not applicable,Not available,"28,748,820.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
33_part3,HAJI MOHAMMAD ESHAN,,,,,,,,,,,,,,,,,,,,,Private,9001593970,Other,Construction stone,Not applicable,Not available,"91,050.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
34_part3,HAJI NABI JAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9003575678,Other,Coal,Not applicable,Not available,"12,979,915.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
35_part3,HAKEEM TAREEN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9001765602,Other,Coal,Not applicable,Not available,"104,078,049.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
