index,company_name,composite_key,company_type,company_id,company_sector,company_commodities,company_public_listing_or_website,company_audited_financial statement_or_equivalent,Payments to Governments Report,Country2,ISO Code 2,Year2,Start Date 2,End Date 2
1_part3,AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,1007815085,Other,Talc,n/v,n/a,365746,Afghanistan,AFG,2018,2017-12-21,2018-12-20
2_part3,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,1013655012,Other,Talc; Construction stone,n/v,n/a,427491,Afghanistan,AFG,2018,2017-12-21,2018-12-21
3_part3,ABAAN RAYAN LIMITED,ABAAN RAYAN LIMITED-Afghanistan-2018,Private,9004655032,Other,Coal,n/a,n/a,10256884,Afghanistan,AFG,2018,2017-12-21,2018-12-22
4_part3,ABBAS GHAZNAVI LIMITED,ABBAS GHAZNAVI LIMITED-Afghanistan-2018,Private,9001935742,Other,Coal,n/a,n/a,36244514,Afghanistan,AFG,2018,2017-12-21,2018-12-23
5_part3,ABDUL FATAH,ABDUL FATAH-Afghanistan-2018,Private,9001846329,Other,Construction stone,n/v,n/a,139422,Afghanistan,AFG,2018,2017-12-21,2018-12-24
6_part3,ABDUL RAOUF,ABDUL RAOUF-Afghanistan-2018,Private,9002825819,Other,Construction stone,n/v,n/a,50925,Afghanistan,AFG,2018,2017-12-21,2018-12-24
7_part3,ABDUL WAHAB ARIOBWAL LIMITED,ABDUL WAHAB ARIOBWAL LIMITED-Afghanistan-2018,Private,9004775335,Other,Talc,n/a,n/a,458871,Afghanistan,AFG,2018,2017-12-21,2018-12-24
8_part3,ABID HASSAN ZADRAN LIMITED,ABID HASSAN ZADRAN LIMITED-Afghanistan-2018,Private,9005801197,Other,Coal,n/a,n/a,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
9_part3,AFGHAN GAS ENTERPRISE,AFGHAN GAS ENTERPRISE-Afghanistan-2018,Private,n/a,Other,Natural gas,n/v,n/a,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
10_part3,AFGHAN SHININK MINES EXTRACTION AND PROCESSING COMPANY,AFGHAN SHININK MINES EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,9002202316,Other,Talc,n/a,n/a,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
11_part3,AFGHAN TALC LIMITED JOINT VENTURE,AFGHAN TALC LIMITED JOINT VENTURE-Afghanistan-2018,Private,9002057785,Other,Talc,n/v,n/a,366791,Afghanistan,AFG,2018,2017-12-21,2018-12-24
12_part3,AHMAD RAFI ORAAZ LIMITED,AHMAD RAFI ORAAZ LIMITED-Afghanistan-2018,Private,9003746923,Other,Coal,n/a,n/a,1124164,Afghanistan,AFG,2018,2017-12-21,2018-12-24
13_part3,ALI AHMAD SHINWARI LIMITED,ALI AHMAD SHINWARI LIMITED-Afghanistan-2018,Private,9005713178,Other,Coal,n/a,n/a,539123,Afghanistan,AFG,2018,2017-12-21,2018-12-24
14_part3,ALI MURADI AND IMRAN BAKHTIARI LIMITED,ALI MURADI AND IMRAN BAKHTIARI LIMITED-Afghanistan-2018,Private,9002719681,Other,Coal,n/a,n/a,7121948,Afghanistan,AFG,2018,2017-12-21,2018-12-24
15_part3,AMANIA MINING COMPANY,AMANIA MINING COMPANY-Afghanistan-2018,Private,9000197187,Other,Fluoride,n/v,n/a,10612599,Afghanistan,AFG,2018,2017-12-21,2018-12-24
16_part3,AMEEN AZIM LIMITED,AMEEN AZIM LIMITED-Afghanistan-2018,Private,1001396017,Other,Coal,n/v,n/a,1994310,Afghanistan,AFG,2018,2017-12-21,2018-12-24
17_part3,ARIFI BROTHERS LIMITED,ARIFI BROTHERS LIMITED-Afghanistan-2018,Private,1000033165,Other,Talc,n/v,n/v,16994,Afghanistan,AFG,2018,2017-12-21,2018-12-24
18_part3,BAKHTAR AFGHAN MARBLE COMPANY,BAKHTAR AFGHAN MARBLE COMPANY-Afghanistan-2018,Private,1003112081,Other,Talc,n/v,n/a,210111,Afghanistan,AFG,2018,2017-12-21,2018-12-24
19_part3,BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY-Afghanistan-2018,Private,1009592088,Other,Talc,n/v,n/a,12467181,Afghanistan,AFG,2018,2017-12-21,2018-12-24
20_part3,CNPCI WATAN OIL AND GAS AFGHANISTAN LIMITED,CNPCI WATAN OIL AND GAS AFGHANISTAN LIMITED-Afghanistan-2018,Private,9000525965,Other,Talc,n/v,n/a,2.100389051E7,Afghanistan,AFG,2018,2017-12-21,2018-12-24
21_part3,CORE DRILLERS,CORE DRILLERS-Afghanistan-2018,Private,9003861482,Other,Talc,n/v,n/a,1019257,Afghanistan,AFG,2018,2017-12-21,2018-12-24
22_part3,DAWAJAN TAREEN LIMITED,DAWAJAN TAREEN LIMITED-Afghanistan-2018,Private,9005533139,Other,Coal,n/v,n/a,32576054,Afghanistan,AFG,2018,2017-12-21,2018-12-24
23_part3,DAWLATZAI BALKHYAAN LIMITED,DAWLATZAI BALKHYAAN LIMITED-Afghanistan-2018,Private,9003446243,Other,Coal,n/v,n/a,3388151,Afghanistan,AFG,2018,2017-12-21,2018-12-24
24_part3,DOST MOHAMMAD SHERZAD LIMITED,DOST MOHAMMAD SHERZAD LIMITED-Afghanistan-2018,Private,9002292119,Other,Talc,n/v,n/a,352622,Afghanistan,AFG,2018,2017-12-21,2018-12-24
25_part3,DRAGON OIL SANDUQLI LIMITED,DRAGON OIL SANDUQLI LIMITED-Afghanistan-2018,Private,9001209627,Other,Oil; Gas; Condensates,https://www.enoc.com/en/,n/a,66741767,Afghanistan,AFG,2018,2017-12-21,2018-12-24
26_part3,EHSAN AZIZ CONSTRUCTION COMPANY,EHSAN AZIZ CONSTRUCTION COMPANY-Afghanistan-2018,Private,1008636019,Other,Onyx,n/v,n/a,28820055,Afghanistan,AFG,2018,2017-12-21,2018-12-24
27_part3,FARHAN ZADRAN LIMITED,FARHAN ZADRAN LIMITED-Afghanistan-2018,Private,9002051663,Other,Coal,n/v,n/a,47280887,Afghanistan,AFG,2018,2017-12-21,2018-12-24
28_part3,FARSHAD MOHIDI LIMITED,FARSHAD MOHIDI LIMITED-Afghanistan-2018,Private,9003329522,Other,Coal,n/v,n/a,39297631,Afghanistan,AFG,2018,2017-12-21,2018-12-24
29_part3,GHAZANFAR GROUP,GHAZANFAR GROUP-Afghanistan-2018,Private,1037512017,Other,Cement,n/v,n/a,360148,Afghanistan,AFG,2018,2017-12-21,2018-12-24
30_part3,GHULAM SARWAR STANIKZAI LIMITED,GHULAM SARWAR STANIKZAI LIMITED-Afghanistan-2018,Private,1009979087,Other,Coal,n/v,n/a,235136291,Afghanistan,AFG,2018,2017-12-21,2018-12-24
31_part3,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,1013655012,Other,Talc,n/v,n/a,6624456,Afghanistan,AFG,2018,2017-12-21,2018-12-24
32_part3,HAIDAR WARIS GHAZNAVI LIMITED,HAIDAR WARIS GHAZNAVI LIMITED-Afghanistan-2018,Private,9000758723,Other,Coal,n/v,n/a,28748820,Afghanistan,AFG,2018,2017-12-21,2018-12-24
33_part3,HAJI MOHAMMAD ESHAN,HAJI MOHAMMAD ESHAN-Afghanistan-2018,Private,9001593970,Other,Construction stone,n/v,n/a,91050,Afghanistan,AFG,2018,2017-12-21,2018-12-24
34_part3,HAJI NABI JAN LIMITED,HAJI NABI JAN LIMITED-Afghanistan-2018,Private,9003575678,Other,Coal,n/v,n/a,12979915,Afghanistan,AFG,2018,2017-12-21,2018-12-24
35_part3,HAKEEM TAREEN LIMITED,HAKEEM TAREEN LIMITED-Afghanistan-2018,Private,9001765602,Other,Coal,n/v,n/a,104078049,Afghanistan,AFG,2018,2017-12-21,2018-12-24
36_part3,HAKIM JAN,HAKIM JAN-Afghanistan-2018,Private,9002533876,Other,Construction stone,n/v,n/a,156485,Afghanistan,AFG,2018,2017-12-21,2018-12-24
37_part3,HAMRAAZ LIMITED,HAMRAAZ LIMITED-Afghanistan-2018,Private,1008218016,Other,Talc,n/v,n/a,60038,Afghanistan,AFG,2018,2017-12-21,2018-12-24
38_part3,HASHIMY GROUP,HASHIMY GROUP-Afghanistan-2018,Private,1052485016,Other,Coal,n/v,n/a,22814244,Afghanistan,AFG,2018,2017-12-21,2018-12-24
39_part3,HASK ROKHAAN LIMITED,HASK ROKHAAN LIMITED-Afghanistan-2018,Private,1009323088,Other,Talc,n/v,n/a,8746,Afghanistan,AFG,2018,2017-12-21,2018-12-24
40_part3,HASSAN AQA,HASSAN AQA-Afghanistan-2018,Private,9000902198,Other,Construction stone,n/v,n/a,138299,Afghanistan,AFG,2018,2017-12-21,2018-12-24
41_part3,HIKMAT MOHAMMAD SHERZAD LIMITED,HIKMAT MOHAMMAD SHERZAD LIMITED-Afghanistan-2018,Private,9005144796,Other,Coal,n/v,n/a,53147665,Afghanistan,AFG,2018,2017-12-21,2018-12-24
42_part3,HILAL SABA TALC MINES EXTRACTION & PROCESSING LTD,HILAL SABA TALC MINES EXTRACTION & PROCESSING LTD-Afghanistan-2018,Private,1005531080,Other,Talc,n/v,n/a,728746,Afghanistan,AFG,2018,2017-12-21,2018-12-24
43_part3,JABUL SIRAJ CONSORTIUM,JABUL SIRAJ CONSORTIUM-Afghanistan-2018,Private,9002322874,Other,Cement,n/v,n/a,378109,Afghanistan,AFG,2018,2017-12-21,2018-12-24
44_part3,JAVED LIAQAT ALI LIMITED,JAVED LIAQAT ALI LIMITED-Afghanistan-2018,Private,9003329902,Other,Coal,n/v,n/a,39393630,Afghanistan,AFG,2018,2017-12-21,2018-12-24
45_part3,KAMRAN BILAL TALC MINES EXTRACTION AND PROCESSING COMPANY,KAMRAN BILAL TALC MINES EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,9004385697,Other,Talc,n/v,n/a,152574,Afghanistan,AFG,2018,2017-12-21,2018-12-24
46_part3,KANDAHAR AKHEER MINERALS,KANDAHAR AKHEER MINERALS-Afghanistan-2018,Private,1014177016,Other,Talc,n/v,n/a,602182,Afghanistan,AFG,2018,2017-12-21,2018-12-24
47_part3,KHALID ANWAR NAUMAN SHERZAD LIMITED,KHALID ANWAR NAUMAN SHERZAD LIMITED-Afghanistan-2018,Private,9002092675,Other,Coal,n/v,n/a,16281467,Afghanistan,AFG,2018,2017-12-21,2018-12-24
48_part3,KHOSHAK BROTHERS CO,KHOSHAK BROTHERS CO-Afghanistan-2018,Private,1022779207,Other,Coal,n/v,n/a,89773684,Afghanistan,AFG,2018,2017-12-21,2018-12-24
49_part3,MADAN KARAN,MADAN KARAN-Afghanistan-2018,Private,1044142014,Other,Coal,n/v,n/a,9290595,Afghanistan,AFG,2018,2017-12-21,2018-12-24
50_part3,MADINA HUSSAINKHAIL LIMITED,MADINA HUSSAINKHAIL LIMITED-Afghanistan-2018,Private,9002713296,Other,Coal,n/v,n/a,763596,Afghanistan,AFG,2018,2017-12-21,2018-12-24
51_part3,MATI SAMI LIMITED,MATI SAMI LIMITED-Afghanistan-2018,Private,1008627083,Other,Talc,n/v,n/a,1324284,Afghanistan,AFG,2018,2017-12-21,2018-12-24
52_part3,MCC CONSORTIUM,MCC CONSORTIUM-Afghanistan-2018,Private,1052271010,Other,Copper,n/v,n/a,1.40274243E7,Afghanistan,AFG,2018,2017-12-21,2018-12-24
53_part3,METAL MINING UK,METAL MINING UK-Afghanistan-2018,Private,1009966167,Other,Chromite,n/v,n/a,2647538,Afghanistan,AFG,2018,2017-12-21,2018-12-24
54_part3,MIR AFZALYAR LIMITED,MIR AFZALYAR LIMITED-Afghanistan-2018,Private,1001597085,Other,Coal,n/a,n/a,2834820,Afghanistan,AFG,2018,2017-12-21,2018-12-24
55_part3,MISAQ-E SHARQ COMPANY,MISAQ-E SHARQ COMPANY-Afghanistan-2018,Private,1050765013,Other,Coal,n/v,n/a,47263121,Afghanistan,AFG,2018,2017-12-21,2018-12-24
56_part3,MOHAMMAD OMAR NOORZAI LIMITED,MOHAMMAD OMAR NOORZAI LIMITED-Afghanistan-2018,Private,9002253681,Other,Coal,n/v,n/a,118680403,Afghanistan,AFG,2018,2017-12-21,2018-12-24
57_part3,MOHIB NAJIB LIMITED,MOHIB NAJIB LIMITED-Afghanistan-2018,Private,1001603081,Other,Talc,n/v,n/a,12163,Afghanistan,AFG,2018,2017-12-21,2018-12-24
58_part3,MOHIBULLAH SAFI BROTHERS LIMITED,MOHIBULLAH SAFI BROTHERS LIMITED-Afghanistan-2018,Private,9001125161,Other,Talc,n/v,n/a,518779,Afghanistan,AFG,2018,2017-12-21,2018-12-24
59_part3,NABI AFGHAN COMPANY,NABI AFGHAN COMPANY-Afghanistan-2018,Private,1010360087,Other,Talc,n/v,n/a,365746,Afghanistan,AFG,2018,2017-12-21,2018-12-24
60_part3,NADEEM AHMAD ARABZAI LIMITED,NADEEM AHMAD ARABZAI LIMITED-Afghanistan-2018,Private,9005956751,Other,Coal,n/v,n/a,8221610,Afghanistan,AFG,2018,2017-12-21,2018-12-24
61_part3,NAJIB FAHIM LIMITED,NAJIB FAHIM LIMITED-Afghanistan-2018,Private,1001561081,Other,Coal,n/v,n/a,503965,Afghanistan,AFG,2018,2017-12-21,2018-12-24
62_part3,NATURAL STONE COMPANY,NATURAL STONE COMPANY-Afghanistan-2018,Private,9001663419,Other,Travertine; Marble,n/v,n/a,873383,Afghanistan,AFG,2018,2017-12-21,2018-12-24
63_part3,NEK HAKIMZADA LIMITED,NEK HAKIMZADA LIMITED-Afghanistan-2018,Private,1009848019,Other,Coal,n/v,n/a,55552900,Afghanistan,AFG,2018,2017-12-21,2018-12-24
64_part3,NEMLA MINERAL EXTRACTION AND PROCESSING COMPANY,NEMLA MINERAL EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,9004746716,Other,Talc,n/v,n/a,81150,Afghanistan,AFG,2018,2017-12-21,2018-12-24
65_part3,NEW ABASEEN LIMITED,NEW ABASEEN LIMITED-Afghanistan-2018,Private,1000832012,Other,Coal,n/v,n/a,393122,Afghanistan,AFG,2018,2017-12-21,2018-12-24
66_part3,NOOR ABAS KHOSHIWAL LIMITED,NOOR ABAS KHOSHIWAL LIMITED-Afghanistan-2018,Private,1005744162,Other,Coal,n/v,n/a,19873630,Afghanistan,AFG,2018,2017-12-21,2018-12-24
67_part3,NORTH COAL ENTERPRISE (NCE),NORTH COAL ENTERPRISE (NCE)-Afghanistan-2018,Private,9000453812,Other,Coal,n/v,https://momp.gov.af/soes,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
68_part3,OMAR FAROOQ TALC PROCESSING COMPANY,OMAR FAROOQ TALC PROCESSING COMPANY-Afghanistan-2018,Private,1002682084,Other,Talc,n/v,n/a,2022882,Afghanistan,AFG,2018,2017-12-21,2018-12-24
69_part3,PAYAM RAH E FARDA LIMITED,PAYAM RAH E FARDA LIMITED-Afghanistan-2018,Private,9001085761,Other,Coal,n/v,n/a,1839111,Afghanistan,AFG,2018,2017-12-21,2018-12-24
70_part3,QUDRAT SAMIM LIMITED,QUDRAT SAMIM LIMITED-Afghanistan-2018,Private,9004781200,Other,Coal,n/v,n/a,19502616,Afghanistan,AFG,2018,2017-12-21,2018-12-24
71_part3,RAHIMI NEKA BROTHERS LIMITED,RAHIMI NEKA BROTHERS LIMITED-Afghanistan-2018,Private,9006175187,Other,Coal,n/v,n/a,890045,Afghanistan,AFG,2018,2017-12-21,2018-12-24
72_part3,RIZWAN NIAZI LIMITED,RIZWAN NIAZI LIMITED-Afghanistan-2018,Private,9005502746,Other,Coal,n/v,n/a,2712050,Afghanistan,AFG,2018,2017-12-21,2018-12-24
73_part3,SAHIL BILAL LIMITED,SAHIL BILAL LIMITED-Afghanistan-2018,Private,1010199089,Other,Coal,n/v,n/a,6578834,Afghanistan,AFG,2018,2017-12-21,2018-12-24
74_part3,SAJJAD HASHIMI LIMITED,SAJJAD HASHIMI LIMITED-Afghanistan-2018,Private,9002468529,Other,Coal,n/v,n/a,38602819,Afghanistan,AFG,2018,2017-12-21,2018-12-24
75_part3,SALMAN SHERZAD TALC COMPANY,SALMAN SHERZAD TALC COMPANY-Afghanistan-2018,Private,9003579092,Other,Talc,n/v,n/a,323456,Afghanistan,AFG,2018,2017-12-21,2018-12-24
76_part3,SARDAR MUSTAFA LIMITED COMPANY,SARDAR MUSTAFA LIMITED COMPANY-Afghanistan-2018,Private,1009975085,Other,Talc,n/v,n/a,371205,Afghanistan,AFG,2018,2017-12-21,2018-12-24
77_part3,SAYAM BEHRAM LIMITED,SAYAM BEHRAM LIMITED-Afghanistan-2018,Private,9005766853,Other,Coal,n/v,n/a,26323384,Afghanistan,AFG,2018,2017-12-21,2018-12-24
78_part3,SAYED HASHIM MOSAWI,SAYED HASHIM MOSAWI-Afghanistan-2018,Private,9005510004,Other,Coal,n/v,n/a,8156508,Afghanistan,AFG,2018,2017-12-21,2018-12-24
79_part3,SEFAT ULLAH,SEFAT ULLAH-Afghanistan-2018,Private,9002437870,Other,Construction stone,n/v,n/a,50005,Afghanistan,AFG,2018,2017-12-21,2018-12-24
80_part3,SSHAHAB MEHBOOB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,SSHAHAB MEHBOOB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,1018661015,Other,Marble,n/v,n/a,64325,Afghanistan,AFG,2018,2017-12-21,2018-12-24
81_part3,SHAHAR ROYA LIMITED,SHAHAR ROYA LIMITED-Afghanistan-2018,Private,9004701877,Other,Coal,n/v,n/a,668149,Afghanistan,AFG,2018,2017-12-21,2018-12-24
82_part3,SHAMSHAD TOOFAN LIMITED,SHAMSHAD TOOFAN LIMITED-Afghanistan-2018,Private,9003803682,Other,Coal,n/v,n/a,8719006,Afghanistan,AFG,2018,2017-12-21,2018-12-24
83_part3,STANDARD TALC EXTRACTION AND PROCESSING COMPANY,STANDARD TALC EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,1016525014,Other,Talc,n/v,n/a,2509326,Afghanistan,AFG,2018,2017-12-21,2018-12-24
84_part3,TALC AND NAGEEN LIMITED,TALC AND NAGEEN LIMITED-Afghanistan-2018,Private,9003473288,Other,Talc,n/v,n/a,2634,Afghanistan,AFG,2018,2017-12-21,2018-12-24
85_part3,TARAAJ MINES MINERAL EXTRACTION AND PROCESSING COMPANY,TARAAJ MINES MINERAL EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,1010423083,Other,Talc,n/v,n/a,90857,Afghanistan,AFG,2018,2017-12-21,2018-12-24
86_part3,TARIQ SHERZAD MARBLE EXTRACTION,TARIQ SHERZAD MARBLE EXTRACTION-Afghanistan-2018,Private,9002597095,Other,Talc,n/v,n/a,4245634,Afghanistan,AFG,2018,2017-12-21,2018-12-24
87_part3,TP AFGHANISTAN LIMITED,TP AFGHANISTAN LIMITED-Afghanistan-2018,Private,9001205153,Other,Oil; Gas; Condensates,n/v,n/a,59750196,Afghanistan,AFG,2018,2017-12-21,2018-12-24
88_part3,TURAB KHAN,TURAB KHAN-Afghanistan-2018,Private,9003151645,Other,Sand,n/v,n/a,42809,Afghanistan,AFG,2018,2017-12-21,2018-12-24
89_part3,USMAN IZZAT LIMITED,USMAN IZZAT LIMITED-Afghanistan-2018,Private,9004516796,Other,Coal,n/v,n/a,50160489,Afghanistan,AFG,2018,2017-12-21,2018-12-24
90_part3,WESTCO INTERNATIONAL,WESTCO INTERNATIONAL-Afghanistan-2018,Private,9000512997,Other,Salt,n/v,n/a,1822519,Afghanistan,AFG,2018,2017-12-21,2018-12-24
91_part3,YASIR MOHMAND LIMITED,YASIR MOHMAND LIMITED-Afghanistan-2018,Private,9005799722,Other,Coal,n/v,n/a,11956188,Afghanistan,AFG,2018,2017-12-21,2018-12-24
92_part3,YUSUFI QAZIZADA SOAP AND TOMATO KETCHUP PRODUCTION COMPANY,YUSUFI QAZIZADA SOAP AND TOMATO KETCHUP PRODUCTION COMPANY-Afghanistan-2018,Private,1016143016,Other,Talc,n/v,n/a,155343,Afghanistan,AFG,2018,2017-12-21,2018-12-24
93_part3,ZABIH ULLAH,ZABIH ULLAH-Afghanistan-2018,Private,9002441609,Other,Construction stone,n/v,n/a,31436,Afghanistan,AFG,2018,2017-12-21,2018-12-24
94_part3,ZAKIR FAREED LIMITED,ZAKIR FAREED LIMITED-Afghanistan-2018,Private,9004641867,Other,Coal,n/v,n/a,79167047,Afghanistan,AFG,2018,2017-12-21,2018-12-24
95_part3,ZAR JAN,ZAR JAN-Afghanistan-2018,Private,9001505461,Mining,Coal; Chromite,n/v,n/a,925810,Afghanistan,AFG,2018,2017-12-21,2018-12-24
96_part3,AHAMD ALI SON OF KHODAIDAD,AHAMD ALI SON OF KHODAIDAD-Afghanistan-2018,Private,9001263814,Other,Construction stone,n/v,n/a,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
