Government entity,eiti_id,Country,Year,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Impuesto al Valor Agregado (IVA),35706550769,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Administrative fees for government services (1422E),Impuesto a los Créditos y Débitos Bancarios,13013127440,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,"Ordinary taxes on income, profits and capital gains (1112E1)",Impuesto a las Ganancias Sociedades,12018783945,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Social security employer contributions (1212E),Contribuciones a la Seguridad Social,6243392420,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,"Ordinary taxes on income, profits and capital gains (1112E1)",Impuesto a las Ganancias Sociedades,5234633936,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Taxes on exports (1152E),Derechos de Exportación,4178948776,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,Taxes on exports (1152E),Derechos de Exportación,2966637864,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Social security employer contributions (1212E),Aportes a la Seguridad Social,2867560727,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,Social security employer contributions (1212E),Contribuciones a la Seguridad Social,2113830470,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,Social security employer contributions (1212E),Aportes a la Seguridad Social,1325698442,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Customs and other import duties (1151E),Derechos de Importacion,1118599109,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Excise taxes (1142E),Impuesto a los Combutible Liquidos y GNC,226697787,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Emission and pollution taxes (114522E),Impuesto al Dioxido de Carbono,25471093,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Excise taxes (1142E),Fondo Fiduciario para el subsidio a los consumos residenciales de Gas natural y GLP,9297122,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,Administrative fees for government services (1422E),Impuesto a los Créditos y Débitos Bancarios,494458429,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,"Ordinary taxes on income, profits and capital gains (1112E1)",Impuesto a las Ganancias de las Personas Fisicas y Sucesiones Indivisas,133303648,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Impuesto al Valor Agregado (IVA),48998100.02,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,Customs and other import duties (1151E),Derechos de Importacion,32452633.26,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Oil & Gas,Licence fees (114521E),Tasa Estadistica,9013070,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,"Ordinary taxes on income, profits and capital gains (1112E1)",Impuesto a las Ganancias de las Personas Fisicas y Sucesiones Indivisas,7021700.57,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,Argentina,2018,Mining,Licence fees (114521E),Tasa Estadistica,506254.69,ARS,ARG,2018-01-01,"2018-12-31"
ADMINISTRATION DES DOMAINES,62f97038-25eb-4382-b85c-8ac0f8c9a3a0,Madagascar,2017,Other,Royalties (1415E1),Redevances domaniales,2190570403,MGA,MDG,1/1/2017,"12/31/2017"
ADMINISTRATION DES DOMAINES,62f97038-25eb-4382-b85c-8ac0f8c9a3a0,Madagascar,2017,Other,Taxes on property (113E),Taxe de publicité foncière (TPF),,MGA,MDG,1/1/2017,"12/31/2017"
ADMINISTRATION DES DOMAINES,62f97038-25eb-4382-b85c-8ac0f8c9a3a0,Madagascar,2018,Other,Royalties (1415E1),Redevances domaniales,1966405526,MGA,MDG,1/1/2018,"12/31/2018"
ADMINISTRATION DES DOMAINES,62f97038-25eb-4382-b85c-8ac0f8c9a3a0,Madagascar,2018,Other,Taxes on property (113E),Taxe de publicité foncière (TPF),,MGA,MDG,1/1/2018,"12/31/2018"
AGENCE CONGOLAISE DE L’ENVIRONNEMENT (ACE),01a0edde-b8ac-497c-b7c4-d504e95fcb95,Democratic Republic of Congo,2017,Oil,Emission and pollution taxes (114522E),"Suivi de l'exécution du PAR,PGE et Audit Environnemental",149978.58,USD,COD,2017-01-01,"2017-12-31"
AGENCE NATIONALE DE GESTION DE L'ENVIRONNEMENT (ANGE),c2447ef1-1226-4b9c-a4d7-836549bb8d66,Togo,2017,Mining,Emission and pollution taxes (114522E),Taxe sur la delivrance de conformite environnementale,8173375,XOF,TGO,2017-01-01,"2017-12-31"
AGENCE NATIONALE DE GESTION DE L'ENVIRONNEMENT (ANGE),c2447ef1-1226-4b9c-a4d7-836549bb8d66,Togo,2017,Mining,Emission and pollution taxes (114522E),Certificat de regularisation environnementale,418275,XOF,TGO,2017-01-01,"2017-12-31"
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),abc055cb-64a9-4265-ba77-7f96987e4944,Burkina Faso,2018,Mining,Emission and pollution taxes (114522E),Frais de prestation BUNEE,104049534,XOF,BFA,2018-01-01,"2018-12-31"
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),abc055cb-64a9-4265-ba77-7f96987e4944,Burkina Faso,2019,Mining,Delivered/paid to state-owned enterprise(s) (1415E32),Frais de prestation BUNEE,24360362,XOF,BFA,2019-01-01,"2019-12-31"
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),abc055cb-64a9-4265-ba77-7f96987e4944,Burkina Faso,2020,Mining,Delivered/paid to state-owned enterprise(s) (1415E32),Frais de prestation BUNEE,136270436,XOF,BFA,2020-12-01,"2020-12-31"
AGENCE NATIONALE D’ENCADREMENT DES EXPLOITATIONS MINIÈRES ARTISANALES ET SEMI-MÉCANISÉES (ANEEMAS),18dd608d-c853-491c-a9bc-a18ba456091b,Burkina Faso,2018,Mining,Taxes on exports (1152E),Taxe à l'exportation d’or,45917878,XOF,BFA,2018-01-01,"2018-12-31"
