government_entity,eiti_id_government,sector,gfs_classification,revenue_stream_name,revenue_value,currency,country,iso_code3,year,start_date,end_date
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Impuesto al Valor Agregado (IVA),35706550769,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Administrative fees for government services (1422E),Impuesto a los Créditos y Débitos Bancarios,13013127440,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,"Ordinary taxes on income, profits and capital gains (1112E1)",Impuesto a las Ganancias Sociedades,12018783945,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Social security employer contributions (1212E),Contribuciones a la Seguridad Social,6243392420,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,"Ordinary taxes on income, profits and capital gains (1112E1)",Impuesto a las Ganancias Sociedades,5234633936,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Taxes on exports (1152E),Derechos de Exportación,4178948776,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,Taxes on exports (1152E),Derechos de Exportación,2966637864,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Social security employer contributions (1212E),Aportes a la Seguridad Social,2867560727,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,Social security employer contributions (1212E),Contribuciones a la Seguridad Social,2113830470,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,Social security employer contributions (1212E),Aportes a la Seguridad Social,1325698442,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
