Property Path,Title,Description,Type,Required,Enum,Source
statementId,Statement Identifier,A persistent globally unique identifier for this Statement. Length MUST be 32 - 64 characters (inclusive).,string,Yes,,Statement
statementDate,Statement Date,"The date on which this statement was declared by the source, in full-date (YYYY-MM-DD) or date-time (e.g. YYYY-MM-DDTHH:MM:SSZ) format. See the IETF RFC3339 standard, section 5.6.",string,Yes,,Statement
annotations/item/item/statementPointerTarget,Statement Fragment Pointer,"An RFC6901 JSON Pointer (https://tools.ietf.org/html/rfc6901) describing the target fragment of the statement that this Annotation applies to, starting from the root of the Statement. An empty string ("""") indicates that the Annotation applies to the whole Statement.",string,No,,Statement
annotations/item/item/creationDate,Creation Date,"The date on which this Annotation was created, in full-date (YYYY-MM-DD) or date-time (e.g. YYYY-MM-DDTHH:MM:SSZ) format. See the IETF RFC3339 standard, section 5.6.",string,No,,Statement
annotations/item/item/createdBy/name,Name,"The name of the person, organisation or agent that created this Annotation.",string,No,,Statement
annotations/item/item/createdBy/uri,URI,"An optional URI to identify the person, organisation or agent that created this Annotation.",string,No,,Statement
annotations/item/item/createdBy,Created By,"The person, organisation or agent that created this Annotation.",object,No,,Statement
annotations/item/item/motivation,Motivation,"The reason for this Annotation, using the annotationMotivation codelist.",string,No,"commenting, correcting, identifying, linking, transformation",Statement
annotations/item/item/description,Description,A free text description providing extra information about part of this Statement.,string,No,,Statement
annotations/item/item/transformedContent,Transformed Content,A representation of the Annotation target after the transformation in the `description` field has been applied. This field MUST only be used when the `motivation` is 'transformation'.,string,No,,Statement
annotations/item/item/url,URL,"A linked resource that annotates, provides context for or enhances this Statement. The content of the resource, or the relationship to the statement, MAY be described in the `description` field. This field is REQUIRED if the value of `motivation` is 'linking'.",string,No,,Statement
annotations/item/item,Annotation,"Additional information about the data contained in this Statement. Annotations can apply to a whole statement, an object or a single field. Custom properties can be included within the Annotation object to provide structured data where required.",object,No,,Statement
annotations,Annotations,Annotations about this Statement or parts of this Statement,array,No,,Statement
publicationDetails/publicationDate,Publication date,"The date on which this statement was published, in full-date (YYYY-MM-DD) or date-time (e.g. YYYY-MM-DDTHH:MM:SSZ) format. See the IETF RFC3339 standard, section 5.6.",string,Yes,,Statement
publicationDetails/bodsVersion,BODS Version,"The version of the Beneficial Ownership Data Standard to which this Statement conforms, expressed as major.minor (e.g. 0.2 or 1.0). In a published BODS dataset, all Statements MUST have the same major version number.",string,Yes,,Statement
publicationDetails/license,License URL,A link to the license that applies to this Statement. The canonical URI of the license SHOULD be used. Publishers are encouraged to use a Public Domain Dedication or Open Definition Conformant (http://opendefinition.org/licenses/) license.,string,No,,Statement
publicationDetails/publisher/name,Name,The name of the publisher.,string,No,,Statement
publicationDetails/publisher/url,URL,"The URL where details of the full dataset, or of the publisher, can be found.",string,No,,Statement
publicationDetails/publisher,Publisher,Details of the organisation or person publishing a Statement.,object,Yes,,Statement
publicationDetails,Publication Details,Information concerning the publication of this Statement.,object,No,,Statement
source/type/item/item,,,string,No,"selfDeclaration, officialRegister, thirdParty, primaryResearch, verified",Statement
source/type,Source Type,"The types of the source, using the sourceType codelist. Include 'verified' in the array if the information in the Statement has undergone a verification process.",array,No,,Statement
source/description,Description,"Additional, free text information about the source of information.",string,No,,Statement
source/url,Source URL,"The external URL from which this information was fetched, if relevant. Or, if relevant, a URL providing additional detail on how this information was sourced.",string,No,,Statement
