Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
APL-EP-57,n/a,Jabul Siraj Consortium,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-58,n/a,Core Drillers,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-59,n/a,Amin Karimzai Campany,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-60,n/a,Afghan Talc Limited,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-61,n/a,Nabi Afghan Company,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-62,n/a,Core Drillers,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-63,n/a,Ghazanfar Group,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-65,n/a,Habib Shahab Talc and Marble exploitation and process company,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-66,n/a,Sardar Mustafa Limited company,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-67,n/a,Natural Stone Company,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
APL-EP-68,n/a,Natural Stone Company,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXP 1/2008,Mining Exploration License,MCC Consortium,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXP 1/2014,Mining Exploration License,North Coal Enterprise (NCE),n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2006,Mining Exploration License,Khoshak Brothers Co,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2009,Mining Exploration License,Misaq-E Sharq Company,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2012,Mining Exploration License,شرکت تجارتی آریا پوپل لمتید,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2014,Mining Exploration License,شرکت استانه بابا,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 1/2015,Mining Exploration License,Zar Jan,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 2/2012,Mining Exploration License,Khoshak Brothers Co,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 2/2013,Mining Exploration License,WESTCO INTERNATIONAL,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 2/2015,Mining Exploration License,شرکت برادران عادل,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 3/2012,Mining Exploration License,شرکت برادران خالد عزیز,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 3/2012,Mining Exploration License,شرکت برادران خالد عزیز,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 4/2014,Mining Exploration License,Zar Jan,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 5/2012,Mining Exploration License,شرکت برادران مهمند شمال,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 5/2013,Mining Exploration License,Amania Mining Company,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 5/2014,Mining Exploration License,Ehsan Aziz Construction Company,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 6/2012,Mining Exploration License,Madan Karan,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 7/2012,Mining Exploration License,Hashimy Group,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
EXPL 8/2012,Mining Exploration License,Metal Mining UK,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
P-EXP 1/2011,Petroleum Exploitation License,CNPCI Watan Oil and Gas Afghanistan limited,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
P-EXPL 1/2013,Petroleum Exploration License,TP Afghanistan limited,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
P-EXPL 2/2013,Petroleum Exploration License,Dragon Oil sanduqli limited,n/a,n/a,,n/v,,n/v,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 1/2008,Small-scale mining license,شرکت تکنالوجست,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 1/2015,Small-scale mining license,شرکت اعتماد قره باغ,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 5/2015,Small-scale mining license,Habib Shahab Talc and Marble exploitation and process company,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 1/2016,Small-scale mining license,شرکت سپتی اوغلوایس مات دستی,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 10/2016,Small-scale mining license,Hakim Jan,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 10/2016,Small-scale mining license,Hakim Jan,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 11/2015,Small-scale mining license,Abdul Fatah,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 12/2016,Small-scale mining license,Zabih Ullah,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 13/2012,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 13/2012,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 13/2012,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 13/2016,Small-scale mining license,Mohammad Edris,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 14/2016,Small-scale mining license,"دوست محمد فرزند محمد شاه, دوست محمد",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 15/2016,Small-scale mining license,Haji Mohammad Eshan,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 16/2014,Small-scale mining license,شرکت تولید سنگ تزیناتی وتعمیراتی هلال,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 16/2015,Small-scale mining license,"فقیر حسین, محمد حسین",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 16/2016,Small-scale mining license,"محمد هاشم فرزند عبدالله, محمد هاشم",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 17/2016,Small-scale mining license,Hakim Jan,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 18/2015,Small-scale mining license,Haji Mohammad Eshan,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 18/2016,Small-scale mining license,"محمدی فرزند مسجدی, محمد دل",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 19/2016,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 19/2016,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 2/2008,Small-scale mining license,شرکت تکنالوجست,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 2/2008,Small-scale mining license,شرکت تکنالوجست,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 22/2016,Small-scale mining license,"نصرالله فرزند اول الدین, نصرالله",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 23/2016,Small-scale mining license,"احمد علی ولد خداداد, احمدعلی",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 24/2014,Small-scale mining license,Hassan Aqa,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 3/2013,Small-scale mining license,شرکت ریگریشن کابل گلدره,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 3/2015,Small-scale mining license,Sefat Ullah,n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
SSML-Kabu 3/2016,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",n/a,n/a,,n/a,,n/a,Afghanistan,AFG,2018,2017-12-21,2018-12-20
