index,company_name,Project name,Country,Year,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,ISO Code,Start Date,End Date
part3,,APL-EP-57,Afghanistan,2018,n/a,Jabul Siraj Consortium,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-58,Afghanistan,2018,n/a,Core Drillers,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-59,Afghanistan,2018,n/a,Amin Karimzai Campany,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-60,Afghanistan,2018,n/a,Afghan Talc Limited,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-61,Afghanistan,2018,n/a,Nabi Afghan Company,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-62,Afghanistan,2018,n/a,Core Drillers,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-63,Afghanistan,2018,n/a,Ghazanfar Group,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-65,Afghanistan,2018,n/a,Habib Shahab Talc and Marble exploitation and process company,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-66,Afghanistan,2018,n/a,Sardar Mustafa Limited company,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-67,Afghanistan,2018,n/a,Natural Stone Company,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-68,Afghanistan,2018,n/a,Natural Stone Company,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,EXP 1/2008,Afghanistan,2018,Mining Exploration License,MCC Consortium,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXP 1/2014,Afghanistan,2018,Mining Exploration License,North Coal Enterprise (NCE),n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 1/2006,Afghanistan,2018,Mining Exploration License,Khoshak Brothers Co,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 1/2009,Afghanistan,2018,Mining Exploration License,Misaq-E Sharq Company,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 1/2012,Afghanistan,2018,Mining Exploration License,شرکت تجارتی آریا پوپل لمتید,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 1/2014,Afghanistan,2018,Mining Exploration License,شرکت استانه بابا,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 1/2015,Afghanistan,2018,Mining Exploration License,Zar Jan,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 2/2012,Afghanistan,2018,Mining Exploration License,Khoshak Brothers Co,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 2/2013,Afghanistan,2018,Mining Exploration License,WESTCO INTERNATIONAL,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 2/2015,Afghanistan,2018,Mining Exploration License,شرکت برادران عادل,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 3/2012,Afghanistan,2018,Mining Exploration License,شرکت برادران خالد عزیز,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 3/2012,Afghanistan,2018,Mining Exploration License,شرکت برادران خالد عزیز,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 4/2014,Afghanistan,2018,Mining Exploration License,Zar Jan,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 5/2012,Afghanistan,2018,Mining Exploration License,شرکت برادران مهمند شمال,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 5/2013,Afghanistan,2018,Mining Exploration License,Amania Mining Company,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 5/2014,Afghanistan,2018,Mining Exploration License,Ehsan Aziz Construction Company,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 6/2012,Afghanistan,2018,Mining Exploration License,Madan Karan,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 7/2012,Afghanistan,2018,Mining Exploration License,Hashimy Group,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,EXPL 8/2012,Afghanistan,2018,Mining Exploration License,Metal Mining UK,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,P-EXP 1/2011,Afghanistan,2018,Petroleum Exploitation License,CNPCI Watan Oil and Gas Afghanistan limited,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,P-EXPL 1/2013,Afghanistan,2018,Petroleum Exploration License,TP Afghanistan limited,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,P-EXPL 2/2013,Afghanistan,2018,Petroleum Exploration License,Dragon Oil sanduqli limited,n/a,n/a,,n/v,,n/v,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 1/2008,Afghanistan,2018,Small-scale mining license,شرکت تکنالوجست,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 1/2015,Afghanistan,2018,Small-scale mining license,شرکت اعتماد قره باغ,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 5/2015,Afghanistan,2018,Small-scale mining license,Habib Shahab Talc and Marble exploitation and process company,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 1/2016,Afghanistan,2018,Small-scale mining license,شرکت سپتی اوغلوایس مات دستی,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 10/2016,Afghanistan,2018,Small-scale mining license,Hakim Jan,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 10/2016,Afghanistan,2018,Small-scale mining license,Hakim Jan,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 11/2015,Afghanistan,2018,Small-scale mining license,Abdul Fatah,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 12/2016,Afghanistan,2018,Small-scale mining license,Zabih Ullah,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 13/2012,Afghanistan,2018,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 13/2012,Afghanistan,2018,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 13/2012,Afghanistan,2018,Small-scale mining license,شرکت ساختمانی فاروق استانکزی,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 13/2016,Afghanistan,2018,Small-scale mining license,Mohammad Edris,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 14/2016,Afghanistan,2018,Small-scale mining license,"دوست محمد فرزند محمد شاه, دوست محمد",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 15/2016,Afghanistan,2018,Small-scale mining license,Haji Mohammad Eshan,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 16/2014,Afghanistan,2018,Small-scale mining license,شرکت تولید سنگ تزیناتی وتعمیراتی هلال,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 16/2015,Afghanistan,2018,Small-scale mining license,"فقیر حسین, محمد حسین",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 16/2016,Afghanistan,2018,Small-scale mining license,"محمد هاشم فرزند عبدالله, محمد هاشم",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 17/2016,Afghanistan,2018,Small-scale mining license,Hakim Jan,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 18/2015,Afghanistan,2018,Small-scale mining license,Haji Mohammad Eshan,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 18/2016,Afghanistan,2018,Small-scale mining license,"محمدی فرزند مسجدی, محمد دل",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 19/2016,Afghanistan,2018,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 19/2016,Afghanistan,2018,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 2/2008,Afghanistan,2018,Small-scale mining license,شرکت تکنالوجست,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 2/2008,Afghanistan,2018,Small-scale mining license,شرکت تکنالوجست,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 22/2016,Afghanistan,2018,Small-scale mining license,"نصرالله فرزند اول الدین, نصرالله",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 23/2016,Afghanistan,2018,Small-scale mining license,"احمد علی ولد خداداد, احمدعلی",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 24/2014,Afghanistan,2018,Small-scale mining license,Hassan Aqa,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 3/2013,Afghanistan,2018,Small-scale mining license,شرکت ریگریشن کابل گلدره,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 3/2015,Afghanistan,2018,Small-scale mining license,Sefat Ullah,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 3/2016,Afghanistan,2018,Small-scale mining license,"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 37/2014,Afghanistan,2018,Small-scale mining license,Mohammad Edris,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 4/2011,Afghanistan,2018,Small-scale mining license,شرکت تکنالوجست,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 4/2013,Afghanistan,2018,Small-scale mining license,شرکت ساختمانی حاجی ملا شاه میرزی,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 4/2015,Afghanistan,2018,Small-scale mining license,شرکت امید سباون,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 4/2016,Afghanistan,2018,Small-scale mining license,Turab Khan,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 40/2014,Afghanistan,2018,Small-scale mining license,Aziz Ullah,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 42/2014,Afghanistan,2018,Small-scale mining license,شرکت ساختمانی غلام حضرت ارغندیوال,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 42/2014,Afghanistan,2018,Small-scale mining license,شرکت ساختمانی غلام حضرت ارغندیوال,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 43/2014,Afghanistan,2018,Small-scale mining license,Shams Uddin,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 46/2014,Afghanistan,2018,Small-scale mining license,"محمد یونس ولد محمد عیسی, محمد یونس",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 6/2011,Afghanistan,2018,Small-scale mining license,Vesta Construction & Construction Materials Co,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 6/2014,Afghanistan,2018,Small-scale mining license,شرکت مسعودعارف فقیرزاده,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 6/2015,Afghanistan,2018,Small-scale mining license,"فقیر حسین, محمد حسین",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 6/2016,Afghanistan,2018,Small-scale mining license,Said Laiq Hussain,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 7/2016,Afghanistan,2018,Small-scale mining license,"نجیب الله فرزند عین الله, نجیب الله فرزند عین الله",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 8/2016,Afghanistan,2018,Small-scale mining license,"عمرگل فرزند جمعه خان, عمرگل فرزند جمعه خان",n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,SSML-KABU 9/2016,Afghanistan,2018,Small-scale mining license,Abdul Raouf,n/a,n/a,,n/a,,n/a,AFG,2017-12-21,2018-12-20
part3,,APL-EP-57,Afghanistan,2019,n/a,Jabul Siraj Consortium,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-58,Afghanistan,2019,n/a,Core Drillers,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-59,Afghanistan,2019,n/a,Amin Karimzai Campany,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-60,Afghanistan,2019,n/a,Afghan Talc Limited,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-61,Afghanistan,2019,n/a,Nabi Afghan Company,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-62,Afghanistan,2019,n/a,Core Drillers,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-63,Afghanistan,2019,n/a,Ghazanfar Group,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-65,Afghanistan,2019,n/a,Habib Shahab Talc and Marble exploitation and process company,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-66,Afghanistan,2019,n/a,Sardar Mustafa Limited company,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-67,Afghanistan,2019,n/a,Natural Stone Company,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,APL-EP-68,Afghanistan,2019,n/a,Natural Stone Company,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,EXP 1/2008,Afghanistan,2019,Mining Exploration License,MCC Consortium,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXP 1/2014,Afghanistan,2019,Mining Exploration License,North Coal Enterprise (NCE),n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 1/2006,Afghanistan,2019,Mining Exploration License,Khoshak Brothers Co,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 1/2009,Afghanistan,2019,Mining Exploration License,Misaq-E Sharq Company,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 1/2012,Afghanistan,2019,Mining Exploration License,شرکت تجارتی آریا پوپل لمتید,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 1/2014,Afghanistan,2019,Mining Exploration License,شرکت استانه بابا,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 1/2015,Afghanistan,2019,Mining Exploration License,Zar Jan,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
