Index,Company
1_part3,AMIN KARIMZAI CAMPANY
2_part3,HABIB SHAHAB TALC AND MARBLE EXPLOITATION AND PROCESS COMPANY
3_part3,ABAAN RAYAN LIMITED
4_part3,ABAS GHAZNAVI LIMITED
5_part3,ABDUL FATAH
6_part3,ABDUL RAOUF
7_part3,ABDUL WAHAB ARIOBWAL LIMITED
8_part3,ABED HASAN ZADRAN LIMITED
9_part3,AFGHAN GAS ENTERPRISE
10_part3,AFGHAN SHININK MINES EXTRACTION AND PROCESSING
11_part3,AFGHAN TALC LIMITED
12_part3,AHMAD RAFI ORAAZ LIMITED
13_part3,ALI AHMAD SHINWARI LIMITED
14_part3,ALI MURADI AND IMRAN BAKHTIARI LIMITED
15_part3,AMANIA MINING COMPANY
16_part3,AMEEN AZIM LIMITED
17_part3,ARIFI BROTHERS LIMITED
18_part3,BAKHTAR AFGHAN MARBLE COMPANY
19_part3,BILAL MUSAZAI COMPANY LIMITED
20_part3,CNPCI WATAN OIL AND GAS AFGHANISTAN LIMITED
21_part3,CORE DRILLERS
22_part3,DAWAJAN TAREEN LIMITED
23_part3,DAWLATZAI BALKHYAAN LIMITED
24_part3,DOST MOHAMMAD SHERZAD LIMITED
25_part3,DRAGON OIL SANDUQLI LIMITED
26_part3,EHSAN AZIZ CONSTRUCTION COMPANY
27_part3,FARHAN ZADRAN LIMITED
28_part3,FARSHAD MOHIDI LIMITED
29_part3,GHAZANFAR GROUP
30_part3,GHULAM SARWAR STANIKZAI LIMITED
31_part3,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY
32_part3,HAIDAR WARIS GHAZNAVI LIMITED
33_part3,HAJI MOHAMMAD ESHAN
34_part3,HAJI NABI JAN LIMITED
35_part3,HAKEEM TAREEN LIMITED
36_part3,HAKIM JAN
37_part3,HAMRAAZ LIMITED
38_part3,HASHIMY GROUP
39_part3,HASK ROKHAAN LIMITED
40_part3,HASSAN AQA
41_part3,HIKMAT MOHAMMAD SHERZAD LIMITED
42_part3,HILAL SABA TALC MINES EXTRACTION & PROCESSING LTD
43_part3,JABUL SIRAJ CONSORTIUM
44_part3,JAVED LIAQAT ALI LIMITED
45_part3,KAMRAN BILAL TALC MINES EXTRACTION AND PROCESSING COMPANY
46_part3,KANDAHAR AKHEER MINERALS
47_part3,KHALID ANWAR NAUMAN SHERZAD LIMITED
48_part3,KHOSHAK BROTHERS CO
49_part3,MADAN KARAN
50_part3,MADINA HUSSAINKHAIL LIMITED
51_part3,MATI SAMI LIMITED
52_part3,MCC CONSORTIUM
53_part3,METAL MINING UK
54_part3,MIR AFZALYAR LIMITED
55_part3,MISAQ-E SHARQ COMPANY
56_part3,MOHAMMAD OMAR NOORZAI LIMITED
57_part3,MOHIB NAJIB LIMITED
58_part3,MOHIBULLAH SAFI BROTHERS LIMITED
59_part3,NABI AFGHAN COMPANY
60_part3,NADEEM AHMAD ARABZAI LIMITED
61_part3,NAJIB FAHIM LIMITED
62_part3,NATURAL STONE COMPANY
63_part3,NEK HAKIMZADA LIMITED
64_part3,NEMLA MINERAL EXTRACTION AND PROCESSING COMPANY
65_part3,NEW ABASEEN LIMITED
66_part3,NOOR ABAS KHOSHIWAL LIMITED
67_part3,NORTH COAL ENTERPRISE (NCE)
68_part3,OMAR FAROOQ TALC PROCESSING COMPANY
69_part3,PAYAM RAH FARDA LIMITED
70_part3,QUDRAT SAMIM LIMITED
71_part3,RAHIMI NEKKA BROTHERS LIMITED
72_part3,RIZWAN NIAZI LIMITED
73_part3,SAHIL BILAL LIMITED
74_part3,SAJJAD HASHIMI LIMITED
75_part3,SALMAN SHERZAD TALC COMPANY
76_part3,SARDAR MUSTAFA LIMITED COMPANY
77_part3,SAYAM BEHRAM LIMITED
78_part3,SAYED HASHIM MOSAVI
79_part3,SEFAT ULLAH
