Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE COTE D'IVOIRE (PETROCI),State-owned enterprises & public corporations,7602349 S,107485996398,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA COTE D'IVOIRE (SODEMI),State-owned enterprises & public corporations,6103805 Y,33078242200,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
OTHERS,Central goverment,No applicable,,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
DIRECTION DES RECETTESPROVINCIALES,Local government,,178320000,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
DIRECCION GENRERAL DE ADUANAS (DGA),Central government,401039249,63121388,Dominican Republic,DOM,2018,2018/01/01,2018/12/31
DIRECCION GENRERAL DE ADUANAS (DGA),Central goverment,401039249,103364961,Dominican Republic,DOM,2019,2019/01/01,2019/12/31
DIRECCION GENRERAL DE ADUANAS (DGA),Central goverment,401039249,57327767,Dominican Republic,DOM,2020,2020/01/01,2020/12/31
TARKWA NSUAEM,Local government,,470801,Ghana,GHA,2017,2017/01/01,2017/12/31
PRESTEA HUNI VALLEY,Local government,,126556,Ghana,GHA,2017,2017/01/01,2017/12/31
SEFWI DISTRICT ASSEMBLY,Local government,,130563,Ghana,GHA,2017,2017/01/01,2017/12/31
BIRIM NORTH ASSEMBLY,Local government,,434500,Ghana,GHA,2017,2017/01/01,2017/12/31
AMANSIE SOUTH DISTRICT ASSEMLY,Local government,,241900,Ghana,GHA,2017,2017/01/01,2017/12/31
TARKWA NSUAEM,Local government,,470801.82,Ghana,GHA,2018,2018/01/01,2018/12/31
PRESTEA HUNI VALLEY,Local government,,126556,Ghana,GHA,2018,2018/01/01,2018/12/31
SEFWI DISTRICT ASSEMBLY,Local government,,130563,Ghana,GHA,2018,2018/01/01,2018/12/31
BIRIM NORTH ASSEMBLY,Local government,,434500,Ghana,GHA,2018,2018/01/01,2018/12/31
AMANSIE SOUTH DISTRICT ASSEMLY,Local government,,241900,Ghana,GHA,2018,2018/01/01,2018/12/31
BIBIANI/AHWIASO DISTRICT ASSEMBLY,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
BIRIM NORTH DISTRICT ASSEMBLY ASSEMBLY,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
TARKWA NSUAEM,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
PRESTEA HUNI VALLEY,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
SEFWI DISTRICT ASSEMBLY,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
BIRIM NORTH ASSEMBLY,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
AMANSIE SOUTH DISTRICT ASSEMLY,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
DEPARTMENT OF ENERGEY (DOE),Central goverment,000-478-629,29578003901.61,Philippines,PHL,2018,2018/01/01,2018/12/31
MINERAL RESOURCES AND PETROLEUM AUTHORITY,State government,5323533,282788326000,Mongolia,MNG,2018,1/1/2018,12/31/2018
"EMPRESA NACIONAL DE HIDROCARBONETOS, EP (ENH)",State-owned enterprises & public corporations,600000241,3527636.7,Mozambique,MOZ,2019,1/1/2019,12/31/2019
COMMISSARIAT DES IMPOTS (CI),Central goverment,Not applicable,7670564536,Togo,TGO,2017,2017/01/01,2017/12/31
DIRECTION GENERALE DU TRESOR ET DE LA COMPTABILITE PUBLIQUE (DGTCP),Central goverment,Not applicable,332700000,Togo,TGO,2017,2017/01/01,2017/12/31
DIRECTION GENERALE DES MINES ET DE LA GEOLOGIE (DGMG),Central goverment,Not applicable,1959455741,Togo,TGO,2017,2017/01/01,2017/12/31
DIRECTION GENERALE DU TRAVAIL ET DE LOIS SOCIALES (DGTLS),Central goverment,Not applicable,189783,Togo,TGO,2017,2017/01/01,2017/12/31
CAISSE NATIONALE DE SECURITE SOCIALE (CNSS),Central goverment,Not applicable,1561220340,Togo,TGO,2017,2017/01/01,2017/12/31
