Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AMIN KARIMZAI CAMPANY,Private,1007815085,Other,Talc,Not applicable ,Not available ,365746,Afghanistan,AFG,2018,2017-12-21,2018-12-20
HABIB SHAHAB TALC AND MARBLE EXPLOITATION AND PROCESS COMPANY,Private,1013655012,Other,"Talc, Construction stone",Not applicable ,Not available ,427491,Afghanistan,AFG,2018,2017-12-21,2018-12-21
ABAS GHAZNAVI LIMITED,Private,9001935742,Other,Coal,,Not available ,36244514,Afghanistan,AFG,2018,2017-12-21,2018-12-23
ABED HASAN ZADRAN LIMITED,Private,9005801197,Other,Coal,,Not available ,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
AFGHAN SHININK MINES EXTRACTION AND PROCESSING,Private,9002202316,Other,Talc,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
AFGHAN TALC LIMITED,Private,9002057785,Other,Talc,Not applicable ,Not available ,366791,Afghanistan,AFG,2018,2017-12-21,2018-12-24
AMANIA MINING COMPANY,Private,9000197187,Other,Fluoride,Not applicable ,Not available ,10612599,Afghanistan,AFG,2018,2017-12-21,2018-12-24
DAWA JAN TAREEN LIMITED,Private,9005533139,Other,Coal,Not applicable ,Not available ,32576054,Afghanistan,AFG,2018,2017-12-21,2018-12-24
HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,Private,1013655012,Other,Talc,Not applicable ,Not available ,6624456,Afghanistan,AFG,2018,2017-12-21,2018-12-24
PAYAM RAH FARDA LIMITED,Private,9001085761,Other,Coal,Not applicable ,Not available ,1839111,Afghanistan,AFG,2018,2017-12-21,2018-12-24
RAHIMI NEKKA BROTHERS LIMITED,Private,9006175187,Other,Coal,Not applicable ,Not available ,890045,Afghanistan,AFG,2018,2017-12-21,2018-12-24
