Full company name,Payments to Governments Report,Country,Year
AMIN KARIMZAI CAMPANY,365746,Afghanistan,2018
HABIB SHAHAB TALC AND MARBLE EXPLOITATION AND PROCESS COMPANY,427491,Afghanistan,2018
ABAS GHAZNAVI LIMITED,36244514,Afghanistan,2018
ABED HASAN ZADRAN LIMITED,,Afghanistan,2018
AFGHAN SHININK MINES EXTRACTION AND PROCESSING,,Afghanistan,2018
AFGHAN TALC LIMITED,366791,Afghanistan,2018
AMANIA MINING COMPANY,10612599,Afghanistan,2018
DAWA JAN TAREEN LIMITED,32576054,Afghanistan,2018
HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,6624456,Afghanistan,2018
PAYAM RAH FARDA LIMITED,1839111,Afghanistan,2018
RAHIMI NEKKA BROTHERS LIMITED,890045,Afghanistan,2018
SAYED HASHIM MOSAVI,8156508,Afghanistan,2018
SHAHAB MAHBOOB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,64325,Afghanistan,2018
استخراج معدن افغان گولد ومینرال AFGHAN GOLD MINERAL,68760,Afghanistan,2018
استخراج معدن امتیاز EMTYAZ MINING CO,6000,Afghanistan,2018
اغا احمدی منرالز استخراج اوپروسس AGHA AHMADI MINERALS PRO.CO,200,Afghanistan,2018
افغا ن کرستال نچرل ریسورسز AFGHAN CRISTAL NATURAL RESOUCE,49160,Afghanistan,2018
بلال موسی زی دمعدنی ډبرو استخراج او پروسس شرکت BILAL MOSAZAI MINING CO,367503,Afghanistan,2018
حبیب شهاب تا لک اومر مرواستخراج او پروسس شر کت HABIB SHAHAB TALC PRO.CO,25459,Afghanistan,2018
د امین کریمزی د شوکانو او مرمرو داستخراج اوپروسس شرکت AMIN KARIMZAI TALK PRO.CO,76451,Afghanistan,2018
ستندر شو کا ڼی دپرو سس او استخراج شر کت STANDARD TALC PRO.CO,21539,Afghanistan,2018
سنترال آیزین مایننگ سرویسس کمپنی CENTRAL AZEEN MINING PRO.CO,88795,Afghanistan,2018
شرکت استخراج معادن کابل KABUL MINING CO,15,Afghanistan,2018
شرکت استخراج معادن هیواد برادرزHEWAD BROTHERS MINING CO,2027271,Afghanistan,2018
شرکت استخراج معدن افغان تراورتین AFGHAN TRAWARTIN MINING CO,5,Afghanistan,2018
شرکت استخراج معدن پارمیس گلوبل PARMIS GLOGAL MINING CO,825,Afghanistan,2018
شرکت استخراج وپروسس سنگ عرفان غزنوی لمتید URFAN GHAZNAWI STONE PRO.LTD,800,Afghanistan,2018
شرکت افغان کول ال ال سی AFGHAN CAOL LLC,352416,Afghanistan,2018
شرکت امانیه مایننگ AMANYA MINING CO,106574,Afghanistan,2018
شرکت خدمات انجنیری جیو و معادن افغانایت AFGHAN KNIGHT GEO MINING CO,4586052,Afghanistan,2018
شرکت سرمایه گذاری معادن MINING INVESTMENT CO,481908,Afghanistan,2018
نبی افغان دمعدن استخراج او پروسس شر کت NABI AFGHAN MINING CO,170,Afghanistan,2018
ALI MURADI AND IMRAN BAKHTYARI LIMITED,167548,Afghanistan,2019
AMANIA MINING COMPANY,17858825,Afghanistan,2019
AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,8882827,Afghanistan,2019
BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,29084756,Afghanistan,2019
HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,21212685,Afghanistan,2019
KAMRAN BILAL TALC MINES PROCESSING AND EXTRACTION COMPANY,33129,Afghanistan,2019
NABI AFGHAN MINES EXTRACTION AND PROCESSING COMPANY,8732578,Afghanistan,2019
SILK ROAD MINING,156539,Afghanistan,2019
STANDARD TALC PROCESSING AND EXTRACTION COMPANY,4727569,Afghanistan,2019
TARAAJ MINERALS EXTRACTION AND PROCESSING COMPANY,10329,Afghanistan,2019
اغا احمدی منرالز استخراج اوپروسس AGHA AHMADI MINERAL PRO.CO,24709,Afghanistan,2019
بلال موسی زی دمعدنی ډبرو استخراج او پروسس شرکت BILAL MOSAZAI MINING CO,188280,Afghanistan,2019
تصدی کود برق بلخ KOD-E-BARQ,31889270,Afghanistan,2019
حبیب شهاب تا لک اومر مرواستخراج او پروسس شر کت HABIB SHAHAB TALC PRO.CO,49129,Afghanistan,2019
د امین کریمزی د شوکانو او مرمرو داستخراج اوپروسس شرکت AMIN KARIMZAI TALK PROCESSING COMPANY,934159,Afghanistan,2019
ستندر شو کا ڼی دپرو سس او استخراج شر کت STANDARD TALC PRO.CO,40489,Afghanistan,2019
سلک رود مایننگ SILK ROAD MINING,134550,Afghanistan,2019
سین جیانگ جنگ تونگ افغانستان تکنالوژی سرویس کو ال تی دی SEIN JHONG JHENG TONG,20920,Afghanistan,2019
شرکت استخراج سنگ افغان مروارید لمتید AFGHAN MORWARID LTD,726167,Afghanistan,2019
شرکت استخراج معادن افغان اکتیف لمیتد AFGHAN ACTIVE MININIG LTD,-,Afghanistan,2019
شرکت استخراج معادن افغان ایکوAFGHAN ECHO MINING CO,1300,Afghanistan,2019
شرکت استخراج معادن بهارکوهساران BAHAR-E-KOHISTAN MINING CO,113050,Afghanistan,2019
شرکت استخراج معادن لیگان LEGAN MINING CO,50,Afghanistan,2019
شرکت استخراج معادن ممتاز کوثر لمتید MOMTAZ KAWSAR LTD,-,Afghanistan,2019
شرکت استخراج معدن ایگل راک EGAL ROCK MINING CO,23691,Afghanistan,2019
شرکت استخراج معدن پارمیس گلوبل PARMIS GLOBLE MINING CO,27744,Afghanistan,2019
شرکت استخراج معدن سرویس سنتر سترای ال ال سی ALLC,11900,Afghanistan,2019
شرکت استخراج وپروسس سنگ عرفان غزنوی لمتید URFAN GHAZNAWI LTD,8070,Afghanistan,2019
شرکت امانیه مایننگ AMANIA MINING CO,25970,Afghanistan,2019
شرکت تولید سنګ مرمر شمشاد رحمن SHAMSHAD RAHMAN TALC PRO.CO,312117,Afghanistan,2019
شرکت ذوب آهن کتلیست KATALEST IRON CO,37961,Afghanistan,2019
شرکت صنعتی کرومایت برادران BROTHERS CROMITE LTD,1650,Afghanistan,2019
شهاب محبوب تالک اومرمرو استخراج اوپروسس شرکت SHAHAB MAHBOOB TALC PRO.CO,9551,Afghanistan,2019
نبی افغان دمعدن استخراج او پروسس شر کت NABI AFGHAN MINING CO,51280,Afghanistan,2019
SOCIÉTÉ NATIONALE D'OPÉRATIONS PETROLIÈRE DE COTE D'IVOIRE (PETROCI),73584503514,Cote d'Ivoire,2017
SOCIETE DES MINES D'ITY (S M I),7069017463,Cote d'Ivoire,2017
PERSEUS MINING CI,847626755,Cote d'Ivoire,2017
LGL RESOURCE CI,16885933,Cote d'Ivoire,2017
SOCIÉTÉ POUR LE DEVÉLOPPEMENT MINIER DE LA COTE D'IVOIRE (SODEMI),104175253,Cote d'Ivoire,2017
ENI IVORY COAST LTD,333148252,Cote d'Ivoire,2018
SOCIETE DES MINES DE TONGON,36445956272,Cote d'Ivoire,2018
SOCIETE DES MINES D'ITY,6337466154,Cote d'Ivoire,2018
COMPAGNIE MINIERE DU LITTORAL,605133865,Cote d'Ivoire,2018
BONDOUKOU MANGANESE SA,525434534,Cote d'Ivoire,2018
CNMC CONGO COMPAGNIE MINIERE SARL(CNMC SARL),2797258.14,Democratic Republic of Congo,2017
"TENGYUAN COBALT & COPPER RESOURCES LTD., CO.( TCC. SAR)",5815411.78,Democratic Republic of Congo,2017
"BENGUETCORP NICKEL MINES, INC.",24569767.68,Philippines,2018
ENI CONGO,89061143726,Republic of the Congo,2017
SOCIÉTÉ DES PÉTROLES DU SÉNÉGAL (PETROSEN.SA),371034720,Senegal,2018
LA SOCIÉTÉ DES MINES DE FER DU SÉNÉGAL ORIENTAL,-,Senegal,2018
SABODALA GOLD OPERATIONS - SGO,16241489837.72,Senegal,2018
CIMENTS DU SAHEL - CDS,18559251105,Senegal,2018
GRANDE CÔTE OPÉRATIONS - GCO,8007005014,Senegal,2018
SOCIÉTÉ SÉNÉGALAISE DES PHOSPHATES DE THIÈS - SSPT,349326759,Senegal,2018
INDUSTRIES CHIMIQUES DU SÉNÉGAL - ICS,483608338,Senegal,2018
SOCIÉTÉ MINIÈRE DE LA VALLÉE DU FLEUVE SÉNÉGAL – SOMIVA,507328796,Senegal,2018
PETOWAL MINING COMPANY S.A.,3741277120,Senegal,2018
SABODALA MINING COMPANY,89490250,Senegal,2018
SEPHOS SENEGAL SA,118862346,Senegal,2018
COMPAGNIE GÉNÉRALE D'EXPLOITATION DE CARRIÈRE - COGECA,4644238825,Senegal,2018
"SOCIÉTÉ POUR LE DÉVELOPPEMENT DE L'INDUSTRIE, DU TOURISME ET DE L'HABITAT AU SÉNÉGAL - SODEVIT",1391236150,Senegal,2018
ORANTO PETROLEUM (ORANTO),235851585,Senegal,2019
TOTAL E&P SENEGAL (TOTAL E&P),9556300615,Senegal,2019
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),3525893891,Senegal,2019
DANGOTE INDUSTRIES SÉNÉGAL SA (DANGOTE),14783203786,Senegal,2019
AGEM SÉNÉGAL EXPLORATION SUARL (AGEM),432748292,Senegal,2019
"REPSOL EXPLORACIÓN MÉXICO, S.A. DE C.V.",2407200.71,Mexico,2017
"REPSOL EXPLORACIÓN MÉXICO, S.A. DE C.V.",110210143.12,Mexico,2018
REPSOL EXPLORACIÓN MÉXICO,181501159,Mexico,2018
DONG SHENG PETROLEUM MONGOLIA LLC,12654203000,Mongolia,2018
