Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Amin Karimzai Campany,Private,1007815085,Other,Talc,Not applicable ,Not available ,365746,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Habib Shahab Talc and Marble exploitation and process company,Private,1013655012,Other,"Talc, Construction stone",Not applicable ,Not available ,427491,Afghanistan,AFG,2018,2017-12-21,2018-12-21
Abaan Rayan Limited,Private,9004655032,Other,Coal,,Not available ,10256884,Afghanistan,AFG,2018,2017-12-21,2018-12-22
Abas Ghaznavi Limited,Private,9001935742,Other,Coal,,Not available ,36244514,Afghanistan,AFG,2018,2017-12-21,2018-12-23
Abdul Fatah,Private,9001846329,Other,Construction stone,Not applicable ,Not available ,139422,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Abdul Raouf,Private,9002825819,Other,Construction stone,Not applicable ,Not available ,50925,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Abdul Wahab Ariobwal Limited,Private,9004775335,Other,Talc,,Not available ,458871,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Abed Hasan Zadran Limited,Private,9005801197,Other,Coal,,Not available ,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Afghan Gas Enterprise,Private,Not available,Other,Natural Gas,Not applicable ,Not available ,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Afghan Shinink Mines Extraction and Processing,Private,9002202316,Other,Talc,,,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Afghan Talc Limited,Private,9002057785,Other,Talc,Not applicable ,Not available ,366791,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Ahmad Rafi Oraaz Limited,Private,9003746923,Other,Coal,,,1124164,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Ali Ahmad Shinwari Limited,Private,9005713178,Other,Coal,,,539123,Afghanistan,AFG,2018,2017-12-21,2018-12-24
