Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Ministry of Finance (Revenue Department),Central goverment,Not applicable,1441453501,Afghanistan,AFG,2018,2017/12/21,2018/12/20
Ministry of Finance (Customs Department),Central goverment,Not applicable,1367722942,Afghanistan,AFG,2018,2017/12/21,2018/12/20
Ministry of Mines and Petroleum (Revenue Department),Central goverment,Not applicable,1478934310.56,Afghanistan,AFG,2018,2017/12/21,2018/12/20
National Environmental Protection Agency,Central goverment,Not applicable,34000,Afghanistan,AFG,2018,2017/12/21,2018/12/20
Ministry of Industry and Commerce,Central goverment,Not applicable,,Afghanistan,AFG,2018,2017/12/21,2018/12/20
Ministry of Finance (Revenue Department),Central goverment,Not applicable,1441453501,Afghanistan,AFG,2019,2018/12/21,2019/12/20
Ministry of Finance (Customs Department),Central goverment,Not applicable,1367722942,Afghanistan,AFG,2019,2018/12/21,2019/12/20
Ministry of Mines and Petroleum (Revenue Department),Central goverment,Not applicable,1478934310.56,Afghanistan,AFG,2019,2018/12/21,2019/12/20
National Environmental Protection Agency,Central goverment,Not applicable,34000,Afghanistan,AFG,2019,2018/12/21,2019/12/20
Ministry of Industry and Commerce,Central goverment,Not applicable,,Afghanistan,AFG,2019,2018/12/21,2019/12/20
Direction Générale des Impôts (DGI),Central goverment,No applicable,108131178092,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Direction Générale des Mines et de la Géologie (DGMG),Central goverment,No applicable,10344216064,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Direction Générale des Douanes (DGD),Central goverment,No applicable,10821301436,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,No applicable,9354000000,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Direction des Participations et de la Privatisation (DPP),Central goverment,No applicable,,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Direction Générale des Hydrocarbures (DGH),Central goverment,No applicable,2396921390,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Société Nationale d'Opérations Pétrolières de Cote d'Ivoire (PETROCI),State-owned enterprises & public corporations,7602349 S,107485996398,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Société pour le Développement Minier de la Cote d'Ivoire (SODEMI),State-owned enterprises & public corporations,6103805 Y,33078242200,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Others,Central goverment,No applicable,,Cote d'Ivoire,CIV,2017,2017/01/01,2017/12/31
Direction Générale des Impôts (DGI),Central goverment,Non applicable,97972786388,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction Générale des Mines et de la Géologie (DGMG),Central goverment,Non applicable,5097681772,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction Générale des Douanes (DGD),Central goverment,Non applicable,13425615733,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,Non applicable,16900563354,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction des Participations et de la Privatisation (DPP),Central goverment,Non applicable,,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Direction Générale des Hydrocarbures (DGH),Central goverment,Non applicable,2674420060,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Société Nationale d'Opérations Pétrolières de Côte d'Ivoire (PETROCI),State-owned enterprises & public corporations,7602349 S,57696675052,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Société pour le Développement Minier de la Côte d'Ivoire (SODEMI),State-owned enterprises & public corporations,6103805 Y,,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité d’Agbaou-Divo,Local government,Non applicable,636531600,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité d’Ity-Zouhan-Hounien,Local government,Non applicable,220037096,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité d’Hiré,Local government,Non applicable,501830662,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité de Lauzoua Divo,Local government,Non applicable,70479706,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Localité de Bondoukou,Local government,Non applicable,19449399,Cote d'Ivoire,CIV,2018,2018/01/01,2018/12/31
Entreprise d’État,State-owned enterprises & public corporations,,371400080.54,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Direction Générale des Impôts (DGI),Central government,,518270772.13,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
"Direction Générale des Recettes Administratives, Judiciaires, Domaniales et de Participation (DGRAD)",Central government,,348592876.94,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Direction Générale des Douanes et Accises (DGDA),Central government,,264612628.5,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Secrétariat Général du Ministère des Hydrocarbures (SGH),Central government,,950000,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Agence Congolaise de l’Environnement (ACE),Central government,,149978.58,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Banque Centrale du Congo (BCC),Central government,,,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
"Centre d’Évaluation, d’Expertise et de Certification des substances minérales précieuses et semi-précieuses(CEEC)",,,,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Ministère provincial des Mines du Nord-Kivu,Local government,,,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Direction des RecettesProvinciales,Local government,,178320000,Democratic Republic of Congo,COD,2017,2017/01/01,2017/12/31
Dirección General de Impuestos Internos (DGII),Central government,994316206,10319618753.7,Dominican Republic,DOM,2018,2018/01/01,2018/12/31
Direccion Genreral de Aduanas (DGA),Central government,401039249,63121388,Dominican Republic,DOM,2018,2018/01/01,2018/12/31
Dirección General de Minería (DGM),Central government,,683720,Dominican Republic,DOM,2018,2018/01/01,2018/12/31
Ministerio de Energía y Minas,Central government,430146366,179000,Dominican Republic,DOM,2018,2018/01/01,2018/12/31
Tesorería Nacional,Central government,401036959,,Dominican Republic,DOM,2018,2018/01/01,2018/12/31
Dirección General de Impuestos Internos (DGII),Central goverment,994316206,11361455018,Dominican Republic,DOM,2019,2019/01/01,2019/12/31
Direccion Genreral de Aduanas (DGA),Central goverment,401039249,103364961,Dominican Republic,DOM,2019,2019/01/01,2019/12/31
Dirección General de Minería (DGM),Central goverment,,217454,Dominican Republic,DOM,2019,2019/01/01,2019/12/31
Ministerio de Energía y Minas,Central goverment,430146366,448000,Dominican Republic,DOM,2019,2019/01/01,2019/12/31
Dirección General de Impuestos Internos (DGII),Central goverment,994316206,23696540592,Dominican Republic,DOM,2020,2020/01/01,2020/12/31
Direccion Genreral de Aduanas (DGA),Central goverment,401039249,57327767,Dominican Republic,DOM,2020,2020/01/01,2020/12/31
Dirección General de Minería (DGM),Central goverment,,,Dominican Republic,DOM,2020,2020/01/01,2020/12/31
Ministerio de Energía y Minas,Central goverment,430146366,73000,Dominican Republic,DOM,2020,2020/01/01,2020/12/31
Ministry of Mines and Petroleum (MoMP),Central goverment,,208787291,Ethiopia,ETH,2017,2016/07/08,2017/07/07
Ethiopian Revenues and Customs Authority (ERCA),Central goverment,,1695351904,Ethiopia,ETH,2017,2016/07/08,2017/07/07
Ministry of Finance (MoF),Central goverment,,,Ethiopia,ETH,2017,2016/07/08,2017/07/07
"Tax Offices (Level of state government (""Länder""))",Local government,,83755824.15,Germany,DEU,2017,2017/01/01,2017/12/31
"Mining Authorities (Level of state governement (""Länder""))",State government,,255258870.59,Germany,DEU,2017,2017/01/01,2017/12/31
Municipalities (Level of local government),Local government,,103628426.2,Germany,DEU,2017,2017/01/01,2017/12/31
Government Agencies (Level of local government),Local government,,34019241.61,Germany,DEU,2017,2017/01/01,2017/12/31
"Tax Offices (Level of state government (""Länder""))",Local government,,184194823.13,Germany,DEU,2018,2018/01/01,2018/12/31
"Mining Authorities (Level of state governement (""Länder""))",State government,,241967347.25,Germany,DEU,2018,2018/01/01,2018/12/31
Municipalities (Level of local government),Local government,,173974163.32,Germany,DEU,2018,2018/01/01,2018/12/31
Government Agencies (Level of local government),Local government,,43891373.64,Germany,DEU,2018,2018/01/01,2018/12/31
"Tax Offices (Level of state government (""Länder""))",Local government,,120718118.23,Germany,DEU,2019,2019/01/01,2019/12/31
"Mining Authorities (Level of state governement (""Länder""))",State government,,218001921.92,Germany,DEU,2019,2019/01/01,2019/12/31
Municipalities (Level of local government),Local government,,129179902.07,Germany,DEU,2019,2019/01/01,2019/12/31
Government Agencies (Level of local government),Local government,,31646728.61,Germany,DEU,2019,2019/01/01,2019/12/31
"Tax Offices (Level of state government (""Länder""))",Local government,,28754271.26,Germany,DEU,2020,2020/01/01,2020/12/31
