GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Emission and pollution taxes (114522E),Oil & Gas,Waste Management Fee,National Environmental Protection Agency,,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Fee,National Environmental Protection Agency,"47,000.00",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Renewal Fee,National Environmental Protection Agency,,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Not applicable,Export Duty,Ministry of Finance (Customs Department),"1,226,528,784.00",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Royalties (1415E1),Mining,Royalties,Ministry of Mines and Petroleum (Revenue Department),"2,132,228,078.51",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Other rent payments (1415E5),Mining,Surface Rent,Ministry of Mines and Petroleum (Revenue Department),"139,823,969.01",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Fines, penalties, and forfeits (143E)",Mining,Penalty Fee,Ministry of Mines and Petroleum (Revenue Department),"5,934,753.00",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Administrative fees for government services (1422E),Mining,Bidding Fee,Ministry of Mines and Petroleum (Revenue Department),"4,053,388.00",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Other rent payments (1415E5),Mining,Site Accommodation Rent,Ministry of Mines and Petroleum (Revenue Department),"2,446,728.00",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Licence fees (114521E),Mining,License Fee - Exploitation,Ministry of Mines and Petroleum (Revenue Department),"375,052.00",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Administrative fees for government services (1422E),Mining,Document Fee,Ministry of Mines and Petroleum (Revenue Department),"313,488.00",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Licence fees (114521E),Mining,License Fee,Ministry of Mines and Petroleum (Revenue Department),"55,000.00",AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
