Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
11 Heronjte Bater,Private,K28310906F,Mining,Chromium,,,15215888.0,Albania,ALB,2017,2017-01-01,2017-12-31
3A-160 sh.p.k,Private,L61523043R,Mining,Chromium,,,3635320.0,Albania,ALB,2017,2017-01-01,2017-12-31
ALBA - CO shpk,Private,J78311933L,Mining,Chromium,,,11370247.0,Albania,ALB,2017,2017-01-01,2017-12-31
ALBMINE & CHROME,Private,L52228034M,Mining,Chromium,,,49953810.0,Albania,ALB,2017,2017-01-01,2017-12-31
ATEANI shpk,Private,J68103911D,Mining,Chromium,,,7158594.0,Albania,ALB,2017,2017-01-01,2017-12-31
Aggregated,Private,,Mining,,,,36533218.0,Albania,ALB,2017,2017-01-01,2017-12-31
Al-Gem sh.a,Private,L11401018K,Mining,Limestone,,,3921778.0,Albania,ALB,2017,2017-01-01,2017-12-31
Alb - Canaj,Private,K07729901W,Mining,Chromium,,,64762643.0,Albania,ALB,2017,2017-01-01,2017-12-31
Alb Ieaa Internacional,Private,J86906408N,Mining,Not Reported,,,67703127.0,Albania,ALB,2017,2017-01-01,2017-12-31
Alb-Energy shpk,Private,L51503039D,Other,Electric Energy,,,127774265.0,Albania,ALB,2017,2017-01-01,2017-12-31
Albanisa Krypi,Private,J96829413B,Mining,Chromium,,,15981680.0,Albania,ALB,2017,2017-01-01,2017-12-31
Albchrome,Private,K11613001M,Mining,Chromium,,,650384434.0,Albania,ALB,2017,2017-01-01,2017-12-31
Albpetrol Sh.a.,Private,J82916500U,Oil & Gas,"Oil, Gas, Condensates",,,2457654948.0,Albania,ALB,2017,2017-01-01,2017-12-31
Ana 2013,Private,L37009201B,Mining,Limestone,,,7714089.0,Albania,ALB,2017,2017-01-01,2017-12-31
Antea Cement Sh.a,Private,K61914005R,Mining,"Clay, Limestone",,,654758568.0,Albania,ALB,2017,2017-01-01,2017-12-31
Ardas,Private,K86407401R,Mining,Chromium,,,22527310.0,Albania,ALB,2017,2017-01-01,2017-12-31
Aris,Private,K97114401A,Mining,Chromium,,,37355393.0,Albania,ALB,2017,2017-01-01,2017-12-31
Arkev shpk,Private,K86603401D,Mining,Chromium,,,9198904.0,Albania,ALB,2017,2017-01-01,2017-12-31
B & B Stone,Private,K73627001A,Mining,Sandstone,,,4398958.0,Albania,ALB,2017,2017-01-01,2017-12-31
BEBJAshpk,Private,K06626408F,Mining,Chromium,,,140000.0,Albania,ALB,2017,2017-01-01,2017-12-31
Babasi - 2,Private,K04226216O,Mining,Chromium,,,18912802.0,Albania,ALB,2017,2017-01-01,2017-12-31
Babasi COO shpk,Private,J74517209B,Mining,"Limestone, Marble",,,19316073.0,Albania,ALB,2017,2017-01-01,2017-12-31
Balkan Green Energy sh.p.k( ish ESEGEI),Private,K71624026M,Other,Electric Energy,,,55830354.0,Albania,ALB,2017,2017-01-01,2017-12-31
Bankers Petroleum Albania Ltd.,Private,K43128401L,Oil & Gas,"Oil, Gas, Condensates",,,4930721194.79,Albania,ALB,2017,2017-01-01,2017-12-31
Beralb sha,Private,K12107002A,Mining,Copper,,,51989563.0,Albania,ALB,2017,2017-01-01,2017-12-31
Bledi,Private,K36811904G,Mining,Chromium,,,4040639.0,Albania,ALB,2017,2017-01-01,2017-12-31
Blerimi Kosturr 2010,Private,L07525201B,Mining,Chromium,,,1831370.0,Albania,ALB,2017,2017-01-01,2017-12-31
Braiden,Private,L67421401T,Mining,Chromium,,,12033083.0,Albania,ALB,2017,2017-01-01,2017-12-31
Ceruja,Private,K48429906N,Mining,Chromium,,,13779061.0,Albania,ALB,2017,2017-01-01,2017-12-31
ColacemAlbaniashpk,Private,K72306010V,Mining,Limestone,,,16793193.0,Albania,ALB,2017,2017-01-01,2017-12-31
DEVOLL HYDROPOWER,Private,K82418002C,Other,"Electric Energy, Limestone",,,226892851.0,Albania,ALB,2017,2017-01-01,2017-12-31
Delvina Gas Company LTD,Private,L61416039U,Oil & Gas,"Oil, Gas, Condensates",,,6181229.0,Albania,ALB,2017,2017-01-01,2017-12-31
Dema Patin,Private,K87530903A,Mining,Chromium,,,1394304.0,Albania,ALB,2017,2017-01-01,2017-12-31
Dervishi shpk,Private,J96829420H,Mining,Chromium,,,14903046.0,Albania,ALB,2017,2017-01-01,2017-12-31
Dialba,Private,J96829414J,Mining,Chromium,,,26732289.0,Albania,ALB,2017,2017-01-01,2017-12-31
EGI-K SHPK,Private,K77424401L,Mining,Chromium,,,157008939.0,Albania,ALB,2017,2017-01-01,2017-12-31
ENERGJI ASHTA,Private,K82417005V,Other,Electric Energy,,,307307943.0,Albania,ALB,2017,2017-01-01,2017-12-31
Energal shpk,Private,L57703201R,Other,Electric Energy,,,40664230.0,Albania,ALB,2017,2017-01-01,2017-12-31
Erli-D SHPK,Private,L07324401C,Mining,Chromium,,,10956248.0,Albania,ALB,2017,2017-01-01,2017-12-31
Ervini shpk,Private,K26513467T,Mining,Chromium,,,,Albania,ALB,2017,2017-01-01,2017-12-31
"Euron Energy"" shpk",Private,L57703202C,Other,Electric Energy,,,92303692.0,Albania,ALB,2017,2017-01-01,2017-12-31
FUSHE-KRUJE CEMENT FACTORY,Private,K04226208A,Mining,"Limestone, Clay",,,183562641.0,Albania,ALB,2017,2017-01-01,2017-12-31
Fabrika e Pasurimit te Kromir Bulqize,Private,K06626418M,Mining,Chromium,,,30253473.0,Albania,ALB,2017,2017-01-01,2017-12-31
Favina,Private,J64104078V,Mining,Limestone,,,53498980.0,Albania,ALB,2017,2017-01-01,2017-12-31
Gega - G,Private,K27713604T,Mining,"Limestone, Clay",,,17270166.0,Albania,ALB,2017,2017-01-01,2017-12-31
Gerda - 07 sh.p.k,Private,K77315401J,Mining,Chromium,,,3383484.0,Albania,ALB,2017,2017-01-01,2017-12-31
Geri's 2002,Private,K47220407H,Mining,Chromium,,,8289773.0,Albania,ALB,2017,2017-01-01,2017-12-31
Gjoni Shpk,Private,K06626412K,Mining,Chromium,,,7767174.0,Albania,ALB,2017,2017-01-01,2017-12-31
Global Interprise Group shpk,Private,K87515901A,Mining,Chromium,,,98880763.0,Albania,ALB,2017,2017-01-01,2017-12-31
HEC Lanabregas,Private,J62005002O,Other,Electric Energy,,,48277832.0,Albania,ALB,2017,2017-01-01,2017-12-31
HIDROALBANIA Energji shpk,Private,K98420202O,Other,Electric Energy,,,15338853.0,Albania,ALB,2017,2017-01-01,2017-12-31
Herbi,Private,J98021906L,Mining,Chromium,,,50601441.0,Albania,ALB,2017,2017-01-01,2017-12-31
Igli - 07,Private,K88812401M,Mining,Not Reported,,,6136701.0,Albania,ALB,2017,2017-01-01,2017-12-31
Illyria Minerals Industri sh.p.k,Private,L01629005J,Mining,Chromium,,,23440825.0,Albania,ALB,2017,2017-01-01,2017-12-31
Isaku,Private,J96829402J,Mining,Chromium,,,18027534.0,Albania,ALB,2017,2017-01-01,2017-12-31
Ivno 1100,Private,K47220405O,Mining,Chromium,,,5880760.0,Albania,ALB,2017,2017-01-01,2017-12-31
Jaho-Mat,Private,K07729917I,Mining,Chromium,,,10319641.0,Albania,ALB,2017,2017-01-01,2017-12-31
K-12 (Red mines),Private,K62418008C,Mining,Nickel Alloy,,,609580.0,Albania,ALB,2017,2017-01-01,2017-12-31
K.I.D -ALB shpk,Private,K52128506K,Mining,"Clay, Limestone",,,33919313.0,Albania,ALB,2017,2017-01-01,2017-12-31
KESH sh.a.,Private,J61817005F,Other,Electric Energy,,,2538125836.0,Albania,ALB,2017,2017-01-01,2017-12-31
KLERAJDI shpk,Private,K19003407J,Mining,Not Reported,,,14268745.0,Albania,ALB,2017,2017-01-01,2017-12-31
