Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
CERRO VANGUARDIA S.A.,Private,30618725320,Mining,"Oro, Plata",https://www.sec.gov/cgi-bin/browse-edgar?CIK=1067428&owner=exclude https://www2.asx.com.au/markets/trade-our-cash-market/announcements.agg https://web.jse.co.za/trade/listed-companies/issuer-profiles/anglogold-ashanti-ltd,SI,2611838498.82,Argentina,ARG,2018,2018-01-01,2018-12-31
CHEVRON ARGENTINA S.R.L.,Private,30523479241,Oil & Gas,"Gas Natural, Petróleo Crudo",https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVX&amp;Find=Search&amp;owner=exclude&amp;action=getcompany,SI,1005727879.0,Argentina,ARG,2018,2018-01-01,2018-12-31
COMPAÑIA MINERA AGUILAR S.A.,Private,30500544844,Mining,"Concentrados de Plomo, Concentrados de Zinc",https://www.londonstockexchange.com/stock/GLEN/glencore-plc/company-page https://web.jse.co.za/trade/listed-companies/issuer-profiles/glencore-plc-0,SI,425817757.31,Argentina,ARG,2018,2018-01-01,2018-12-31
ESTELAR RESOURCES LIMITED S.A,Private,30708380829,Mining,"Oro, Plata",https://www.sec.gov/cgi-bin/browse-edgar?CIK=1264089&owner=exclude https://money.tmx.com/en/quote/YRI/financials-filings https://www.londonstockexchange.com/stock/AUY/yamana-gold-inc/company-page,SI,492716540.61,Argentina,ARG,2018,2018-01-01,2018-12-31
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,Private,30711635382,Oil & Gas,"Gas Natural, Petróleo Crudo",https://www.sec.gov/cgi-bin/browse-edgar?CIK=34088&owner=exclude,SI,158311666.23,Argentina,ARG,2018,2018-01-01,2018-12-31
MINA PIRQUITAS LLC SUCURSAL ARGENTINA,Private,30679893064,Mining,"Plata, Cinc",https://www.nasdaq.com/market-activity/stocks/ssrm https://money.tmx.com/en/quote/SSRM/financials-filings,SI,278450161.02,Argentina,ARG,2018,2018-01-01,2018-12-31
MINAS ARGENTINAS SA,Private,30677262466,Mining,Doré,,SI,387003755.94,Argentina,ARG,2018,2018-01-01,2018-12-31
MINERA ALUMBRERA LIMITED sucursal argentina,Private,30663301744,Mining,"Concentrado de Cobre y oro, Oro Doré y Concentrado de molibdeno",https://www.sec.gov/cgi-bin/browse-edgar?CIK=1164727&owner=exclude https://money.tmx.com/en/quote/NGT/financials- filings?selectedTab=filings https://www.lse.co.uk/rns/GLEN/ https://web.jse.co.za/trade/listed-companies/issuer-profiles/glencore-plc-0,SI,1376868022.55,Argentina,ARG,2018,2018-01-01,2018-12-31
MINERA ANDINA DEL SOL S.R.L.,Private,30682347194,Mining,Doré,https://www.sec.gov/cgi-bin/browse-edgar?CIK=756894&owner=exclude https://money.tmx.com/en/quote/ABX/financials- filings?selectedTab=filings https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en,SI,3502060056.08,Argentina,ARG,2018,2018-01-01,2018-12-31
MINERA DEL ALTIPLANO S.A.,Private,30642796069,Mining,"Cloruro de litio, Carbonato de litio",https://ir.livent.com/financials-and-filings/sec-filings/default.aspx,SI,485352602.82,Argentina,ARG,2018,2018-01-01,2018-12-31
MINERA DON NICOLAS S.A.,Private,30707924892,Mining,"Bullón Doré, Oro, Plata",,SI,101123526.77,Argentina,ARG,2018,2018-01-01,2018-12-31
MINERA SANTA CRUZ S.A.,Private,30707654011,Mining,"Barras de plata en Bruto, Concentrado de Oro y Plata, Bullón Dorado",,SI,1024092145.42,Argentina,ARG,2018,2018-01-01,2018-12-31
MINERA TRITON ARGENTINA S.A.,Private,30692277232,Mining,Bullón Doré,https://www.nasdaq.com/market-activity/stocks/paas https://money.tmx.com/en/quote/PAAS,SI,226981044.53,Argentina,ARG,2018,2018-01-01,2018-12-31
MOBIL ARGENTINA S.A.,Private,30658473499,Oil & Gas,"Gas Natural, Petróleo Crudo",https://www.sec.gov/cgi-bin/browse- edgar?CIK=34088&owner=exclude,SI,198662550.22,Argentina,ARG,2018,2018-01-01,2018-12-31
O&G DEVELOPMENTS LTD S.A.,Private,30695570933,Oil & Gas,"Gas Natural, Petróleo Crudo",https://live.euronext.com/en/product/equities/GB00B03MLX29-XAMS/company-information https://www.londonstockexchange.com/stock/RDSB/royal-dutch-shell-plc/company-page https://www.sec.gov/cgi-bin/browse-edgar?CIK=1306965,SI,114372839.18,Argentina,ARG,2018,2018-01-01,2018-12-31
OROPLATA S.A.,Private,30708625414,Mining,Doré,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1164727&owner=exclude https://money.tmx.com/en/quote/NGT/financials- filings?selectedTab=filings,SI,1254336677.93,Argentina,ARG,2018,2018-01-01,2018-12-31
PATAGONIA GOLD S.A.,Private,30707984054,Mining,"Doré, Concentrado de Oro y Plata",https://money.tmx.com/en/quote/PGDC/financials‐filings,SI,125154585.0,Argentina,ARG,2018,2018-01-01,2018-12-31
SALES DE JUJUY S. A. (EX - OROCOBRE S. A.),Private,30709776254,Mining,Carbonato de Litio,https://www2.asx.com.au/markets/company/ore,SI,103601496.54,Argentina,ARG,2018,2018-01-01,2018-12-31
"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",Private,30642651397,Oil & Gas,"Gas Natural, Petróleo Crudo",,SI,3513346466.14,Argentina,ARG,2018,2018-01-01,2018-12-31
TOTAL AUSTRAL S.A.,Private,30569719344,Oil & Gas,"Gas Natural, Petróleo Crudo",https://www.londonstockexchange.com/stock/TTA/total-se/company-page https://www.sec.gov/cgi-bin/browse-edgar?CIK=879764&owner=exclude https://live.euronext.com/en/product/equities/FR0000120271-XPAR/financial-calendar,SI,4736491147.6,Argentina,ARG,2018,2018-01-01,2018-12-31
Vista Oil & Gas Argentina SA,Private,33515950899,Oil & Gas,"Gas Natural, Petróleo Crudo",https://www.bmv.com.mx/es/emisoras/informacionfinanciera/VISTA-32700-CGEN_CAPIT https://www.sec.gov/cgi-bin/viewer?action=view&cik=1762506&accession_number=0001193125-20- 127083&xbrl_type=v,SI,2144346051.16,Argentina,ARG,2018,2018-01-01,2018-12-31
YPF S.A.,State-owned enterprises & public corporations,30546689979,Oil & Gas,"Gas Natural, Petróleo Crudo",https://www.sec.gov/cgi-bin/browse-edgar?action=%20%20%20getcompany&CIK=0000904851&owner=include&count=40&hidefilings=0 https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30546689979?fdesde=21/12/2016,SI,27856577163.47,Argentina,ARG,2018,2018-01-01,2018-12-31
YSUR ENERGÍA ARGENTINA S.R.L.,Private,30654521561,Oil & Gas,"Gas Natural, Petróleo Crudo",Informa YPF,SI,,Argentina,ARG,2018,2018-01-01,2018-12-31
