Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Chaarat Kapan CJSC,Private,9416902,Mining,"gold, silver, copper, zinc, lead",,,4996734684.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“AT-Metals” LLC,Private,118721,Mining,"gold, silver",,Not available,72269935.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Agarak Copper Molybdenum Combine” CJSC,Private,9700039,Mining,"copper, molybdenum",,https://iravunk.com/news/115123,3090863598.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Akhtala Mining and Processing Enterprise” CJSC,Private,6602309,Mining,copper,,Not available,1152920053.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Aktiv Lernagorts” LLC,Private,1544838,Mining,"copper, molybdenum",,Not available,11220180.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Assat” LLC,Private,3807664,Mining,"gold, silver",,Not available,84178555.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Baktek Eco” LLC,Private,870494,Mining,"gold, silver, copper",,Not available,10909080.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Fortune Resources” LLC,Private,2806526,Mining,iron,,Not available,5454923.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Geghi Gold” LLC,Private,9423012,Mining,"gold, silver, copper, zinc",,Gortcyntats newspaper,21179356.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Geopromining Gold” LLC,Private,2700773,Mining,"gold, silver, selenium, tellurium",,"Gortcyntats newspaper, 11.06.2020, #277",23639553518.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Gharagulyanner” CJSC,Private,2583292,Mining,"gold, silver, copper, zinc, lead",,Not available,11762418.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Ler-Ex” LLC,Private,9412188,Mining,"copper, molybdenum",,https://www.azdarar.am/announcments/org/161/00698998/,218048650.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Lichkvaz” CJSC,Private,2710054,Mining,"gold, silver, copper",,Not available,50083256.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Lydian Armenia” CJSC,Private,91919,Mining,"gold, silver",,https://www.lydianarmenia.am/img/uploadFiles/a6a3ade13156b4c185d7FS_Lydian2019arm.pdf,1509108648.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Marjan Mining Company” LLC,Private,1569837,Mining,"gold, silver, copper, zinc, lead",,Not available,2115274.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Meghradzor Gold” LLC,Private,2709666,Mining,"gold, silver, tellurium",,Not available,389056376.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Mego-Gold” LLC,Private,4213127,Mining,"gold, silver",,Not available,2785539.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Molibdeni Ashkharh” LLC,Private,2580107,Mining,"copper, molybdenum",,Not available,14571239.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Multi Group Concern” LLC,Private,3516447,Mining,"gold, silver",,Not available,149192983.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Paramount Gold Mining” CJSC,Private,4219371,Mining,"gold, silver, tellurium, bismuth",,Not available,17283336.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Sagamar” CJSC,Private,410036,Mining,"gold, silver, copper, zinc, lead",,Not available,48405580.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Tatstone” LLC`,Private,79433,Mining,"copper, molybdenum",,Not available,61925881.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Teghout” CJSC,Private,2700773,Mining,"copper, molybdenum",,Not available,3927113621.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Vardani Zartonk” LLC,Private,9414399,Mining,"gold, silver, lead, zinc",,Not available,12591387.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Vayk Gold” LLC,Private,114369,Mining,"gold, silver, copper, zinc, lead, antimony",,Not available,12265064.0,Armenia,ARM,2019,2019-01-01,2019-12-31
“Zangezur Copper-Molybdenum Combine” CJSC,Private,9400818,Mining,"copper, molybdenum",,https://azdarar.am/announcments/org/161/00698998/,46504057760.1,Armenia,ARM,2019,2019-01-01,2019-12-31
