Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Ampella Mining Gold Sarl,Private,00017763Y,Mining,Or,Non communiqué,Yes,799773588.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
BISSA Gold,Private,00030276N,Mining,Or,Yes,Yes,28541612869.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Birimian Resources,Private,00029551F,Mining,Recherche minière,Yes,No,115582568.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Burkina Mining Company SA,Private,00006204X,Mining,Or,Non communiqué,Yes,7904883852.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Hounde Gold Operation,Private,00064526S,Mining,Or,Yes,Yes,2930101476.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
IAMGOLD Essakane SA,Private,00016079H,Mining,Or,Yes,Yes,44113924541.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Kiaka Gold,Private,00023755F,Mining,Recherche minière,Yes,Yes,179770066.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Kiaka SA,Private,00072220A,Mining,Or,Yes,Yes,415150000.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Konkera,Private,00063250A,Mining,Or,Yes,Yes,482751552.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Mana Mineral SA,Private,00007572J,Mining,Recherche minière,Yes,Yes,50454323.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Nantou Mining Burkina Faso,Private,00010790T,Mining,Zinc,Non communiqué,Yes,4363530853.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Netiana Mining Company,Private,00084771R,Mining,Or,Non communiqué,Yes,1499699713.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Riverstone Karma SA,Private,00037904A,Mining,Or,Non communiqué,Yes,9822922966.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Roxgold Burkina Faso,Private,00034469W,Mining,Recherche minière,No,No,182480560.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Roxgold SANU,Private,00060700T,Mining,Or,Yes,Yes,4673965741.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
SEMAFO Boungou,Private,00079626A,Mining,Or,Yes,Yes,980719833.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
SEMAFO Burkina Faso,Private,00009763S,Mining,Or,Non communiqué,Yes,25787987976.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
SOFANEC,Private,00041096K,Other,Substance de carrières,No,Yes,72792825.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Société Minière Gryphon SA,Private,00055782Y,Mining,Or,Yes,Yes,1589458528.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Société des Mines de Sanbrado SA,Private,00082751B,Mining,Or,Non communiqué,Yes,357803088.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
Société des Mines de Taparko,Private,00007047V,Mining,Or,Yes,Yes,8581036774.0,Burkina Faso,BFA,2017,2017-01-01,2017-12-31
