Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
APCC,Private,M047400005669H,Oil & Gas,"Oil, Gas, Condensates",https://www.addaxpetroleum.com/,,24935023953.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
APCL,Private,M100200014425F,Oil & Gas,"Oil, Gas, Condensates",https://www.addaxpetroleum.com/,,7793651575.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
CAMINEX S.A,Private,M050600023306T,Mining,Mining products,https://www.caminex.co.zm/,,502540088.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
CIMENCAM,Private,M066300000649C,Quarrying,Quarrying,https://www.cimencam.com/fr,,1263047559.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
COTCO,Private,M089700006137L,Transportation,"Oil, Gas, Condensates",,,33932840608.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
DANGOTE CEMENT CAM.SA,Private,M080800036805X,Quarrying,Quarrying,http://www.dangotecement.com/operations/cameroon/,,74079064.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
EUROIL,Private,M119500012111E,Oil & Gas,"Oil, Gas, Condensates",https://www.euroil.eu/introduction/home#,,133069452.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
GDC,Private,M010700023025B,Oil & Gas,"Oil, Gas, Condensates",https://www.gazducameroun.com/contact/?lang=fr,,3282315342.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
GLENCORE EXPLORATION LTD,Private,M040800024299W,Oil & Gas,"Oil, Gas, Condensates",https://www.glencore.com/,,118373158.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
GRACAM,Private,M010800024941Q,Mining,Mining products,https://www.granulatsducameroun.com/?p=index,,184439082.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
NEW AGE,Private,M100900029359K,Oil & Gas,"Oil, Gas, Condensates",http://www.newafricanglobalenergy.com/,,252459243.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
NOBLE ENERGY CAM LIMITED,Private,M080600021129Y,Oil & Gas,"Oil, Gas, Condensates",https://www.nblenergy.com/,,768797468.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
PERENCO CAM,Private,M077900001551J,Oil & Gas,"Oil, Gas, Condensates",https://www.perenco.com/fr/filiales/cameroun,,4970167080.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
PERENCO RDR,Private,M09510001895L,Oil & Gas,"Oil, Gas, Condensates",https://www.perenco.com/fr/filiales/cameroun,,21605485643.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
RAZEL,Private,M077800000953N,Quarrying,Quarrying,http://www.razel.fr/,,130720188.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
SNH,State-owned enterprises & public corporations,M038000000218J,Oil & Gas,"Oil, Gas, Condensates",http://www.snh.cm/index.php/fr/,,325305545501.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
TOWER RESOURCES,Private,M071512444757R,Oil & Gas,"Oil, Gas, Condensates",https://www.towerresources.co.uk/operations/cameroon/,,582197950.0,Cameroon,CMR,2017,2017-01-01,2017-12-31
