Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
ARAB CONTRACTORS,Private,600008358,Mining,BTP,https://www.arabcont.com/english/,Not available,,Chad,TCD,2018,2018-01-01,2018-12-31
CGCOC Group,Private,Not available,Mining,BTP,http://fr.cgcoc.com.cn/,Not available,462632.0,Chad,TCD,2018,2018-01-01,2018-12-31
Cameroun Oil Transportation Company (COTCO),Private,M089700006137L,Other,Oil transport,Not available,Not available,1151588.0,Chad,TCD,2018,2018-01-01,2018-12-31
China National Petroleum Corporation International (CNPC),Private,Not available,Oil,Oil,http://www.cnpc.com.cn/en/,Not available,5706731.0,Chad,TCD,2018,2018-01-01,2018-12-31
Esso,Private,600002755,Oil,Oil,https://www.boursedirect.fr/fr/marche/new-york-stock-exchange-inc/exxon-mobil-corporation-XOM-USD-XNYS/societe,Not available,100752316.0,Chad,TCD,2018,2018-01-01,2018-12-31
Griffiths Energy CHAD,Private,600006555,Oil,Oil,"https://investir.lesechos.fr/cours/action-glencore-plc-ord-usd001,xlon,je00b4t3bw64,glen,tick.html",Not available,834029.0,Chad,TCD,2018,2018-01-01,2018-12-31
Griffiths Energy DOH,Private,600006886,Oil,Oil,"https://investir.lesechos.fr/cours/action-glencore-plc-ord-usd001,xlon,je00b4t3bw64,glen,tick.html",Not available,2908759.0,Chad,TCD,2018,2018-01-01,2018-12-31
Petrochad Mangara,Private,600006939,Oil,Oil,https://www.glencore.com/,Not available,2305420.0,Chad,TCD,2018,2018-01-01,2018-12-31
Petrochad transportation Ltd,Private,600008367,Other,Oil transport,"https://investir.lesechos.fr/cours/action-glencore-plc-ord-usd001,xlon,je00b4t3bw64,glen,tick.html",Not available,,Chad,TCD,2018,2018-01-01,2018-12-31
Petronas,Private,Not available,Oil,Oil,https://www.petronas.com/,Not available,163408557.0,Chad,TCD,2018,2018-01-01,2018-12-31
SOGEA SATOM,Private,Not available,Mining,BTP,https://www.sogea-satom.com/sogea-satom/sogea-satomv2.nsf/web/index.htm,Not available,46646.0,Chad,TCD,2018,2018-01-01,2018-12-31
Société Nationale de Ciment (SONACIM),State-owned enterprises & public corporations,Not available,Mining,Quarrying,Not available,Not available,,Chad,TCD,2018,2018-01-01,2018-12-31
Société Nationale des Mines et de la Géologie (SONAMIG),State-owned enterprises & public corporations,Not available,Mining,,Not available,Not available,,Chad,TCD,2018,2018-01-01,2018-12-31
Société d'exploitation Tchadienne des Carrières (SOTEC),Private,600001373,Mining,Quarrying,Not available,Not available,452151.0,Chad,TCD,2018,2018-01-01,2018-12-31
Société de Raffinage de N’Djamena (SRN),Private,600008474,Other,Refinery,Not available,Not available,189977765.0,Chad,TCD,2018,2018-01-01,2018-12-31
Société des Hydrocarbures du Tchad (SHT),State-owned enterprises & public corporations,600006476,Oil,Oil,https://sht-tchad.com/fr/,https://sht-tchad.com/fr/index.php/rapports-etats-financiers/rapports#,2023.0,Chad,TCD,2018,2018-01-01,2018-12-31
Société des Hydrocarbures du Tchad Petroleum Chad Company Limited (SHT PCCL),State-owned enterprises & public corporations,Not available,Oil,Oil,Not available,Not available,,Chad,TCD,2018,2018-01-01,2018-12-31
Tchad Oil Transportation Company (TOTCO),Private,600010746,Other,Oil transport,Not available,Not available,40463701.62,Chad,TCD,2018,2018-01-01,2018-12-31
United Hydrocarbon Chad (UHC),Private,600007082,Oil,Oil,Not available,Not available,403363.0,Chad,TCD,2018,2018-01-01,2018-12-31
