Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
AGBAOU GOLD OPERATIONS,Private,1273929F,Mining,Or,https://www.endeavourmining.com/our-portfolio/agbaou-mine/default.aspx,Not available,8319467209.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
AMPELLA MINING COTE D'IVOIRE,Private,1113280Z,Mining,Or,Not available,Not available,51106480.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
BONDOUKOU MANGANESE SA,Private,1103308Q,Mining,Manganèse,https://navodaya.ae/en/group-projects/ivory-coast/bondoukou-manganese-mines/,Not available,525434534.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
BONIKRO GOLD MINE (Ex LGL MINES CI SA),Private,0715379V,Mining,Or,Not available,Not available,1789144973.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CADERAC. SA,Private,9910850P,Mining,Granite,https://www.caderac.com/,Not available,846849373.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
CNR INTERNATIONAL,Private,9725886-S,Oil & Gas,"Oil, Gas, Condensates",https://www.cnrl.com/operations/international/offshore-west-africa,Not available,63949883.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
COMPAGNIE MINIERE DU BAFING,Private,1657355Q,Mining,Nickel,https://www.cmbafing.com/,Not available,84390294.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
COMPAGNIE MINIERE DU LITTORAL,Private,1020202H,Mining,Manganèse,Not available,Not available,605133865.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Dragon Oil and Gas S.A,Private,1724653E,Oil & Gas,"Oil, Gas, Condensates",https://dragonoilgas.com/,Not available,394800000.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
ENI IVORY COAST LTD,Private,1605675N,Oil & Gas,"Oil, Gas, Condensates",https://www.eni.com/en-IT/global-presence/africa/ivory-coast.html,Not available,333148252.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
ETRUSCAN RES. COTE D'IVOIRE,Private,0529632H,Mining,Or,Not available,Not available,30959796.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
FOXTROT INTERNATIONAL,Private,95 03 181 S,Oil & Gas,"Oil, Gas, Condensates",http://www.foxtrot-international.com/?lang=en,Not available,58246433186.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
HIRE GOLD MINE (Ex NEWCREST HIRE),Private,1447543T,Mining,Or,Not available,Not available,4559579756.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
KOSMOS,Private,1803942Z,Oil & Gas,"Oil, Gas, Condensates",https://www.kosmosenergy.com/cote-divoire/,Not available,4819167407.54,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
LA MANCHA COTE D'IVOIRE,Private,9906920E,Mining,Or,Not available,Not available,1867685263.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
LGL RESOURCES COTE D'IVOIRE,Private,9704052L,Mining,Or,Not available,Not available,86011548.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
PERSEUS MINING CÔTE D'IVOIRE,Private,1335316W,Mining,Or,https://perseusmining.com/,Not available,1583681765.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
PERSEUS YAOURE SARL (Ex Amara Mining),Private,0548280Y,Mining,Or,Not available,Not available,30127024.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
PETROCI CI-11,Private,9326533 X,Oil & Gas,"Oil, Gas, Condensates",Not available,Not available,7284770.0,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
